Date,TRUE-B.ST
2021-10-08,51.15214157104492
2021-10-11,50.90621566772461
2021-10-12,51.15214157104492
2021-10-13,51.15214157104492
2021-10-14,51.25050735473633
2021-10-15,50.85703659057617
2021-10-18,50.66029357910156
2021-10-19,50.95540237426758
2021-10-20,50.07007598876953
2021-10-21,48.69290542602539
2021-10-22,49.97170639038086
2021-10-25,50.1684455871582
2021-10-26,52.03746795654297
2021-10-27,69.6456069946289
2021-10-28,85.77820587158203
2021-10-29,81.35157012939453
2021-11-01,80.76136016845703
2021-11-02,83.71244812011719
2021-11-03,83.41734313964844
2021-11-04,83.8108139038086
2021-11-05,81.15483856201172
2021-11-08,78.2037582397461
2021-11-09,78.59723663330078
2021-11-10,79.67929077148438
2021-11-11,81.449951171875
2021-11-12,97.38581085205078
2021-11-15,111.15753173828125
2021-11-16,107.6162338256836
2021-11-17,106.82927703857422
2021-11-18,106.23906707763672
2021-11-19,108.20645904541016
2021-11-22,102.30428314208984
2021-11-23,98.56623840332031
2021-11-24,112.14122772216797
2021-11-25,109.97710418701172
2021-11-26,105.64884185791016
2021-11-29,103.68146514892578
2021-11-30,114.1086196899414
2021-12-01,120.4042739868164
2021-12-02,117.45318603515625
2021-12-03,118.43688201904297
2021-12-06,128.6673126220703
2021-12-07,136.3401336669922
2021-12-08,130.43797302246094
2021-12-09,133.97926330566406
2021-12-10,128.4705810546875
2021-12-13,127.29013061523438
2021-12-14,127.88035583496094
2021-12-15,124.5357894897461
2021-12-16,125.32274627685547
2021-12-17,125.9129638671875
2021-12-20,122.1749267578125
2021-12-21,122.76514434814453
2021-12-22,119.81405639648438
2021-12-23,114.69884490966797
2021-12-27,114.69884490966797
2021-12-28,112.14122772216797
2021-12-29,112.53471374511719
2021-12-30,111.94449615478516
2022-01-03,113.71514892578125
2022-01-04,106.04232788085938
2022-01-05,104.4684066772461
2022-01-07,94.92656707763672
2022-01-10,84.79450988769531
2022-01-11,80.6629867553711
2022-01-12,77.31842803955078
2022-01-13,80.6629867553711
2022-01-14,82.23690795898438
2022-01-17,82.82711791992188
2022-01-18,79.97441101074219
2022-01-19,80.46625518798828
2022-01-20,80.6629867553711
2022-01-21,77.61354064941406
2022-01-24,71.80973815917969
2022-01-25,65.12060546875
2022-01-26,66.89126586914062
2022-01-27,68.46517181396484
2022-01-28,69.5472412109375
2022-01-31,72.89179992675781
2022-02-01,75.64614868164062
2022-02-02,72.49832153320312
2022-02-03,70.13745880126953
2022-02-04,71.02277374267578
2022-02-07,75.74452209472656
2022-02-08,71.61299896240234
2022-02-09,75.84288024902344
2022-02-10,75.94125366210938
2022-02-11,76.43309783935547
2022-02-14,73.2852783203125
2022-02-15,76.62984466552734
2022-02-16,75.54778289794922
2022-02-17,71.61299896240234
2022-02-18,64.82550048828125
2022-02-21,64.23529052734375
2022-02-22,67.7765884399414
2022-02-23,68.26844024658203
2022-02-24,66.20267486572266
2022-02-25,66.69451904296875
2022-02-28,74.95755767822266
2022-03-01,71.12115478515625
2022-03-02,70.82604217529297
2022-03-03,64.33365631103516
2022-03-04,64.92387390136719
2022-03-07,65.41571807861328
2022-03-08,58.52985382080078
2022-03-09,63.44832992553711
2022-03-10,54.693443298339844
