Date,HONAUT.NS
2015-08-21,8660.708984375
2015-08-24,8280.6826171875
2015-08-25,8274.2060546875
2015-08-26,8277.1015625
2015-08-27,8634.3125
2015-08-28,8627.689453125
2015-08-31,8722.5244140625
2015-09-01,8511.072265625
2015-09-02,8560.130859375
2015-09-03,8559.4951171875
2015-09-04,8473.09765625
2015-09-07,8453.9658203125
2015-09-08,8577.5498046875
2015-09-09,8679.6435546875
2015-09-10,8524.7109375
2015-09-11,8676.7998046875
2015-09-14,8707.1181640625
2015-09-15,8752.1572265625
2015-09-16,8786.4013671875
2015-09-18,8804.50390625
2015-09-21,8835.904296875
2015-09-22,8731.748046875
2015-09-23,8832.4208984375
2015-09-24,9092.4423828125
2015-09-28,9003.4462890625
2015-09-29,8998.78515625
2015-09-30,9055.0576171875
2015-10-01,9045.5888671875
2015-10-05,9138.607421875
2015-10-06,9161.619140625
2015-10-07,9244.2861328125
2015-10-08,9420.3662109375
2015-10-09,9349.32421875
2015-10-12,9340.2490234375
2015-10-13,9321.017578125
2015-10-14,9284.9580078125
2015-10-15,9324.009765625
2015-10-16,9388.23046875
2015-10-19,9411.240234375
2015-10-20,9418.4013671875
2015-10-21,9332.693359375
2015-10-23,9381.2138671875
2015-10-26,9376.603515625
2015-10-27,9395.8837890625
2015-10-28,9361.5888671875
2015-10-29,9301.78515625
2015-10-30,9273.4287109375
2015-11-02,9104.0205078125
2015-11-03,9160.0986328125
2015-11-04,9227.1142578125
2015-11-05,9151.267578125
2015-11-06,9034.353515625
2015-11-09,9121.4384765625
2015-11-10,9142.4365234375
2015-11-13,9020.6181640625
2015-11-16,8948.2041015625
2015-11-17,8851.7490234375
2015-11-18,8742.3935546875
2015-11-19,8863.623046875
2015-11-20,9080.3740234375
2015-11-23,9037.1005859375
2015-11-24,8958.41015625
2015-11-26,8888.3994140625
2015-11-27,8949.283203125
2015-11-30,8953.599609375
2015-12-01,8830.6552734375
2015-12-02,8608.26171875
2015-12-03,8590.451171875
2015-12-04,8647.3623046875
2015-12-07,8781.984375
2015-12-08,8738.71484375
2015-12-09,8621.9482421875
2015-12-10,8548.359375
2015-12-11,8794.83984375
2015-12-14,8740.5791015625
2015-12-15,8780.61328125
2015-12-16,8818.8779296875
2015-12-17,8908.2666015625
2015-12-18,8883.5390625
2015-12-21,8853.4189453125
2015-12-22,8798.666015625
2015-12-23,8931.962890625
2015-12-24,8856.3125
2015-12-28,8789.5888671875
2015-12-29,8801.2666015625
2015-12-30,8911.7021484375
2015-12-31,8959.734375
2016-01-01,8745.189453125
2016-01-04,8773.107421875
2016-01-05,8770.064453125
2016-01-06,8743.7177734375
2016-01-07,8748.673828125
2016-01-08,8734.203125
2016-01-11,8637.255859375
2016-01-12,8643.044921875
2016-01-13,8697.4052734375
2016-01-14,8734.6923828125
2016-01-15,8657.9609375
2016-01-18,8293.8779296875
2016-01-19,8360.30859375
2016-01-20,8069.72021484375
2016-01-21,8141.9853515625
2016-01-22,8441.16015625
2016-01-25,8495.6171875
2016-01-27,8431.349609375
2016-01-28,8433.703125
2016-01-29,8414.1279296875
2016-02-01,8443.123046875
2016-02-02,8346.3271484375
2016-02-03,8326.701171875
2016-02-04,8288.6298828125
2016-02-05,8289.46484375
2016-02-08,8326.50390625
2016-02-09,8318.9501953125
2016-02-10,8277.4453125
2016-02-11,8023.11376953125
2016-02-12,7933.5283203125
2016-02-15,7988.083984375
2016-02-16,7888.146484375
2016-02-17,7847.42578125
2016-02-18,8029.09814453125
2016-02-19,8024.48681640625
2016-02-22,8147.38330078125
2016-02-23,8334.89453125
2016-02-24,8307.515625
2016-02-25,8269.30078125
2016-02-26,8243.7880859375
2016-02-29,8289.904296875
2016-03-01,8313.9443359375
2016-03-02,8261.2041015625
2016-03-03,8326.3095703125
2016-03-04,8481.9296875
2016-03-08,8520.8369140625
2016-03-09,8458.6748046875
2016-03-10,8536.4853515625
2016-03-11,8445.03515625
2016-03-14,8579.3154296875
2016-03-15,8527.0166015625
2016-03-16,8437.873046875
2016-03-17,8475.6494140625
2016-03-18,8353.193359375
2016-03-21,8430.0234375
2016-03-22,8455.927734375
2016-03-23,8348.3369140625
2016-03-28,8424.87109375
2016-03-29,8405.3935546875
2016-03-30,8481.7333984375
2016-03-31,8434.5859375
2016-04-01,8483.3525390625
2016-04-04,8515.6357421875
2016-04-05,8404.9033203125
2016-04-06,8438.4111328125
2016-04-07,8428.501953125
2016-04-08,8504.1044921875
2016-04-11,8704.3232421875
2016-04-12,8721.7890625
2016-04-13,8963.5595703125
2016-04-18,9111.18359375
2016-04-20,9054.126953125
2016-04-21,9155.388671875
2016-04-22,9345.546875
2016-04-25,9403.2421875
2016-04-26,9358.5966796875
2016-04-27,9344.958984375
2016-04-28,9069.53125
2016-04-29,8997.068359375
2016-05-02,9003.4462890625
2016-05-03,8988.1396484375
2016-05-04,8969.642578125
2016-05-05,9004.771484375
2016-05-06,9118.58984375
2016-05-09,9065.4599609375
2016-05-10,9021.599609375
2016-05-11,8976.70703125
2016-05-12,9010.16796875
2016-05-13,9013.994140625
2016-05-16,9020.4716796875
2016-05-17,9288.341796875
2016-05-18,9162.7490234375
2016-05-19,8995.2529296875
2016-05-20,8853.8115234375
2016-05-23,8674.6416015625
2016-05-24,8495.2265625
2016-05-25,8635.490234375
2016-05-26,8691.861328125
2016-05-27,8659.5283203125
2016-05-30,8672.921875
2016-05-31,8756.767578125
2016-06-01,8754.31640625
2016-06-02,8828.9853515625
