Date,ROP
2015-08-03,155.93963623046875
2015-08-04,157.19345092773438
2015-08-05,157.8062744140625
2015-08-06,157.39138793945312
2015-08-07,158.63583374023438
2015-08-10,160.238525390625
2015-08-11,159.24859619140625
2015-08-12,158.8621368408203
2015-08-13,159.38063049316406
2015-08-14,160.01226806640625
2015-08-17,161.4075469970703
2015-08-18,161.56781005859375
2015-08-19,159.53146362304688
2015-08-20,156.2224578857422
2015-08-21,152.4796905517578
2015-08-24,146.14450073242188
2015-08-25,145.41854858398438
2015-08-26,148.4353485107422
2015-08-27,153.90328979492188
2015-08-28,154.65753173828125
2015-08-31,152.80967712402344
2015-09-01,146.93637084960938
2015-09-02,149.64210510253906
2015-09-03,149.65150451660156
2015-09-04,147.3323516845703
2015-09-08,151.4332733154297
2015-09-09,149.28379821777344
2015-09-10,149.93431091308594
2015-09-11,149.2555389404297
2015-09-14,149.59490966796875
2015-09-15,151.38613891601562
2015-09-16,153.0453643798828
2015-09-17,152.22515869140625
2015-09-18,148.4730682373047
2015-09-21,149.16128540039062
2015-09-22,146.1539306640625
2015-09-23,144.5606689453125
2015-09-24,145.09800720214844
2015-09-25,145.38087463378906
2015-09-28,144.1741180419922
2015-09-29,144.35321044921875
2015-09-30,147.72825622558594
2015-10-01,148.71815490722656
2015-10-02,150.56594848632812
2015-10-05,154.91201782226562
2015-10-06,155.5718994140625
2015-10-07,158.39505004882812
2015-10-08,164.25836181640625
2015-10-09,164.00340270996094
2015-10-12,164.50379943847656
2015-10-13,164.4283447265625
2015-10-14,163.86181640625
2015-10-15,164.89096069335938
2015-10-16,164.0128631591797
2015-10-19,164.8059539794922
2015-10-20,164.4566192626953
2015-10-21,163.29530334472656
2015-10-22,165.70294189453125
2015-10-23,166.98703002929688
2015-10-26,172.6992950439453
2015-10-27,172.86924743652344
2015-10-28,173.9172821044922
2015-10-29,173.95504760742188
2015-10-30,175.94728088378906
2015-11-02,178.30775451660156
2015-11-03,176.53268432617188
2015-11-04,177.3162841796875
2015-11-05,177.4202117919922
2015-11-06,176.90086364746094
2015-11-09,175.29576110839844
2015-11-10,175.67344665527344
2015-11-11,177.00474548339844
2015-11-12,174.0399932861328
2015-11-13,174.18167114257812
2015-11-16,176.5232696533203
2015-11-17,175.38075256347656
