Date,SAMMAANCAP.NS
2015-08-21,515.62353515625
2015-08-24,477.0491638183594
2015-08-25,492.50555419921875
2015-08-26,506.2630310058594
2015-08-27,516.1898803710938
2015-08-28,517.7553100585938
2015-08-31,503.03179931640625
2015-09-01,484.6773986816406
2015-09-02,473.7513122558594
2015-09-03,473.4515075683594
2015-09-04,480.8467102050781
2015-09-07,482.64532470703125
2015-09-08,480.8467102050781
2015-09-09,476.9824523925781
2015-09-10,482.6121826171875
2015-09-11,486.0764465332031
2015-09-14,510.593505859375
2015-09-15,498.3349304199219
2015-09-16,486.74273681640625
2015-09-18,479.5809020996094
2015-09-21,477.5487976074219
2015-09-22,467.222412109375
2015-09-23,488.2084045410156
2015-09-24,480.7135009765625
2015-09-28,484.5775451660156
2015-09-29,496.3697509765625
2015-09-30,529.0146484375
2015-10-01,530.2802734375
2015-10-05,525.1837768554688
2015-10-06,524.8840942382812
2015-10-07,522.5523681640625
2015-10-08,502.7320556640625
2015-10-09,495.17034912109375
2015-10-12,492.97186279296875
2015-10-13,488.5082702636719
2015-10-14,495.8367004394531
2015-10-15,496.2364196777344
2015-10-16,486.1097717285156
2015-10-19,495.8033142089844
2015-10-20,491.2731628417969
2015-10-21,490.34033203125
2015-10-23,495.67022705078125
2015-10-26,496.2364196777344
2015-10-27,498.001953125
2015-10-28,492.7053527832031
2015-10-29,483.2783508300781
2015-10-30,480.0472412109375
2015-11-02,487.06353759765625
2015-11-03,489.39105224609375
2015-11-04,482.2734680175781
2015-11-05,476.7749938964844
2015-11-06,475.5270080566406
2015-11-09,472.1537170410156
2015-11-10,471.00689697265625
2015-11-13,434.1372375488281
2015-11-16,424.6584167480469
2015-11-17,418.9238586425781
2015-11-18,407.3536682128906
2015-11-19,415.14593505859375
2015-11-20,441.45733642578125
2015-11-23,458.2222595214844
2015-11-24,467.1951599121094
2015-11-26,459.26788330078125
2015-11-27,463.78814697265625
2015-11-30,467.7685546875
2015-12-01,484.60125732421875
2015-12-02,485.1070861816406
2015-12-03,481.83489990234375
2015-12-04,477.75341796875
2015-12-07,468.4769592285156
2015-12-08,457.17657470703125
2015-12-09,451.0035095214844
2015-12-10,453.9044494628906
2015-12-11,446.1123352050781
2015-12-14,451.23956298828125
2015-12-15,453.2297668457031
2015-12-16,464.1255798339844
2015-12-17,480.55322265625
2015-12-18,474.0427551269531
2015-12-21,474.6162109375
2015-12-22,472.3898620605469
2015-12-23,472.79473876953125
2015-12-24,477.1125183105469
2015-12-28,479.608642578125
2015-12-29,494.0462341308594
2015-12-30,492.83184814453125
2015-12-31,497.0146484375
2016-01-01,496.3063049316406
2016-01-04,488.0755310058594
2016-01-05,494.788330078125
2016-01-06,496.441162109375
2016-01-07,483.9263916015625
2016-01-08,496.0364074707031
2016-01-11,496.67718505859375
2016-01-12,481.6325378417969
2016-01-13,483.6226806640625
2016-01-14,466.89154052734375
2016-01-15,448.709716796875
2016-01-18,443.1100769042969
2016-01-19,470.19732666015625
2016-01-20,465.2723693847656
2016-01-21,471.141845703125
2016-01-22,478.09075927734375
2016-01-25,477.75341796875
2016-01-27,474.9873962402344
2016-01-28,470.4334411621094
2016-01-29,476.9437561035156
2016-02-01,484.1189270019531
2016-02-02,474.14208984375
2016-02-03,462.01263427734375
2016-02-04,450.7373046875
2016-02-05,466.2492980957031
2016-02-08,459.3816223144531
2016-02-09,428.4942626953125
2016-02-10,427.2300109863281
2016-02-11,419.8158264160156
2016-02-12,410.8639221191406
2016-02-15,433.6536560058594
2016-02-16,420.8406982421875
2016-02-17,417.86822509765625
2016-02-18,414.79315185546875
2016-02-19,408.3013610839844
2016-02-22,398.56365966796875
2016-02-23,386.5366516113281
2016-02-24,377.82391357421875
2016-02-25,382.8124084472656
2016-02-26,393.2676086425781
2016-02-29,393.1651306152344
2016-03-01,426.1708984375
2016-03-02,443.7672119140625
2016-03-03,443.7672119140625
2016-03-04,457.3658752441406
2016-03-08,451.86492919921875
2016-03-09,448.1748046875
2016-03-10,447.5257263183594
2016-03-11,442.26373291015625
2016-03-14,446.0563049316406
2016-03-15,443.9380187988281
2016-03-16,434.64447021484375
2016-03-17,434.439453125
2016-03-18,424.4579162597656
2016-03-21,447.5055236816406
2016-03-22,447.1935729980469
2016-03-23,446.5697937011719
2016-03-28,437.4893493652344
2016-03-29,426.1561584472656
2016-03-30,443.3465576171875
2016-03-31,450.48614501953125
2016-04-01,448.26800537109375
2016-04-04,437.9052734375
2016-04-05,427.1612243652344
2016-04-06,432.3253173828125
2016-04-07,425.80950927734375
2016-04-08,421.26934814453125
2016-04-11,433.3996887207031
2016-04-12,430.2804260253906
2016-04-13,434.6473693847656
2016-04-18,444.73291015625
2016-04-20,454.4372253417969
2016-04-21,461.3687744140625
2016-04-22,467.1567687988281
2016-04-25,460.01708984375
2016-04-26,471.4195861816406
2016-04-27,487.1890869140625
2016-04-28,483.20343017578125
2016-04-29,480.53466796875
2016-05-02,480.74273681640625
2016-05-03,474.1577453613281
2016-05-04,464.5918884277344
2016-05-05,463.7948303222656
2016-05-06,468.88958740234375
2016-05-09,479.2870178222656
2016-05-10,475.7519836425781
2016-05-11,471.8008728027344
2016-05-12,494.1206970214844
2016-05-13,496.37353515625
2016-05-16,502.3345947265625
2016-05-17,499.56201171875
2016-05-18,505.3153381347656
2016-05-19,480.3614807128906
2016-05-20,476.7570495605469
2016-05-23,479.18304443359375
2016-05-24,473.15264892578125
2016-05-25,482.6142578125
2016-05-26,498.3489074707031
2016-05-27,515.5393676757812
2016-05-30,511.6575622558594
