Date,BLUESTARCO.NS
2015-08-21,161.0196533203125
2015-08-24,155.31326293945312
2015-08-25,157.95220947265625
2015-08-26,158.01983642578125
2015-08-27,158.9220733642578
2015-08-28,157.83941650390625
2015-08-31,158.7866973876953
2015-09-01,153.9599609375
2015-09-02,154.25318908691406
2015-09-03,156.5763397216797
2015-09-04,154.8170623779297
2015-09-07,153.6442108154297
2015-09-08,152.3360137939453
2015-09-09,155.538818359375
2015-09-10,152.3360137939453
2015-09-11,153.37353515625
2015-09-14,153.84718322753906
2015-09-15,153.5765380859375
2015-09-16,152.40367126464844
2015-09-18,153.23822021484375
2015-09-21,152.4487762451172
2015-09-22,150.3737335205078
2015-09-23,149.99029541015625
2015-09-24,149.92263793945312
2015-09-28,150.0805206298828
2015-09-29,150.05795288085938
2015-09-30,159.28292846679688
2015-10-01,153.82464599609375
2015-10-05,153.6442108154297
2015-10-06,154.97491455078125
2015-10-07,154.25318908691406
2015-10-08,155.35836791992188
2015-10-09,154.72683715820312
2015-10-12,152.99009704589844
2015-10-13,160.6813201904297
2015-10-14,162.73382568359375
2015-10-15,163.38790893554688
2015-10-16,160.11746215820312
2015-10-19,157.478515625
2015-10-20,161.8767547607422
2015-10-21,160.6587677001953
2015-10-23,160.3881072998047
2015-10-26,162.93682861328125
2015-10-27,167.22227478027344
2015-10-28,169.7935333251953
2015-10-29,171.41748046875
2015-10-30,175.68035888671875
2015-11-02,172.11666870117188
2015-11-03,167.38015747070312
2015-11-04,165.03445434570312
2015-11-05,161.76397705078125
2015-11-06,159.46337890625
2015-11-09,158.876953125
2015-11-10,158.62884521484375
2015-11-13,158.13262939453125
2015-11-16,159.5986785888672
2015-11-17,158.4258575439453
2015-11-18,160.18515014648438
2015-11-19,162.57594299316406
2015-11-20,163.4330291748047
2015-11-23,161.0647735595703
2015-11-24,160.6813201904297
2015-11-26,161.49330139160156
2015-11-27,162.21510314941406
2015-11-30,160.5009002685547
2015-12-01,161.13243103027344
