Date,NETWORK18.NS
2015-08-21,55.349998474121094
2015-08-24,50.099998474121094
2015-08-25,48.099998474121094
2015-08-26,48.20000076293945
2015-08-27,50.54999923706055
2015-08-28,49.900001525878906
2015-08-31,49.400001525878906
2015-09-01,47.95000076293945
2015-09-02,48.400001525878906
2015-09-03,48.400001525878906
2015-09-04,47.0
2015-09-07,46.25
2015-09-08,47.400001525878906
2015-09-09,47.54999923706055
2015-09-10,47.54999923706055
2015-09-11,48.150001525878906
2015-09-14,50.04999923706055
2015-09-15,49.349998474121094
2015-09-16,48.79999923706055
2015-09-18,49.400001525878906
2015-09-21,49.95000076293945
2015-09-22,48.25
2015-09-23,49.0
2015-09-24,49.900001525878906
2015-09-28,48.70000076293945
2015-09-29,47.45000076293945
2015-09-30,48.849998474121094
2015-10-01,48.150001525878906
2015-10-05,49.25
2015-10-06,49.75
2015-10-07,50.54999923706055
2015-10-08,50.95000076293945
2015-10-09,50.70000076293945
2015-10-12,51.70000076293945
2015-10-13,51.599998474121094
2015-10-14,50.349998474121094
2015-10-15,49.79999923706055
2015-10-16,50.75
2015-10-19,52.70000076293945
2015-10-20,51.099998474121094
2015-10-21,50.75
2015-10-23,49.95000076293945
2015-10-26,49.29999923706055
2015-10-27,48.650001525878906
2015-10-28,49.20000076293945
2015-10-29,48.599998474121094
2015-10-30,48.29999923706055
2015-11-02,49.150001525878906
2015-11-03,49.75
2015-11-04,48.54999923706055
2015-11-05,47.849998474121094
2015-11-06,47.75
2015-11-09,47.650001525878906
2015-11-10,47.29999923706055
2015-11-13,48.0
2015-11-16,48.45000076293945
2015-11-17,49.900001525878906
2015-11-18,49.04999923706055
2015-11-19,50.150001525878906
2015-11-20,50.650001525878906
2015-11-23,50.400001525878906
2015-11-24,50.0
2015-11-26,50.349998474121094
2015-11-27,50.20000076293945
2015-11-30,51.70000076293945
2015-12-01,52.29999923706055
2015-12-02,51.79999923706055
2015-12-03,54.54999923706055
2015-12-04,53.0
2015-12-07,54.150001525878906
2015-12-08,51.849998474121094
2015-12-09,50.25
2015-12-10,51.650001525878906
2015-12-11,51.20000076293945
2015-12-14,51.29999923706055
2015-12-15,52.29999923706055
2015-12-16,51.5
2015-12-17,53.650001525878906
2015-12-18,53.650001525878906
2015-12-21,57.54999923706055
2015-12-22,57.45000076293945
2015-12-23,57.349998474121094
2015-12-24,55.849998474121094
2015-12-28,62.099998474121094
2015-12-29,59.900001525878906
2015-12-30,60.54999923706055
2015-12-31,58.75
2016-01-01,59.0
2016-01-04,58.349998474121094
2016-01-05,57.150001525878906
2016-01-06,57.400001525878906
2016-01-07,54.849998474121094
2016-01-08,55.95000076293945
2016-01-11,56.849998474121094
2016-01-12,56.099998474121094
2016-01-13,54.79999923706055
2016-01-14,52.849998474121094
2016-01-15,49.79999923706055
2016-01-18,47.349998474121094
2016-01-19,47.900001525878906
2016-01-20,46.150001525878906
2016-01-21,45.599998474121094
2016-01-22,48.20000076293945
2016-01-25,46.95000076293945
2016-01-27,46.900001525878906
2016-01-28,47.29999923706055
2016-01-29,47.79999923706055
2016-02-01,47.45000076293945
2016-02-02,46.04999923706055
2016-02-03,44.849998474121094
2016-02-04,45.0
2016-02-05,45.29999923706055
2016-02-08,45.099998474121094
2016-02-09,44.5
2016-02-10,44.400001525878906
2016-02-11,41.599998474121094
2016-02-12,41.54999923706055
2016-02-15,42.400001525878906
2016-02-16,40.29999923706055
2016-02-17,40.650001525878906
2016-02-18,41.0
2016-02-19,40.150001525878906
2016-02-22,40.79999923706055
2016-02-23,39.29999923706055
2016-02-24,39.150001525878906
2016-02-25,38.849998474121094
2016-02-26,38.900001525878906
2016-02-29,38.45000076293945
2016-03-01,40.349998474121094
2016-03-02,41.70000076293945
2016-03-03,42.849998474121094
2016-03-04,42.70000076293945
2016-03-08,43.20000076293945
2016-03-09,42.849998474121094
2016-03-10,42.95000076293945
2016-03-11,43.0
2016-03-14,42.349998474121094
2016-03-15,42.150001525878906
2016-03-16,42.70000076293945
2016-03-17,42.099998474121094
2016-03-18,43.5
2016-03-21,44.900001525878906
2016-03-22,44.20000076293945
2016-03-23,45.29999923706055
2016-03-28,43.0
2016-03-29,43.650001525878906
2016-03-30,44.20000076293945
2016-03-31,44.0
2016-04-01,44.5
2016-04-04,44.099998474121094
2016-04-05,42.650001525878906
2016-04-06,43.900001525878906
2016-04-07,42.5
2016-04-08,41.849998474121094
2016-04-11,41.79999923706055
2016-04-12,42.0
2016-04-13,42.45000076293945
2016-04-18,42.849998474121094
2016-04-20,44.45000076293945
2016-04-21,42.349998474121094
2016-04-22,42.45000076293945
2016-04-25,42.20000076293945
2016-04-26,41.75
2016-04-27,41.650001525878906
2016-04-28,40.900001525878906
2016-04-29,40.650001525878906
2016-05-02,40.900001525878906
2016-05-03,40.70000076293945
2016-05-04,39.650001525878906
2016-05-05,39.650001525878906
2016-05-06,39.45000076293945
2016-05-09,39.349998474121094
2016-05-10,39.400001525878906
2016-05-11,39.45000076293945
2016-05-12,39.29999923706055
2016-05-13,42.650001525878906
2016-05-16,42.5
2016-05-17,43.25
2016-05-18,42.25
2016-05-19,41.25
2016-05-20,41.25
2016-05-23,41.54999923706055
2016-05-24,41.599998474121094
2016-05-25,42.0
2016-05-26,42.20000076293945
2016-05-27,41.75
