Date,ATO
2015-08-03,43.51952362060547
2015-08-04,43.00032043457031
2015-08-05,43.244178771972656
2015-08-06,43.17338943481445
2015-08-07,43.76338577270508
2015-08-10,43.472320556640625
2015-08-11,43.700462341308594
2015-08-12,45.077171325683594
2015-08-13,44.93555450439453
2015-08-14,45.171566009521484
2015-08-17,45.525577545166016
2015-08-18,45.077171325683594
2015-08-19,45.210906982421875
2015-08-20,44.56142044067383
2015-08-21,43.983211517333984
2015-08-24,43.8089714050293
2015-08-25,43.15153884887695
2015-08-26,43.507965087890625
2015-08-27,43.84063720703125
2015-08-28,44.02281188964844
2015-08-31,43.397090911865234
2015-09-01,42.44660186767578
2015-09-02,42.573341369628906
2015-09-03,42.3436393737793
2015-09-04,41.63079071044922
2015-09-08,42.54166030883789
2015-09-09,42.44660186767578
2015-09-10,42.201072692871094
2015-09-11,42.834716796875
2015-09-14,42.99312973022461
2015-09-15,43.246585845947266
2015-09-16,43.77728271484375
2015-09-17,44.15747833251953
2015-09-18,43.975276947021484
2015-09-21,44.47429656982422
2015-09-22,44.81486511230469
2015-09-23,44.8386344909668
2015-09-24,45.0525016784668
2015-09-25,45.670310974121094
2015-09-28,45.62278366088867
2015-09-29,45.226741790771484
2015-09-30,46.08217239379883
2015-10-01,45.79703140258789
2015-10-02,46.676212310791016
2015-10-05,47.01680374145508
2015-10-06,46.39899444580078
2015-10-07,46.50990295410156
2015-10-08,47.159385681152344
2015-10-09,46.73165512084961
2015-10-12,47.175228118896484
2015-10-13,46.818790435791016
2015-10-14,46.60493087768555
2015-10-15,47.3415412902832
2015-10-16,48.11777114868164
2015-10-19,48.26034164428711
2015-10-20,47.919761657714844
2015-10-21,47.76927185058594
2015-10-22,48.03855895996094
2015-10-23,47.46828842163086
2015-10-26,48.95735168457031
2015-10-27,49.00487518310547
2015-10-28,49.28208541870117
2015-10-29,49.210811614990234
2015-10-30,49.899906158447266
2015-11-02,49.92367172241211
2015-11-03,50.05040740966797
