Date,ADI
2015-08-03,47.810543060302734
2015-08-04,47.65571594238281
2015-08-05,49.46480941772461
2015-08-06,47.973533630371094
2015-08-07,48.576541900634766
2015-08-10,49.782623291015625
2015-08-11,48.38912582397461
2015-08-12,48.68248748779297
2015-08-13,48.07946014404297
2015-08-14,47.94907760620117
2015-08-17,48.486915588378906
2015-08-18,47.183067321777344
2015-08-19,47.5742073059082
2015-08-20,43.858245849609375
2015-08-21,43.82566833496094
2015-08-24,42.106204986572266
2015-08-25,41.242401123046875
2015-08-26,44.53622055053711
2015-08-27,46.39257049560547
2015-08-28,46.367916107177734
2015-08-31,45.88330841064453
2015-09-01,43.98587417602539
2015-09-02,44.840118408203125
2015-09-03,45.31654739379883
2015-09-04,44.3226432800293
2015-09-08,47.45216751098633
2015-09-09,46.22006607055664
2015-09-10,46.006507873535156
2015-09-11,46.28577423095703
2015-09-14,47.2796630859375
2015-09-15,47.887508392333984
2015-09-16,48.01072311401367
2015-09-17,47.58359909057617
2015-09-18,46.548622131347656
2015-09-21,46.51577377319336
2015-09-22,45.324737548828125
2015-09-23,45.34117889404297
2015-09-24,44.35549545288086
2015-09-25,44.7169075012207
2015-09-28,43.920166015625
2015-09-29,44.39657211303711
2015-09-30,46.33506774902344
2015-10-01,45.12762451171875
2015-10-02,45.743675231933594
2015-10-05,47.17290496826172
2015-10-06,46.72933578491211
2015-10-07,47.53431701660156
2015-10-08,47.411109924316406
2015-10-09,46.565059661865234
2015-10-12,46.47471237182617
2015-10-13,46.03935623168945
2015-10-14,50.09706115722656
2015-10-15,50.33528518676758
2015-10-16,49.439971923828125
2015-10-19,49.464595794677734
2015-10-20,49.61245346069336
2015-10-21,50.72133255004883
2015-10-22,52.07664489746094
2015-10-23,52.25735092163086
2015-10-26,50.54063415527344
2015-10-27,50.425628662109375
2015-10-28,50.81169128417969
2015-10-29,49.26746368408203
2015-10-30,49.38246154785156
2015-11-02,49.56317138671875
2015-11-03,49.826026916503906
2015-11-04,49.6863899230957
2015-11-05,49.57958984375
2015-11-06,50.680274963378906
2015-11-09,50.07241439819336
2015-11-10,49.25925827026367
2015-11-11,49.20174026489258
2015-11-12,48.840328216552734
2015-11-13,47.74787902832031
2015-11-16,48.03536605834961
2015-11-17,48.70891189575195
2015-11-18,49.891727447509766
2015-11-19,49.09496307373047
2015-11-20,48.80747604370117
2015-11-23,46.65541458129883
2015-11-24,49.62887191772461
2015-11-25,49.48923873901367
2015-11-27,49.653526306152344
2015-11-30,50.62277603149414
2015-12-01,50.573486328125
2015-12-02,50.21797561645508
2015-12-03,48.820735931396484
2015-12-04,48.95302200317383
2015-12-07,48.36600875854492
2015-12-08,47.96916580200195
2015-12-09,46.83649444580078
2015-12-10,47.249874114990234
2015-12-11,47.0679817199707
2015-12-14,46.977027893066406
2015-12-15,46.753814697265625
2015-12-16,47.56402587890625
2015-12-17,46.39830780029297
2015-12-18,45.61288070678711
