Date,PKG
2015-08-03,51.807716369628906
2015-08-04,52.01483154296875
2015-08-05,52.303314208984375
2015-08-06,52.229331970214844
2015-08-07,52.70273208618164
2015-08-10,53.582969665527344
2015-08-11,53.59776306152344
2015-08-12,53.12436294555664
2015-08-13,53.33887481689453
2015-08-14,54.14511489868164
2015-08-17,54.27088165283203
2015-08-18,53.93062973022461
2015-08-19,53.57556915283203
2015-08-20,52.628787994384766
2015-08-21,51.718963623046875
2015-08-24,49.11525344848633
2015-08-25,47.199466705322266
2015-08-26,47.70245361328125
2015-08-27,49.041290283203125
2015-08-28,49.91411590576172
2015-08-31,49.64044189453125
2015-09-01,48.094486236572266
2015-09-02,48.479122161865234
2015-09-03,48.44953155517578
2015-09-04,47.761619567871094
2015-09-08,48.952518463134766
2015-09-09,48.3903694152832
2015-09-10,48.68623733520508
2015-09-11,48.88018035888672
2015-09-14,49.10395431518555
2015-09-15,49.40233612060547
2015-09-16,49.3575553894043
2015-09-17,48.85779571533203
2015-09-18,47.91794204711914
2015-09-21,47.85825729370117
2015-09-22,46.851280212402344
2015-09-23,46.597660064697266
2015-09-24,45.50115203857422
2015-09-25,45.72493362426758
2015-09-28,44.2629280090332
2015-09-29,44.37482452392578
2015-09-30,44.87458801269531
2015-10-01,45.680179595947266
2015-10-02,46.64241409301758
2015-10-05,47.462913513183594
2015-10-06,46.8661994934082
2015-10-07,47.75383758544922
2015-10-08,48.5072135925293
2015-10-09,52.005577087402344
2015-10-12,51.1104736328125
2015-10-13,50.77480697631836
2015-10-14,51.27458190917969
2015-10-15,51.39392852783203
2015-10-16,51.722110748291016
2015-10-19,51.50581359863281
2015-10-20,50.88670349121094
2015-10-21,47.96269607543945
2015-10-22,48.3580322265625
2015-10-23,49.70069122314453
2015-10-26,50.319793701171875
2015-10-27,49.96922302246094
2015-10-28,50.44661331176758
2015-10-29,50.752445220947266
2015-10-30,51.058258056640625
2015-11-02,51.580406188964844
2015-11-03,50.207916259765625
2015-11-04,50.22283172607422
2015-11-05,50.125858306884766
2015-11-06,49.991580963134766
2015-11-09,49.588802337646484
2015-11-10,49.41722869873047
2015-11-11,49.9020881652832
2015-11-12,48.18646240234375
2015-11-13,48.432621002197266
2015-11-16,48.11933517456055
2015-11-17,47.268985748291016
2015-11-18,48.95475769042969
2015-11-19,49.58134078979492
2015-11-20,50.18553924560547
2015-11-23,50.17808151245117
2015-11-24,51.006038665771484
2015-11-25,50.28252029418945
2015-11-27,50.722591400146484
2015-11-30,50.71515655517578
2015-12-01,51.356632232666016
2015-12-02,50.319793701171875
2015-12-03,49.805118560791016
2015-12-04,50.02888870239258
2015-12-07,49.92447280883789
2015-12-08,48.96969223022461
2015-12-09,49.074119567871094
2015-12-10,48.67131805419922
2015-12-11,48.55197525024414
2015-12-14,47.582271575927734
2015-12-15,47.90302276611328
2015-12-16,48.52957534790039
2015-12-17,46.21723937988281
2015-12-18,44.65080642700195
2015-12-21,45.44147491455078
2015-12-22,46.76921463012695
2015-12-23,48.040985107421875
2015-12-24,48.387149810791016
2015-12-28,48.43982696533203
2015-12-29,48.116233825683594
2015-12-30,48.16139221191406
2015-12-31,47.44649124145508
2016-01-04,46.919715881347656
2016-01-05,46.87456512451172
2016-01-06,45.85114669799805
2016-01-07,44.76750946044922
2016-01-08,43.82685470581055
2016-01-11,44.7750358581543
2016-01-12,44.7750358581543
2016-01-13,43.38287353515625
2016-01-14,43.76665115356445
2016-01-15,43.992408752441406
2016-01-19,43.14958953857422
2016-01-20,42.87868881225586
2016-01-21,42.103580474853516
2016-01-22,43.39040756225586
2016-01-25,37.76905822753906
2016-01-26,37.400325775146484
2016-01-27,37.475589752197266
2016-01-28,36.78326416015625
2016-01-29,38.25067138671875
2016-02-01,38.38613510131836
2016-02-02,37.558349609375
2016-02-03,37.189613342285156
2016-02-04,37.95719909667969
2016-02-05,38.107688903808594
2016-02-08,37.42290115356445
2016-02-09,37.50568389892578
2016-02-10,36.73810577392578
2016-02-11,34.668663024902344
2016-02-12,35.06752395629883
2016-02-16,35.66200637817383
2016-02-17,36.09093475341797
2016-02-18,35.48893356323242
2016-02-19,33.97635269165039
2016-02-22,34.40528106689453
2016-02-23,34.48054885864258
2016-02-24,35.58674621582031
2016-02-25,35.71467590332031
2016-02-26,36.369380950927734
2016-02-29,36.497291564941406
2016-03-01,37.98729705810547
2016-03-02,38.16789627075195
2016-03-03,39.46223068237305
2016-03-04,39.650367736816406
2016-03-07,40.20722961425781
2016-03-08,39.59768295288086
2016-03-09,41.396209716796875
2016-03-10,40.907066345214844
2016-03-11,42.13101577758789
2016-03-14,41.89535140991211
2016-03-15,41.27198028564453
2016-03-16,42.49592590332031
2016-03-17,43.552608489990234
2016-03-18,43.484195709228516
2016-03-21,44.2900276184082
2016-03-22,44.83736801147461
2016-03-23,44.38886260986328
2016-03-24,44.63211441040039
2016-03-28,44.80696105957031
2016-03-29,45.75722885131836
2016-03-30,45.18708419799805
2016-03-31,45.91688537597656
2016-04-01,46.167747497558594
2016-04-04,45.954891204833984
2016-04-05,44.76896286010742
2016-04-06,45.48356246948242
2016-04-07,44.844970703125
2016-04-08,45.74962615966797
2016-04-11,45.65841293334961
2016-04-12,46.12974548339844
2016-04-13,46.958370208740234
2016-04-14,46.517452239990234
2016-04-15,47.33847427368164
2016-04-18,47.57414627075195
2016-04-19,47.96185302734375
2016-04-20,47.665367126464844
2016-04-21,48.539615631103516
2016-04-22,49.93080520629883
2016-04-25,49.49748611450195
2016-04-26,50.120853424072266
2016-04-27,50.29571533203125
