Date,RBLBANK.NS
2016-08-31,289.53143310546875
2016-09-01,295.0919494628906
2016-09-02,291.32049560546875
2016-09-06,297.6062316894531
2016-09-07,293.9798278808594
2016-09-08,295.4303894042969
2016-09-09,288.9512634277344
2016-09-12,287.1622009277344
2016-09-14,287.1622009277344
2016-09-15,289.4830627441406
2016-09-16,291.8523254394531
2016-09-19,291.41717529296875
2016-09-20,287.3556213378906
2016-09-21,290.1116638183594
2016-09-22,292.1907958984375
2016-09-23,293.3028564453125
2016-09-26,292.2391662597656
2016-09-27,289.0479431152344
2016-09-28,287.742431640625
2016-09-29,276.4764099121094
2016-09-30,281.60174560546875
2016-10-03,287.7908020019531
2016-10-04,287.742431640625
2016-10-05,285.905029296875
2016-10-06,294.26995849609375
2016-10-07,299.0567932128906
2016-10-10,302.7799072265625
2016-10-13,296.1556701660156
2016-10-14,304.3271789550781
2016-10-17,297.6545715332031
2016-10-18,297.31610107421875
2016-10-19,303.07000732421875
2016-10-20,317.23712158203125
2016-10-21,317.7206115722656
2016-10-24,322.60418701171875
2016-10-25,333.1449279785156
2016-10-26,341.7998962402344
2016-10-27,349.24609375
2016-10-28,362.30108642578125
2016-11-01,382.7539978027344
2016-11-02,369.4571838378906
2016-11-03,366.4594421386719
2016-11-04,353.88787841796875
2016-11-07,370.5693359375
2016-11-08,373.22869873046875
2016-11-09,364.52532958984375
2016-11-10,368.3451232910156
2016-11-11,366.74951171875
2016-11-15,351.6636962890625
2016-11-16,342.380126953125
2016-11-17,330.4372253417969
2016-11-18,327.7778625488281
2016-11-21,322.60418701171875
2016-11-22,332.8548278808594
2016-11-23,329.4701843261719
2016-11-24,326.47235107421875
2016-11-25,339.52734375
2016-11-28,341.55816650390625
2016-11-29,347.79559326171875
2016-11-30,351.7604064941406
2016-12-01,340.7361755371094
2016-12-02,335.27239990234375
2016-12-05,338.8504333496094
2016-12-06,336.28778076171875
2016-12-07,333.6284484863281
2016-12-08,342.428466796875
2016-12-09,339.9624938964844
2016-12-12,337.4482727050781
2016-12-13,333.1449279785156
2016-12-14,329.0350341796875
2016-12-15,343.97576904296875
2016-12-16,340.7361755371094
2016-12-19,334.9339904785156
2016-12-20,333.5801086425781
2016-12-21,332.8548278808594
2016-12-22,328.98663330078125
2016-12-23,325.50531005859375
2016-12-26,319.8964538574219
2016-12-27,319.4129333496094
2016-12-28,317.0920715332031
2016-12-29,320.7184143066406
2016-12-30,324.05474853515625
2017-01-02,324.7316589355469
2017-01-03,330.0503845214844
2017-01-04,334.1602783203125
2017-01-05,342.2834167480469
2017-01-06,344.7493591308594
2017-01-09,343.0087585449219
2017-01-10,350.5516357421875
2017-01-11,357.2241516113281
2017-01-12,355.6285705566406
2017-01-13,354.2746887207031
2017-01-16,364.0418395996094
2017-01-17,370.0858154296875
2017-01-18,368.87701416015625
2017-01-19,365.4440002441406
2017-01-20,356.4988708496094
2017-01-23,376.61334228515625
2017-01-24,378.8374938964844
2017-01-25,377.19354248046875
2017-01-27,384.97821044921875
2017-01-30,377.9671936035156
2017-01-31,369.5539245605469
2017-02-01,387.7342834472656
2017-02-02,381.4485168457031
2017-02-03,377.29022216796875
2017-02-06,379.2727355957031
2017-02-07,379.9012756347656
2017-02-08,380.43310546875
2017-02-09,381.400146484375
2017-02-10,376.6616516113281
2017-02-13,379.9012756347656
2017-02-14,390.4419860839844
2017-02-15,382.5122375488281
2017-02-16,399.48382568359375
2017-02-17,404.6574401855469
2017-02-20,411.2333068847656
2017-02-21,412.4904479980469
2017-02-22,413.1190185546875
2017-02-23,441.8400573730469
2017-02-27,452.38079833984375
2017-02-28,460.98748779296875
2017-03-01,463.356689453125
2017-03-02,447.2555236816406
2017-03-03,440.5345458984375
2017-03-06,456.6841125488281
2017-03-07,458.66656494140625
2017-03-08,463.308349609375
2017-03-09,456.2489929199219
2017-03-10,454.5566711425781
2017-03-14,461.03582763671875
2017-03-15,461.1325378417969
2017-03-16,463.356689453125
2017-03-17,470.6095275878906
2017-03-20,481.8271484375
2017-03-21,484.4864807128906
2017-03-22,484.4864807128906
2017-03-23,483.6161804199219
2017-03-24,476.70184326171875
2017-03-27,479.4095458984375
2017-03-28,470.5611572265625
2017-03-29,469.7875061035156
2017-03-30,470.51275634765625
2017-03-31,478.24908447265625
2017-04-03,490.6755676269531
2017-04-05,516.3021850585938
2017-04-06,529.0669555664062
2017-04-07,537.1901245117188
2017-04-10,568.0869750976562
2017-04-11,555.8539428710938
2017-04-12,560.834228515625
2017-04-13,540.236328125
2017-04-17,522.6845703125
2017-04-18,532.7901000976562
2017-04-19,559.1419677734375
2017-04-20,558.3682861328125
2017-04-21,551.4056396484375
2017-04-24,545.3132934570312
2017-04-25,549.133056640625
2017-04-26,532.5484008789062
2017-04-27,535.1593627929688
2017-04-28,545.8451538085938
2017-05-02,566.1528930664062
2017-05-03,569.7310791015625
2017-05-04,552.5660400390625
2017-05-05,542.6539306640625
2017-05-08,537.0933837890625
2017-05-09,540.8649291992188
2017-05-10,543.4275512695312
2017-05-11,542.8956909179688
2017-05-12,538.2055053710938
2017-05-15,545.3132934570312
2017-05-16,544.0560913085938
2017-05-17,545.6517333984375
2017-05-18,533.9505615234375
2017-05-19,537.141845703125
2017-05-22,526.89111328125
2017-05-23,507.21185302734375
2017-05-24,507.0667419433594
2017-05-25,527.6163940429688
2017-05-26,499.52392578125
2017-05-29,491.40081787109375
2017-05-30,492.7063293457031
2017-05-31,510.3064270019531
2017-06-01,531.9681396484375
2017-06-02,532.693359375
2017-06-05,525.0538330078125
