Date,SBRY.L
2015-08-24,230.89259338378906
2015-08-25,236.66741943359375
2015-08-26,234.87522888183594
2015-08-27,239.4552459716797
2015-08-28,241.64573669433594
2015-09-01,236.8665313720703
2015-09-02,236.07000732421875
2015-09-03,242.24310302734375
2015-09-04,236.36871337890625
2015-09-07,234.3773956298828
2015-09-08,237.46392822265625
2015-09-09,242.3426513671875
2015-09-10,237.86219787597656
2015-09-11,232.38607788085938
2015-09-14,228.6026153564453
2015-09-15,227.60696411132812
2015-09-16,230.1956329345703
2015-09-17,224.0225830078125
2015-09-18,227.30824279785156
2015-09-21,230.5939178466797
2015-09-22,226.81044006347656
2015-09-23,227.7064971923828
2015-09-24,222.72821044921875
2015-09-25,225.61561584472656
2015-09-28,225.11776733398438
2015-09-29,228.3038787841797
2015-09-30,259.8661804199219
2015-10-01,254.88792419433594
2015-10-02,258.17364501953125
2015-10-05,265.44183349609375
2015-10-06,271.2166748046875
2015-10-07,270.9179992675781
2015-10-08,271.6148681640625
2015-10-09,274.50238037109375
2015-10-12,270.02191162109375
2015-10-13,262.55450439453125
2015-10-14,261.06097412109375
2015-10-15,261.6583557128906
2015-10-16,263.7492370605469
2015-10-19,262.4549560546875
2015-10-20,264.4462585449219
2015-10-21,263.4505920410156
2015-10-22,264.64532470703125
2015-10-23,268.03057861328125
2015-10-26,269.9223327636719
2015-10-27,265.7405090332031
2015-10-28,267.8314514160156
2015-10-29,268.130126953125
2015-10-30,265.24273681640625
2015-11-02,265.9397277832031
2015-11-03,268.2297058105469
2015-11-04,275.79669189453125
2015-11-05,273.8053894042969
2015-11-06,273.40716552734375
2015-11-09,272.1127624511719
2015-11-10,271.4158020019531
2015-11-11,252.19964599609375
2015-11-12,241.9443817138672
2015-11-13,240.05262756347656
2015-11-16,242.1435546875
2015-11-17,247.3209228515625
2015-11-18,252.49835205078125
2015-11-19,252.13986206054688
2015-11-20,252.63775634765625
2015-11-23,248.554931640625
2015-11-24,249.15240478515625
2015-11-25,251.34317016601562
2015-11-26,257.0193176269531
2015-11-27,255.02772521972656
2015-11-30,252.7373504638672
2015-12-01,251.6419219970703
2015-12-02,250.54652404785156
