Date,SDR.L
2015-08-24,444.2294921875
2015-08-25,469.2850646972656
2015-08-26,463.8677062988281
2015-08-27,477.241943359375
2015-08-28,480.45849609375
2015-09-01,460.4817199707031
2015-09-02,460.3124694824219
2015-09-03,477.0726318359375
2015-09-04,466.7456970214844
2015-09-07,468.43865966796875
2015-09-08,479.4427795410156
2015-09-09,494.0020446777344
2015-09-10,489.2618103027344
2015-09-11,486.8917236328125
2015-09-14,486.72247314453125
2015-09-15,491.12408447265625
2015-09-16,495.01788330078125
2015-09-17,495.52581787109375
2015-09-18,484.3523254394531
2015-09-21,486.72247314453125
2015-09-22,472.33233642578125
2015-09-23,477.74981689453125
2015-09-24,469.7929382324219
2015-09-25,485.87591552734375
2015-09-28,468.77716064453125
2015-09-29,459.8045654296875
2015-09-30,474.871826171875
2015-10-01,470.4700927734375
2015-10-02,475.7182922363281
2015-10-05,489.6004333496094
2015-10-06,485.7066650390625
2015-10-07,488.24603271484375
2015-10-08,485.537353515625
2015-10-09,484.3523254394531
2015-10-12,480.289306640625
2015-10-13,468.6078186035156
2015-10-14,460.65106201171875
2015-10-15,474.7025146484375
2015-10-16,476.5648193359375
2015-10-19,476.39544677734375
2015-10-20,479.27349853515625
2015-10-21,479.1042175292969
2015-10-22,482.8287048339844
2015-10-23,501.2817687988281
2015-10-26,499.5888366699219
2015-10-27,497.7265625
2015-10-28,506.8685607910156
2015-10-29,504.4984436035156
2015-10-30,505.00616455078125
2015-11-02,504.8368835449219
2015-11-03,505.00616455078125
2015-11-04,508.5614929199219
2015-11-05,508.0536804199219
2015-11-06,510.2543640136719
2015-11-09,510.5929260253906
2015-11-10,509.91583251953125
2015-11-11,507.5456848144531
2015-11-12,504.1597595214844
2015-11-13,489.9390563964844
2015-11-16,488.5846862792969
2015-11-17,498.06512451171875
2015-11-18,496.202880859375
2015-11-19,500.2659912109375
2015-11-20,501.7897033691406
2015-11-23,499.4195556640625
2015-11-24,490.6162109375
2015-11-25,502.1282043457031
2015-11-26,505.34490966796875
2015-11-27,506.1913757324219
2015-11-30,507.20709228515625
2015-12-01,511.1008605957031
2015-12-02,511.7781066894531
2015-12-03,490.4468688964844
2015-12-04,488.24603271484375
2015-12-07,492.6477966308594
2015-12-08,480.1199645996094
2015-12-09,478.9347839355469
2015-12-10,474.3638610839844
2015-12-11,457.09576416015625
2015-12-14,453.3713073730469
2015-12-15,479.4427795410156
