Date,AVANTIFEED.NS
2015-08-21,181.34085083007812
2015-08-24,156.1404571533203
2015-08-25,156.0247802734375
2015-08-26,151.321044921875
2015-08-27,153.50979614257812
2015-08-28,157.9495849609375
2015-08-31,155.44053649902344
2015-09-01,149.82627868652344
2015-09-02,148.77041625976562
2015-09-03,158.84228515625
2015-09-04,159.85362243652344
2015-09-07,157.7924041748047
2015-09-08,155.63626098632812
2015-09-09,162.01571655273438
2015-09-10,161.99197387695312
2015-09-11,167.91763305664062
2015-09-14,170.75592041015625
2015-09-15,167.86427307128906
2015-09-16,168.6294403076172
2015-09-18,172.95361328125
2015-09-21,170.42672729492188
2015-09-22,170.88343811035156
2015-09-23,172.42864990234375
2015-09-24,175.01483154296875
2015-09-28,181.24298095703125
2015-09-29,187.41477966308594
2015-09-30,191.24072265625
2015-10-01,188.1473388671875
2015-10-05,195.61524963378906
2015-10-06,194.10861206054688
2015-10-07,195.1763153076172
2015-10-08,195.5262908935547
2015-10-09,197.99972534179688
2015-10-12,195.74574279785156
2015-10-13,194.2154083251953
2015-10-14,194.07301330566406
2015-10-15,194.22132873535156
2015-10-16,185.3624725341797
2015-10-19,169.94923400878906
2015-10-20,171.9274139404297
2015-10-21,173.0425262451172
2015-10-23,178.14073181152344
2015-10-26,178.69239807128906
2015-10-27,174.5135955810547
2015-10-28,174.23776245117188
2015-10-29,172.71926879882812
2015-10-30,162.24407958984375
2015-11-02,153.64028930664062
2015-11-03,153.88943481445312
2015-11-04,161.4344024658203
2015-11-05,162.1847381591797
2015-11-06,159.4176788330078
2015-11-09,150.93252563476562
2015-11-10,154.26605224609375
2015-11-13,147.86587524414062
2015-11-16,146.16055297851562
2015-11-17,149.0729522705078
2015-11-18,156.7484588623047
2015-11-19,162.9469757080078
2015-11-20,166.76393127441406
2015-11-23,156.5823516845703
2015-11-24,156.3865966796875
2015-11-26,154.6367950439453
2015-11-27,148.88316345214844
2015-11-30,143.57437133789062
2015-12-01,146.42152404785156
2015-12-02,147.6375274658203
2015-12-03,145.17588806152344
2015-12-04,144.80517578125
2015-12-07,143.0553741455078
2015-12-08,146.89605712890625
2015-12-09,145.29452514648438
2015-12-10,144.34547424316406
2015-12-11,139.58535766601562
2015-12-14,136.5750732421875
