Date,COLBUN.SN
2015-08-24,163.96969604492188
2015-08-25,168.5819091796875
2015-08-26,169.4395294189453
2015-08-27,178.07296752929688
2015-08-28,178.02532958984375
2015-08-31,179.34991455078125
2015-09-01,176.0051727294922
2015-09-02,176.64361572265625
2015-09-03,178.33981323242188
2015-09-04,177.46316528320312
2015-09-07,177.396484375
2015-09-08,173.71815490722656
2015-09-09,170.7163848876953
2015-09-10,172.96534729003906
2015-09-11,171.4025421142578
2015-09-14,171.3358154296875
2015-09-15,172.59368896484375
2015-09-16,173.75628662109375
2015-09-17,171.17381286621094
2015-09-21,172.80332946777344
2015-09-22,171.04994201660156
2015-09-23,171.16429138183594
2015-09-24,172.80332946777344
2015-09-25,170.3924560546875
2015-09-28,169.077392578125
2015-09-29,169.5157470703125
2015-09-30,170.91651916503906
2015-10-01,171.9837646484375
2015-10-02,171.86947631835938
2015-10-05,173.46084594726562
2015-10-06,175.12847900390625
2015-10-07,174.5090789794922
2015-10-08,174.84255981445312
2015-10-09,175.31906127929688
2015-10-13,175.87171936035156
2015-10-14,174.54718017578125
2015-10-15,175.90029907226562
2015-10-16,175.9574737548828
2015-10-19,178.2635955810547
2015-10-20,178.17779541015625
2015-10-21,180.31240844726562
2015-10-22,182.38021850585938
2015-10-23,182.1610107421875
2015-10-26,179.40708923339844
2015-10-27,179.06407165527344
2015-10-28,180.08367919921875
2015-10-29,176.32913208007812
2015-10-30,174.79490661621094
2015-11-02,177.88243103027344
2015-11-03,178.7876739501953
2015-11-04,178.37791442871094
2015-11-05,179.2641143798828
2015-11-06,175.5572967529297
2015-11-09,176.31008911132812
2015-11-10,174.96646118164062
2015-11-11,174.88070678710938
2015-11-12,175.36669921875
2015-11-13,173.85153198242188
2015-11-16,172.12677001953125
2015-11-17,173.05111694335938
2015-11-18,175.45248413085938
2015-11-19,175.02366638183594
2015-11-20,174.28990173339844
2015-11-23,173.47988891601562
2015-11-24,171.31674194335938
2015-11-25,169.963623046875
2015-11-26,169.5824432373047
2015-11-27,168.9725341796875
2015-11-30,167.5431671142578
2015-12-01,166.98097229003906
2015-12-02,163.7696075439453
2015-12-03,162.9977569580078
2015-12-04,163.01681518554688
2015-12-07,161.69224548339844
2015-12-09,161.14907836914062
2015-12-10,162.0829315185547
2015-12-11,161.5111846923828
2015-12-14,160.51060485839844
2015-12-15,163.5980987548828
2015-12-16,162.16868591308594
2015-12-17,164.0840606689453
2015-12-18,160.32000732421875
2015-12-21,156.06045532226562
