Date,DXCO3.SA
2015-08-24,3.3262712955474854
2015-08-25,3.206458330154419
2015-08-26,3.3091561794281006
2015-08-27,3.4004433155059814
2015-08-28,3.3091561794281006
2015-08-31,3.132286548614502
2015-09-01,3.0524115562438965
2015-09-02,3.0809378623962402
2015-09-03,3.0695271492004395
2015-09-04,3.1551084518432617
2015-09-08,3.143698215484619
2015-09-09,3.1551084518432617
2015-09-10,3.1379928588867188
2015-09-11,3.1208763122558594
2015-09-14,3.3091561794281006
2015-09-15,3.172224998474121
2015-09-16,3.4289708137512207
2015-09-17,3.423264741897583
2015-09-18,3.463202714920044
2015-09-21,3.4517922401428223
2015-09-22,3.4574973583221436
2015-09-23,3.520256996154785
2015-09-24,3.4574973583221436
2015-09-25,3.3319778442382812
2015-09-28,3.206458330154419
2015-09-29,3.2007529735565186
2015-09-30,3.354799270629883
2015-10-01,3.354799270629883
2015-10-02,3.423264741897583
2015-10-05,3.594428062438965
2015-10-06,3.8511734008789062
2015-10-07,4.01663064956665
2015-10-08,4.01663064956665
2015-10-09,4.050863742828369
2015-10-13,3.8682894706726074
2015-10-14,3.8169405460357666
2015-10-15,3.754180669784546
2015-10-16,3.9881033897399902
2015-10-19,3.9652812480926514
2015-10-20,3.9938089847564697
2015-10-21,4.022335529327393
2015-10-22,4.050863742828369
2015-10-23,3.9139323234558105
2015-10-26,3.765591859817505
2015-10-27,3.737064838409424
2015-10-28,3.7085371017456055
2015-10-29,3.5887231826782227
2015-10-30,3.651482105255127
2015-11-03,3.7827072143554688
2015-11-04,3.7313592433929443
2015-11-05,3.822645902633667
2015-11-06,3.879700183868408
2015-11-09,3.8968167304992676
2015-11-10,3.742769241333008
2015-11-11,3.936753749847412
2015-11-12,3.7884128093719482
2015-11-13,3.7941181659698486
2015-11-16,3.8055295944213867
2015-11-17,3.811235189437866
2015-11-18,3.8454675674438477
2015-11-19,3.9082272052764893
2015-11-23,3.9995150566101074
2015-11-24,4.039453506469727
2015-11-25,4.022335529327393
2015-11-26,4.0965070724487305
2015-11-27,3.942460775375366
2015-11-30,3.822645902633667
2015-12-01,3.9082272052764893
2015-12-02,3.936753749847412
2015-12-03,4.050863742828369
2015-12-04,3.9995150566101074
2015-12-07,3.982398271560669
2015-12-08,3.7085371017456055
2015-12-09,3.7028305530548096
2015-12-10,3.7142422199249268
2015-12-11,3.6172497272491455
