Date,KR
2015-08-03,32.361541748046875
2015-08-04,31.671598434448242
2015-08-05,32.09870147705078
2015-08-06,31.80303192138672
2015-08-07,31.06380844116211
2015-08-10,30.83381462097168
2015-08-11,30.710613250732422
2015-08-12,31.134803771972656
2015-08-13,31.472511291503906
2015-08-14,31.587825775146484
2015-08-17,31.83493423461914
2015-08-18,31.793737411499023
2015-08-19,30.77238655090332
2015-08-20,30.21229362487793
2015-08-21,28.770872116088867
2015-08-24,27.815399169921875
2015-08-25,27.724802017211914
2015-08-26,28.894420623779297
2015-08-27,29.26507568359375
2015-08-28,28.779102325439453
2015-08-31,28.41669273376465
2015-09-01,27.88129425048828
2015-09-02,28.540231704711914
2015-09-03,28.474342346191406
2015-09-04,28.062503814697266
2015-09-08,28.869707107543945
2015-09-09,28.334327697753906
2015-09-10,29.157983779907227
2015-09-11,30.714731216430664
2015-09-14,30.821802139282227
2015-09-15,30.607648849487305
2015-09-16,30.624130249023438
2015-09-17,30.8876895904541
2015-09-18,30.25347328186035
2015-09-21,30.1958065032959
2015-09-22,29.989900588989258
2015-09-23,29.965190887451172
2015-09-24,29.61924171447754
2015-09-25,29.742795944213867
2015-09-28,29.446277618408203
2015-09-29,29.330965042114258
2015-09-30,29.709854125976562
2015-10-01,30.21229362487793
2015-10-02,30.59119415283203
2015-10-05,31.357179641723633
2015-10-06,30.582942962646484
2015-10-07,30.895944595336914
2015-10-08,31.299541473388672
2015-10-09,31.324249267578125
2015-10-12,31.46427345275879
2015-10-13,30.83827781677246
2015-10-14,29.924009323120117
2015-10-15,30.53351593017578
2015-10-16,30.895944595336914
2015-10-19,31.159513473510742
2015-10-20,31.068912506103516
2015-10-21,31.365436553955078
2015-10-22,31.538408279418945
2015-10-23,31.15127944946289
2015-10-26,30.928884506225586
2015-10-27,30.467634201049805
2015-10-28,31.052440643310547
2015-10-29,31.011245727539062
2015-10-30,31.134803771972656
2015-11-02,31.46427345275879
2015-11-03,31.101848602294922
2015-11-04,30.484111785888672
2015-11-05,30.53351593017578
2015-11-06,30.94535255432129
2015-11-09,30.640600204467773
2015-11-10,30.78515625
2015-11-11,30.58690643310547
2015-11-12,30.157390594482422
2015-11-13,29.77741813659668
2015-11-16,30.182165145874023
2015-11-17,30.578657150268555
2015-11-18,31.00817108154297
2015-11-19,30.826446533203125
2015-11-20,30.818187713623047
2015-11-23,30.76862144470215
2015-11-24,30.6612491607666
2015-11-25,30.70255470275879
2015-11-27,31.396387100219727
2015-11-30,31.107301712036133
2015-12-01,31.553333282470703
2015-12-02,31.4789981842041
2015-12-03,32.96580505371094
2015-12-04,33.49443817138672
2015-12-07,34.2213249206543
2015-12-08,34.204811096191406
2015-12-09,34.07264709472656
2015-12-10,33.9735221862793
2015-12-11,33.93222427368164
2015-12-14,34.57649230957031
2015-12-15,34.948204040527344
2015-12-16,35.04732131958008
2015-12-17,34.642601013183594
2015-12-18,33.568790435791016
2015-12-21,34.039608001708984
2015-12-22,34.77475357055664
2015-12-23,34.948204040527344
2015-12-24,35.07209777832031
2015-12-28,35.0638542175293
2015-12-29,35.220794677734375
2015-12-30,34.948204040527344
2015-12-31,34.55172348022461
2016-01-04,33.99831008911133
2016-01-05,34.76648712158203
2016-01-06,34.73344421386719
2016-01-07,33.92396926879883
2016-01-08,33.70094299316406
2016-01-11,34.09741973876953
2016-01-12,34.06439208984375
2016-01-13,32.37934112548828
2016-01-14,32.23891830444336
2016-01-15,31.79287338256836
2016-01-19,31.545080184936523
2016-01-20,31.264232635498047
2016-01-21,30.686037063598633
2016-01-22,30.6612491607666
2016-01-25,30.28955078125
2016-01-26,30.380413055419922
2016-01-27,30.94209098815918
2016-01-28,31.23945426940918
2016-01-29,32.05719757080078
2016-02-01,33.13100814819336
2016-02-02,33.164031982421875
2016-02-03,33.18882369995117
2016-02-04,32.18109893798828
2016-02-05,31.082509994506836
2016-02-08,30.413448333740234
2016-02-09,30.339107513427734
2016-02-10,30.52548599243164
2016-02-11,30.177574157714844
2016-02-12,31.751493453979492
2016-02-16,31.884023666381836
2016-02-17,32.65440368652344
2016-02-18,31.527822494506836
2016-02-19,31.329011917114258
2016-02-22,31.701778411865234
2016-02-23,32.124244689941406
2016-02-24,32.0579833984375
2016-02-25,32.68754577636719
2016-02-26,32.67926025390625
2016-02-29,33.060302734375
2016-03-01,33.64844512939453
2016-03-02,33.673301696777344
