Date,YESBANK.NS
2015-08-21,133.0819091796875
2015-08-24,121.07445526123047
2015-08-25,130.88040161132812
2015-08-26,131.06304931640625
2015-08-27,132.20706176757812
2015-08-28,130.11129760742188
2015-08-31,132.56277465820312
2015-09-01,128.13087463378906
2015-09-02,126.75613403320312
2015-09-03,129.14993286132812
2015-09-04,124.43924713134766
2015-09-07,125.1122055053711
2015-09-08,133.98561096191406
2015-09-09,137.77337646484375
2015-09-10,137.09083557128906
2015-09-11,136.69667053222656
2015-09-14,140.6767120361328
2015-09-15,139.96530151367188
2015-09-16,145.8296356201172
2015-09-18,148.3676300048828
2015-09-21,147.51202392578125
2015-09-22,140.98434448242188
2015-09-23,141.9457244873047
2015-09-24,138.60975646972656
2015-09-28,140.34024047851562
2015-09-29,142.01300048828125
2015-09-30,140.30178833007812
2015-10-01,140.0902862548828
2015-10-05,144.2530059814453
2015-10-06,142.8782501220703
2015-10-07,141.4650421142578
2015-10-08,139.8499298095703
2015-10-09,139.52308654785156
2015-10-12,139.1577606201172
2015-10-13,141.09010314941406
2015-10-14,142.03225708007812
2015-10-15,145.96421813964844
2015-10-16,148.73297119140625
2015-10-19,148.13690185546875
2015-10-20,148.0696258544922
2015-10-21,147.14669799804688
2015-10-23,148.27149963378906
2015-10-26,143.47430419921875
2015-10-27,144.45486450195312
2015-10-28,139.90762329101562
2015-10-29,142.97438049316406
2015-10-30,145.86807250976562
2015-11-02,148.43492126464844
2015-11-03,149.83853149414062
2015-11-04,150.69415283203125
2015-11-05,146.51220703125
2015-11-06,145.8296356201172
2015-11-09,146.50257873535156
2015-11-10,142.2148895263672
2015-11-13,141.9168701171875
2015-11-16,144.38758850097656
2015-11-17,143.3685302734375
2015-11-18,139.02317810058594
2015-11-19,141.01316833496094
2015-11-20,140.59019470214844
2015-11-23,142.4071807861328
2015-11-24,143.08010864257812
2015-11-26,144.16647338867188
2015-11-27,146.64678955078125
2015-11-30,147.47357177734375
2015-12-01,146.16610717773438
2015-12-02,144.3299102783203
2015-12-03,144.5990753173828
2015-12-04,142.28219604492188
2015-12-07,141.30160522460938
2015-12-08,139.54229736328125
2015-12-09,137.80223083496094
2015-12-10,135.95640563964844
2015-12-11,130.8611602783203
2015-12-14,131.3706817626953
2015-12-15,132.92811584472656
2015-12-16,134.31246948242188
2015-12-17,138.6482391357422
2015-12-18,138.186767578125
2015-12-21,138.2156219482422
2015-12-22,137.27346801757812
2015-12-23,139.35003662109375
2015-12-24,139.2731170654297
2015-12-28,140.92665100097656
2015-12-29,140.63824462890625
2015-12-30,141.1766357421875
2015-12-31,139.55189514160156
2016-01-01,140.83055114746094
2016-01-04,135.6968231201172
2016-01-05,136.07174682617188
2016-01-06,135.33152770996094
2016-01-07,130.5247039794922
2016-01-08,133.3799591064453
2016-01-11,133.5337371826172
2016-01-12,129.39027404785156
2016-01-13,131.26492309570312
2016-01-14,129.63059997558594
2016-01-15,127.61174011230469
2016-01-18,126.13124084472656
2016-01-19,130.98614501953125
2016-01-20,124.25657653808594
2016-01-21,125.80437469482422
2016-01-22,131.514892578125
2016-01-25,130.26512145996094
2016-01-27,130.370849609375
2016-01-28,129.12107849121094
2016-01-29,143.58966064453125
2016-02-01,148.5118408203125
2016-02-02,146.9544219970703
2016-02-03,149.5308837890625
2016-02-04,146.00267028808594
2016-02-05,149.4059295654297
2016-02-08,147.73313903808594
2016-02-09,143.5992431640625
2016-02-10,141.3881378173828
2016-02-11,137.36961364746094
2016-02-12,140.0614471435547
2016-02-15,144.85865783691406
2016-02-16,141.09971618652344
2016-02-17,138.50404357910156
2016-02-18,137.3311767578125
2016-02-19,137.00430297851562
2016-02-22,137.04275512695312
2016-02-23,131.9667510986328
2016-02-24,132.79351806640625
2016-02-25,128.91920471191406
2016-02-26,132.00518798828125
2016-02-29,132.47625732421875
2016-03-01,138.32138061523438
2016-03-02,145.21435546875
2016-03-03,145.67581176757812
2016-03-04,145.94500732421875
2016-03-08,146.0411376953125
2016-03-09,152.01121520996094
2016-03-10,152.1650390625
2016-03-11,153.93394470214844
2016-03-14,154.203125
2016-03-15,155.92398071289062
2016-03-16,154.6645965576172
2016-03-17,153.7320556640625
2016-03-18,156.5584716796875
2016-03-21,159.94248962402344
2016-03-22,160.00979614257812
2016-03-23,163.28805541992188
2016-03-28,161.942138671875
2016-03-29,162.73045349121094
2016-03-30,166.56629943847656
2016-03-31,166.32595825195312
2016-04-01,164.50897216796875
2016-04-04,166.88356018066406
2016-04-05,159.43295288085938
2016-04-06,160.36549377441406
2016-04-07,160.644287109375
2016-04-08,163.31690979003906
2016-04-11,165.28768920898438
2016-04-12,165.22039794921875
2016-04-13,167.3065643310547
2016-04-18,171.8057403564453
2016-04-20,169.56576538085938
2016-04-21,169.46002197265625
2016-04-22,168.38327026367188
2016-04-25,168.9408721923828
2016-04-26,175.1032257080078
2016-04-27,176.0261688232422
2016-04-28,181.803955078125
2016-04-29,181.3040313720703
2016-05-02,181.68858337402344
2016-05-03,179.04483032226562
2016-05-04,176.429931640625
2016-05-05,175.3820343017578
2016-05-06,175.00709533691406
2016-05-09,181.92893981933594
2016-05-10,182.61151123046875
2016-05-11,183.88050842285156
2016-05-12,183.6305389404297
2016-05-13,182.76531982421875
2016-05-16,188.48545837402344
2016-05-17,186.49542236328125
2016-05-18,186.74537658691406
2016-05-19,185.9090118408203
2016-05-20,187.9855194091797
2016-05-23,188.0624542236328
2016-05-24,187.8509521484375
2016-05-25,191.504150390625
2016-05-26,196.32058715820312
2016-05-27,197.1761932373047
