Date,BAB.L
2015-08-24,924.2496337890625
2015-08-25,944.2117919921875
2015-08-26,935.228759765625
2015-08-27,951.1986694335938
2015-08-28,967.1682739257812
2015-09-01,943.2138061523438
2015-09-02,951.6976318359375
2015-09-03,971.659912109375
2015-09-04,947.2062377929688
2015-09-07,958.6842041015625
2015-09-08,960.680419921875
2015-09-09,970.1626586914062
2015-09-10,957.6862182617188
2015-09-11,947.2062377929688
2015-09-14,938.72216796875
2015-09-15,944.2117919921875
2015-09-16,951.1986694335938
2015-09-17,927.2438354492188
2015-09-18,909.7770385742188
2015-09-21,906.2835693359375
2015-09-22,876.34033203125
2015-09-23,889.3157348632812
2015-09-24,892.3101196289062
2015-09-25,914.767578125
2015-09-28,892.80908203125
2015-09-29,889.8148193359375
2015-09-30,910.7752685546875
2015-10-01,919.7582397460938
2015-10-02,935.727783203125
2015-10-05,959.183349609375
2015-10-06,958.185302734375
2015-10-07,954.19287109375
2015-10-08,950.200439453125
2015-10-09,981.1417846679688
2015-10-12,980.642822265625
2015-10-13,983.1380004882812
2015-10-14,971.16064453125
2015-10-15,972.6578979492188
2015-10-16,973.1568603515625
2015-10-19,964.1740112304688
2015-10-20,969.1644897460938
2015-10-21,978.6466064453125
2015-10-22,975.1531372070312
2015-10-23,995.1154174804688
2015-10-26,978.1475219726562
2015-10-27,955.6900024414062
2015-10-28,964.1740112304688
2015-10-29,954.19287109375
2015-10-30,962.1776123046875
2015-11-02,964.1740112304688
2015-11-03,970.1626586914062
2015-11-04,983.1380004882812
2015-11-05,967.6674194335938
2015-11-06,965.6713256835938
2015-11-09,961.6786499023438
2015-11-10,956.68798828125
2015-11-11,977.1494140625
2015-11-12,963.6749267578125
2015-11-13,952.6956787109375
2015-11-16,948.2042846679688
2015-11-17,976.6503295898438
2015-11-18,992.1210327148438
2015-11-19,998.1097412109375
2015-11-20,987.1304321289062
2015-11-23,1003.1002807617188
2015-11-24,1033.043701171875
2015-11-25,1054.00390625
2015-11-26,1068.9754638671875
2015-11-27,1081.951171875
2015-11-30,1068.9754638671875
2015-12-01,1054.00390625
2015-12-02,1059.992431640625
2015-12-03,1038.033935546875
2015-12-04,1040.0302734375
2015-12-07,1029.0513916015625
2015-12-08,1002.1021728515625
2015-12-09,1007.0927124023438
2015-12-10,998.1694946289062
2015-12-11,987.688720703125
2015-12-14,973.7144775390625
2015-12-15,985.1932983398438
2015-12-16,983.696044921875
2015-12-17,992.1805419921875
2015-12-18,974.7127075195312
2015-12-21,982.19873046875
2015-12-22,989.18603515625
2015-12-23,1018.1328735351562
2015-12-24,1021.1275024414062
2015-12-29,1023.1235961914062
2015-12-30,1013.14208984375
2015-12-31,1014.1402587890625
2016-01-04,988.1878051757812
2016-01-05,986.6906127929688
2016-01-06,969.2225952148438
2016-01-07,965.2298583984375
2016-01-08,951.255615234375
2016-01-11,940.2757568359375
2016-01-12,952.7528076171875
2016-01-13,989.18603515625
2016-01-14,972.7162475585938
2016-01-15,942.7713012695312
2016-01-18,930.79296875
2016-01-19,947.761962890625
2016-01-20,907.3360595703125
2016-01-21,914.3233032226562
2016-01-22,931.7911987304688
2016-01-25,918.3159790039062
2016-01-26,918.8150634765625
2016-01-27,922.8077392578125
2016-01-28,909.3324584960938
2016-01-29,913.3250732421875
2016-02-01,906.8369750976562
2016-02-02,891.8645629882812
2016-02-03,874.8956909179688
2016-02-04,886.8735961914062
2016-02-05,900.8480224609375
2016-02-08,860.422119140625
2016-02-09,860.921142578125
2016-02-10,867.9083862304688
2016-02-11,852.4368286132812
2016-02-12,866.9100952148438
2016-02-15,895.358154296875
2016-02-16,891.3654174804688
2016-02-17,920.3123168945312
2016-02-18,921.8095092773438
2016-02-19,920.8113403320312
2016-02-22,921.3104858398438
2016-02-23,908.3342895507812
2016-02-24,896.3561401367188
2016-02-25,908.8333740234375
2016-02-26,921.3104858398438
2016-02-29,913.3250732421875
2016-03-01,927.7985229492188
2016-03-02,933.2885131835938
2016-03-03,943.7693481445312
2016-03-04,957.2445678710938
2016-03-07,948.2611083984375
2016-03-08,946.2648315429688
2016-03-09,940.2757568359375
2016-03-10,920.8113403320312
2016-03-11,947.761962890625
2016-03-14,953.251953125
2016-03-15,954.2501220703125
2016-03-16,950.2573852539062
2016-03-17,936.7821044921875
2016-03-18,943.7693481445312
2016-03-21,938.7784423828125
2016-03-22,944.2684936523438
2016-03-23,940.2757568359375
2016-03-24,932.7893676757812
2016-03-29,946.763916015625
2016-03-30,943.7693481445312
2016-03-31,947.761962890625
2016-04-01,950.7564086914062
2016-04-04,955.248291015625
2016-04-05,950.2573852539062
2016-04-06,957.74365234375
2016-04-07,951.754638671875
2016-04-08,965.7291259765625
2016-04-11,963.2335815429688
2016-04-12,966.2280883789062
2016-04-13,989.6851196289062
2016-04-14,993.1787109375
2016-04-15,981.6998291015625
2016-04-18,976.708984375
2016-04-19,987.189697265625
2016-04-20,983.696044921875
2016-04-21,978.2061767578125
2016-04-22,963.7327880859375
2016-04-25,958.7418212890625
2016-04-26,957.2445678710938
2016-04-27,953.251953125
2016-04-28,953.7509765625
2016-04-29,945.7658081054688
2016-05-03,941.27392578125
2016-05-04,932.2904052734375
2016-05-05,930.79296875
2016-05-06,934.7857666015625
2016-05-09,938.7784423828125
2016-05-10,966.2280883789062
2016-05-11,963.2335815429688
2016-05-12,955.248291015625
2016-05-13,956.7454833984375
2016-05-16,956.7454833984375
2016-05-17,973.7144775390625
2016-05-18,978.705322265625
2016-05-19,977.7071533203125
2016-05-20,985.1932983398438
2016-05-23,987.189697265625
2016-05-24,1012.14404296875
2016-05-25,1027.1162109375
2016-05-26,1030.1107177734375
2016-05-27,1030.1107177734375
2016-05-31,1035.1016845703125
2016-06-01,1028.1146240234375
2016-06-02,1034.1036376953125
2016-06-03,1030.1107177734375
2016-06-06,1046.0816650390625
2016-06-07,1044.085205078125
2016-06-08,1046.0816650390625
2016-06-09,1033.105224609375
2016-06-10,1014.1402587890625
2016-06-13,997.6705322265625
2016-06-14,974.2135009765625
2016-06-15,972.7162475585938
2016-06-16,959.2408447265625
2016-06-17,975.7107543945312
2016-06-20,999.167724609375
2016-06-21,1000.1658325195312
2016-06-22,1014.1402587890625
2016-06-23,1017.1346435546875
2016-06-24,931.7911987304688
2016-06-27,867.9083862304688
2016-06-28,880.385498046875
2016-06-29,915.820556640625
2016-06-30,903.0386962890625
2016-07-01,927.0
2016-07-04,907.5313720703125
2016-07-05,898.5460205078125
2016-07-06,894.5524291992188
2016-07-07,908.0306396484375
2016-07-08,919.5121459960938
2016-07-11,947.4669189453125
2016-07-12,943.4732055664062
2016-07-13,943.4732055664062
2016-07-14,946.9677124023438
2016-07-15,957.45068359375
2016-07-18,959.9466552734375
2016-07-19,953.45703125
2016-07-20,954.4554443359375
2016-07-21,961.9434814453125
2016-07-22,952.9580078125
2016-07-25,956.4522094726562
2016-07-26,957.9497680664062
2016-07-27,971.4280395507812
2016-07-28,966.9353637695312
2016-07-29,968.4329833984375
2016-08-01,972.4264526367188
2016-08-02,966.9353637695312
2016-08-03,946.9677124023438
2016-08-04,966.9353637695312
2016-08-05,975.4215698242188
2016-08-08,979.914306640625
2016-08-09,983.40869140625
2016-08-10,993.3925170898438
2016-08-11,1005.3731689453125
2016-08-12,1014.3585205078125
2016-08-15,1019.3505249023438
2016-08-16,1012.36181640625
2016-08-17,1019.3505249023438
2016-08-18,1029.3341064453125
2016-08-19,1028.3359375
2016-08-22,1028.3359375
2016-08-23,1034.326171875
2016-08-24,1031.3310546875
2016-08-25,1027.33740234375
2016-08-26,1031.3310546875
2016-08-30,1030.3326416015625
2016-08-31,1044.31005859375
2016-09-01,1054.2940673828125
2016-09-02,1088.239013671875
2016-09-05,1080.251953125
2016-09-06,1078.2552490234375
2016-09-07,1092.232666015625
2016-09-08,1103.2144775390625
2016-09-09,1079.2535400390625
2016-09-12,1073.2633056640625
2016-09-13,1071.2664794921875
2016-09-14,1082.24853515625
2016-09-15,1097.2244873046875
2016-09-16,1087.240478515625
2016-09-19,1096.2261962890625
2016-09-20,1097.2244873046875
2016-09-21,1092.232666015625
2016-09-22,1090.2357177734375
2016-09-23,1092.232666015625
2016-09-26,1080.251953125
2016-09-27,1077.2568359375
