Date,A
2015-08-03,37.785953521728516
2015-08-04,37.43572998046875
2015-08-05,37.52790451049805
2015-08-06,36.97494125366211
2015-08-07,36.85512161254883
2015-08-10,37.2974967956543
2015-08-11,36.329803466796875
2015-08-12,35.84135055541992
2015-08-13,35.53722381591797
2015-08-14,35.620155334472656
2015-08-17,35.77684783935547
2015-08-18,35.961158752441406
2015-08-19,35.389766693115234
2015-08-20,34.56953811645508
2015-08-21,33.3898811340332
2015-08-24,31.96137809753418
2015-08-25,31.666465759277344
2015-08-26,32.82768630981445
2015-08-27,33.767723083496094
2015-08-28,33.647918701171875
2015-08-31,33.46360397338867
2015-09-01,32.0258903503418
2015-09-02,32.7447509765625
2015-09-03,32.94749069213867
2015-09-04,32.311588287353516
2015-09-08,33.37144088745117
2015-09-09,32.75395202636719
2015-09-10,33.048885345458984
2015-09-11,33.14104461669922
2015-09-14,32.76319122314453
2015-09-15,33.31614685058594
2015-09-16,33.65713119506836
2015-09-17,33.54655838012695
2015-09-18,32.93828201293945
2015-09-21,32.89220428466797
2015-09-22,32.30237579345703
2015-09-23,32.21022415161133
2015-09-24,31.84156608581543
2015-09-25,31.841569900512695
2015-09-28,30.843347549438477
2015-09-29,31.185340881347656
2015-09-30,31.73065757751465
2015-10-01,31.185340881347656
2015-10-02,32.044921875
2015-10-05,32.66417694091797
2015-10-06,32.257503509521484
2015-10-07,32.849037170410156
2015-10-08,33.283447265625
2015-10-09,33.48680114746094
2015-10-12,33.26497268676758
2015-10-13,32.932220458984375
2015-10-14,32.396148681640625
2015-10-15,32.886024475097656
2015-10-16,33.07086944580078
2015-10-19,33.48680114746094
2015-10-20,33.569976806640625
2015-10-21,33.181793212890625
2015-10-22,33.35740280151367
2015-10-23,34.300167083740234
2015-10-26,34.04136276245117
2015-10-27,34.24470901489258
2015-10-28,34.67911911010742
2015-10-29,34.845497131347656
2015-10-30,34.90095901489258
2015-11-02,35.66810607910156
2015-11-03,35.37234115600586
2015-11-04,35.437034606933594
2015-11-05,35.400062561035156
2015-11-06,35.252166748046875
2015-11-09,35.04884719848633
2015-11-10,35.10429382324219
2015-11-11,34.80852508544922
2015-11-12,34.65140151977539
2015-11-13,33.98590850830078
2015-11-16,34.50350570678711
2015-11-17,35.47401428222656
2015-11-18,36.36131286621094
2015-11-19,35.584922790527344
2015-11-20,36.305870056152344
2015-11-23,36.99907684326172
2015-11-24,37.590606689453125
2015-11-25,38.20988082885742
2015-11-27,38.79217529296875
2015-11-30,38.65353775024414
2015-12-01,37.95109558105469
2015-12-02,37.35955047607422
2015-12-03,37.1099967956543
2015-12-04,37.9880485534668
2015-12-07,37.61833953857422
2015-12-08,38.05276107788086
2015-12-09,37.87714385986328
2015-12-10,38.126712799072266
2015-12-11,37.1469612121582
2015-12-14,37.202415466308594
2015-12-15,37.72002029418945
2015-12-16,38.29308319091797
2015-12-17,37.692291259765625
2015-12-18,37.06376647949219
2015-12-21,37.73851776123047
2015-12-22,38.098976135253906
2015-12-23,38.60731887817383
2015-12-24,38.949302673339844
2015-12-28,38.6165657043457
2015-12-29,39.15267562866211
2015-12-30,38.97703552246094
2015-12-31,38.749977111816406
2016-01-04,37.711936950683594
2016-01-05,37.58219528198242
2016-01-06,37.74900436401367
2016-01-07,36.145633697509766
2016-01-08,35.76564407348633
2016-01-11,35.1632080078125
2016-01-12,35.394920349121094
2016-01-13,34.162254333496094
2016-01-14,34.85737609863281
2016-01-15,34.39396286010742
2016-01-19,34.477378845214844
2016-01-20,34.53297805786133
2016-01-21,34.50518035888672
2016-01-22,35.200286865234375
2016-01-25,34.85737609863281
2016-01-26,34.764686584472656
2016-01-27,34.338348388671875
2016-01-28,33.467159271240234
2016-01-29,34.89443588256836
2016-02-01,34.9315071105957
2016-02-02,34.35688400268555
2016-02-03,34.468116760253906
2016-02-04,34.6812629699707
2016-02-05,33.40226745605469
2016-02-08,32.253028869628906
2016-02-09,32.78130340576172
2016-02-10,33.226173400878906
2016-02-11,32.744239807128906
2016-02-12,33.5691032409668
2016-02-16,34.36616897583008
2016-02-17,35.09833526611328
2016-02-18,34.468116760253906
2016-02-19,34.699798583984375
2016-02-22,35.24662399291992
2016-02-23,34.449554443359375
2016-02-24,34.73687744140625
2016-02-25,34.875911712646484
2016-02-26,34.838836669921875
2016-02-29,34.61638641357422
2016-03-01,35.76564407348633
2016-03-02,36.18270492553711
2016-03-03,36.330989837646484
2016-03-04,36.46074295043945
2016-03-07,36.544166564941406
2016-03-08,35.30223846435547
2016-03-09,35.339317321777344
2016-03-10,35.200286865234375
2016-03-11,36.35879898071289
2016-03-14,36.1641731262207
2016-03-15,35.48760223388672
2016-03-16,36.12710189819336
2016-03-17,36.41441345214844
2016-03-18,37.248538970947266
2016-03-21,36.7480583190918
2016-03-22,36.96123123168945
2016-03-23,36.58124923706055
2016-03-24,36.544166564941406
2016-03-28,36.62757110595703
2016-03-29,37.22073745727539
2016-03-30,37.18366241455078
2016-03-31,36.93341827392578
2016-04-01,37.467891693115234
2016-04-04,37.18902587890625
2016-04-05,36.49191665649414
2016-04-06,37.40281677246094
2016-04-07,36.687103271484375
2016-04-08,36.752166748046875
2016-04-11,36.631324768066406
2016-04-12,36.94736099243164
2016-04-13,37.821102142333984
2016-04-14,37.90473937988281
2016-04-15,38.025569915771484
