Date,GRMN
2015-08-03,30.80486488342285
2015-08-04,30.477874755859375
2015-08-05,30.790002822875977
2015-08-06,30.25492286682129
2015-08-07,30.188016891479492
2015-08-10,30.5299015045166
2015-08-11,29.905616760253906
2015-08-12,29.979930877685547
2015-08-13,29.690107345581055
2015-08-14,29.652938842773438
2015-08-17,30.039390563964844
2015-08-18,29.942785263061523
2015-08-19,29.62321662902832
2015-08-20,28.984073638916016
2015-08-21,28.434114456176758
2015-08-24,27.505138397216797
2015-08-25,27.274755477905273
2015-08-26,28.032808303833008
2015-08-27,28.359804153442383
2015-08-28,28.233455657958984
2015-08-31,27.951051712036133
2015-09-01,27.356508255004883
2015-09-02,27.66120719909668
2015-09-03,27.690940856933594
2015-09-04,27.126123428344727
2015-09-08,27.99563980102539
2015-09-09,27.259889602661133
2015-09-10,27.022079467773438
2015-09-11,27.052217483520508
2015-09-14,26.99192237854004
2015-09-15,27.24066162109375
2015-09-16,27.67029571533203
2015-09-17,27.564777374267578
2015-09-18,27.30849838256836
2015-09-21,27.54216957092285
2015-09-22,27.05976676940918
2015-09-23,26.848711013793945
2015-09-24,26.856246948242188
2015-09-25,26.720577239990234
2015-09-28,26.539674758911133
2015-09-29,26.524599075317383
2015-09-30,27.044689178466797
2015-10-01,26.667814254760742
2015-10-02,27.022079467773438
2015-10-05,27.617534637451172
2015-10-06,27.51955795288086
2015-10-07,27.813526153564453
2015-10-08,27.873817443847656
2015-10-09,27.9416561126709
2015-10-12,27.851200103759766
2015-10-13,27.753215789794922
2015-10-14,27.858739852905273
2015-10-15,24.3311710357666
2015-10-16,25.695470809936523
2015-10-19,25.65023422241211
2015-10-20,25.416574478149414
2015-10-21,25.703001022338867
2015-10-22,26.42661476135254
2015-10-23,26.682889938354492
2015-10-26,26.562292098999023
2015-10-27,26.223100662231445
2015-10-28,26.4793701171875
2015-10-29,26.682889938354492
2015-10-30,26.735658645629883
2015-11-02,27.082380294799805
2015-11-03,27.082380294799805
2015-11-04,27.602462768554688
2015-11-05,28.039649963378906
2015-11-06,28.22054672241211
2015-11-09,28.122560501098633
2015-11-10,28.710485458374023
2015-11-11,28.363765716552734
2015-11-12,27.346189498901367
2015-11-13,26.675352096557617
2015-11-16,27.089908599853516
2015-11-17,26.89392852783203
2015-11-18,27.89642333984375
2015-11-19,27.888893127441406
2015-11-20,28.19792938232422
2015-11-23,28.122560501098633
2015-11-24,28.846158981323242
2015-11-25,28.597421646118164
2015-11-27,28.250686645507812
2015-11-30,28.529582977294922
2015-12-01,28.544662475585938
2015-12-02,28.250686645507812
2015-12-03,28.01702880859375
2015-12-04,28.37129783630371
2015-12-07,28.499433517456055
2015-12-08,28.37129783630371
2015-12-09,28.167776107788086
2015-12-10,27.979351043701172
2015-12-11,27.09281349182129
2015-12-14,26.596040725708008
2015-12-15,27.138660430908203
2015-12-16,27.84941291809082
2015-12-17,27.14630889892578
2015-12-18,26.947589874267578
2015-12-21,27.16922950744629
2015-12-22,27.711843490600586
2015-12-23,28.185693740844727
2015-12-24,28.262113571166992
2015-12-28,28.254470825195312
2015-12-29,28.47610855102539
2015-12-30,28.514320373535156
2015-12-31,28.407323837280273
2016-01-04,28.124544143676758
2016-01-05,28.23154640197754
2016-01-06,27.459657669067383
2016-01-07,26.6724796295166
2016-01-08,25.64072608947754
2016-01-11,25.37323760986328
2016-01-12,25.33502960205078
2016-01-13,24.80768585205078
2016-01-14,25.350303649902344
2016-01-15,24.85354232788086
2016-01-19,24.677772521972656
2016-01-20,24.723623275756836
2016-01-21,25.319738388061523
2016-01-22,25.86235809326172
2016-01-25,25.37323760986328
2016-01-26,25.86235809326172
2016-01-27,25.7935791015625
2016-01-28,25.892925262451172
2016-01-29,26.886463165283203
2016-02-01,26.817668914794922
2016-02-02,26.083995819091797
2016-02-03,26.152769088745117
2016-02-04,26.855892181396484
2016-02-05,26.511980056762695
2016-02-08,26.252120971679688
2016-02-09,25.946428298950195
2016-02-10,26.343839645385742
2016-02-11,25.86235809326172
2016-02-12,26.259775161743164
2016-02-16,26.924671173095703
2016-02-17,31.380266189575195
2016-02-18,31.158634185791016
2016-02-19,30.547239303588867
2016-02-22,31.319128036499023
2016-02-23,31.13571548461914
2016-02-24,31.02872085571289
2016-02-25,30.807086944580078
2016-02-26,30.87586212158203
2016-02-29,30.959945678710938
2016-03-01,31.670690536499023
2016-03-02,31.273277282714844
2016-03-03,31.288564682006836
2016-03-04,31.13571548461914
2016-03-07,30.929359436035156
2016-03-08,30.088685989379883
2016-03-09,30.012252807617188
2016-03-10,30.440250396728516
2016-03-11,30.356178283691406
2016-03-14,30.402624130249023
2016-03-15,30.209064483642578
2016-03-16,30.464555740356445
2016-03-17,30.65035629272461
2016-03-18,30.681331634521484
2016-03-21,30.89810562133789
2016-03-22,30.944561004638672
2016-03-23,30.449068069458008
2016-03-24,30.170364379882812
2016-03-28,30.271013259887695
2016-03-29,30.572948455810547
2016-03-30,30.85940170288086
2016-03-31,30.936824798583984
2016-04-01,30.7277889251709
2016-04-04,30.97553062438965
2016-04-05,31.00649070739746
2016-04-06,30.9832706451416
2016-04-07,30.634878158569336
2016-04-08,30.681331634521484
2016-04-11,30.92133331298828
2016-04-12,31.29294776916504
2016-04-13,32.763912200927734
2016-04-14,32.585853576660156
2016-04-15,32.694244384765625
2016-04-18,32.72520446777344
2016-04-19,32.98068618774414
2016-04-20,33.20521545410156
2016-04-21,32.70198059082031
2016-04-22,33.06584930419922
2016-04-25,32.578102111816406
2016-04-26,32.740699768066406
2016-04-27,33.9716682434082
