Date,ANGELONE.NS
2020-10-05,246.01889038085938
2020-10-06,237.50010681152344
2020-10-07,236.8756866455078
2020-10-08,241.60348510742188
2020-10-09,245.17147827148438
2020-10-12,240.3546142578125
2020-10-13,240.66676330566406
2020-10-14,233.5305938720703
2020-10-15,229.47195434570312
2020-10-16,218.63392639160156
2020-10-19,210.38278198242188
2020-10-20,200.39215087890625
2020-10-21,213.1479949951172
2020-10-22,213.1479949951172
2020-10-23,214.12924194335938
2020-10-26,221.88978576660156
2020-10-27,266.2677917480469
2020-10-28,281.7442626953125
2020-10-29,290.5753173828125
2020-10-30,315.1949462890625
2020-11-02,285.1377868652344
2020-11-03,269.7931213378906
2020-11-04,279.54156494140625
2020-11-05,280.89544677734375
2020-11-06,281.2113952636719
2020-11-09,301.9265441894531
2020-11-10,295.9240417480469
2020-11-11,299.71502685546875
2020-11-12,305.13079833984375
2020-11-13,317.9028625488281
2020-11-14,317.54180908203125
2020-11-17,315.4658508300781
2020-11-18,317.0002746582031
2020-11-19,323.90533447265625
2020-11-20,324.76275634765625
2020-11-23,321.6036071777344
2020-11-24,320.29486083984375
2020-11-25,318.173583984375
2020-11-26,317.632080078125
2020-11-27,322.9575500488281
2020-12-01,316.4135437011719
2020-12-02,316.1427307128906
2020-12-03,314.9241943359375
2020-12-04,313.9764709472656
2020-12-07,343.76287841796875
2020-12-08,326.34234619140625
2020-12-09,323.67962646484375
2020-12-10,325.5751647949219
2020-12-11,320.3851013183594
2020-12-14,321.37786865234375
2020-12-15,323.5893859863281
2020-12-16,325.34954833984375
2020-12-17,322.8221435546875
2020-12-18,314.1117858886719
2020-12-21,301.9716796875
2020-12-22,294.1639099121094
2020-12-23,305.22100830078125
2020-12-24,304.8148498535156
2020-12-28,304.0477294921875
2020-12-29,304.0477294921875
2020-12-30,299.98590087890625
2020-12-31,305.13079833984375
2021-01-01,303.8670959472656
2021-01-04,311.4040222167969
2021-01-05,319.843505859375
2021-01-06,318.579833984375
2021-01-07,326.0716247558594
2021-01-08,328.5537414550781
2021-01-11,322.10009765625
2021-01-12,325.6654357910156
2021-01-13,314.8338928222656
2021-01-14,321.0168762207031
2021-01-15,315.104736328125
2021-01-18,312.306640625
2021-01-19,319.39227294921875
2021-01-20,322.10009765625
2021-01-21,324.62738037109375
