Date,HAPPSTMNDS.NS
2020-09-17,360.71661376953125
2020-09-18,348.8045349121094
2020-09-21,339.7611083984375
2020-09-22,344.1855773925781
2020-09-23,342.5810852050781
2020-09-24,327.9949035644531
2020-09-25,353.3748474121094
2020-09-28,356.9728088378906
2020-09-29,341.7545471191406
2020-09-30,339.22625732421875
2020-10-01,333.3431396484375
2020-10-05,335.96868896484375
2020-10-06,340.39312744140625
2020-10-07,335.6769714355469
2020-10-08,347.4431457519531
2020-10-09,341.0738525390625
2020-10-12,334.7531433105469
2020-10-13,338.6914367675781
2020-10-14,344.3800354003906
2020-10-15,331.2038879394531
2020-10-16,316.4718017578125
2020-10-19,315.353515625
2020-10-20,315.45074462890625
2020-10-21,310.4914245605469
2020-10-22,311.3666076660156
2020-10-23,311.02630615234375
2020-10-26,308.4494323730469
2020-10-27,300.2810974121094
2020-10-28,311.3666076660156
2020-10-29,322.9869384765625
2020-10-30,329.599365234375
2020-11-02,331.1551818847656
2020-11-03,329.939697265625
2020-11-04,340.19866943359375
2020-11-05,321.18798828125
2020-11-06,317.05523681640625
2020-11-09,313.2142333984375
2020-11-10,303.4414978027344
2020-11-11,306.8448791503906
2020-11-12,309.7135925292969
2020-11-13,312.2417907714844
2020-11-14,315.5966491699219
2020-11-17,315.8397216796875
2020-11-18,314.52703857421875
2020-11-19,309.0814514160156
2020-11-20,311.7069396972656
2020-11-23,309.7135925292969
2020-11-24,312.2903747558594
2020-11-25,309.1787109375
2020-11-26,303.2469787597656
2020-11-27,305.28900146484375
2020-12-01,307.18524169921875
2020-12-02,322.20904541015625
2020-12-03,318.2707214355469
2020-12-04,316.8121337890625
2020-12-07,317.4441833496094
2020-12-08,314.77008056640625
2020-12-09,313.7490539550781
2020-12-10,312.14453125
2020-12-11,313.5545349121094
2020-12-14,311.85284423828125
2020-12-15,311.9501037597656
2020-12-16,314.77008056640625
2020-12-17,316.2773742675781
2020-12-18,332.0304260253906
2020-12-21,314.1866149902344
2020-12-22,326.5848693847656
2020-12-23,348.9989929199219
2020-12-24,337.4758605957031
2020-12-28,344.9635009765625
2020-12-29,338.4969787597656
2020-12-30,335.1421203613281
2020-12-31,334.7531433105469
2021-01-01,329.0158996582031
