Date,SMT.L
2015-08-24,234.65980529785156
2015-08-25,242.1553192138672
2015-08-26,238.75735473632812
2015-08-27,249.05117797851562
2015-08-28,248.3516387939453
2015-09-01,243.3546142578125
2015-09-02,243.8543243408203
2015-09-03,249.85076904296875
2015-09-04,245.85311889648438
2015-09-07,245.95303344726562
2015-09-08,247.75196838378906
2015-09-09,249.85076904296875
2015-09-10,246.85247802734375
2015-09-11,247.55210876464844
2015-09-14,246.75262451171875
2015-09-15,249.7507781982422
2015-09-16,248.4515838623047
2015-09-17,249.5509033203125
2015-09-18,246.45274353027344
2015-09-21,246.5526885986328
2015-09-22,241.35585021972656
2015-09-23,242.355224609375
2015-09-24,239.3570098876953
2015-09-25,248.05178833007812
2015-09-28,239.85670471191406
2015-09-29,235.85910034179688
2015-09-30,241.05599975585938
2015-10-01,243.45452880859375
2015-10-02,243.45452880859375
2015-10-05,250.7501983642578
2015-10-06,246.75262451171875
2015-10-07,244.8536834716797
2015-10-08,242.1553192138672
2015-10-09,247.05239868164062
2015-10-12,245.35340881347656
2015-10-13,245.05361938476562
2015-10-14,242.95484924316406
2015-10-15,244.65382385253906
2015-10-16,244.2540740966797
2015-10-19,243.45452880859375
2015-10-20,245.85311889648438
2015-10-21,244.65382385253906
2015-10-22,246.5526885986328
2015-10-23,254.2480926513672
2015-10-26,253.34866333007812
2015-10-27,252.24928283691406
2015-10-28,255.44741821289062
2015-10-29,256.3468017578125
2015-10-30,255.34744262695312
2015-11-02,257.5461730957031
2015-11-03,260.944091796875
2015-11-04,262.3432312011719
2015-11-05,264.9417419433594
2015-11-06,269.8387756347656
2015-11-09,267.8400573730469
2015-11-10,266.04107666015625
2015-11-11,267.5401611328125
2015-11-12,266.04107666015625
2015-11-13,263.1427917480469
2015-11-16,259.0452575683594
2015-11-17,264.64190673828125
2015-11-18,264.042236328125
2015-11-19,264.85565185546875
2015-11-20,267.55413818359375
2015-11-23,268.2537536621094
2015-11-24,266.4547424316406
2015-11-25,268.95343017578125
2015-11-26,271.55194091796875
2015-11-27,272.6513366699219
2015-11-30,273.3509826660156
2015-12-01,275.8495788574219
2015-12-02,280.6470031738281
2015-12-03,277.0489501953125
2015-12-04,276.84912109375
2015-12-07,275.5498046875
2015-12-08,273.15106201171875
2015-12-09,271.9517517089844
2015-12-10,270.2526550292969
2015-12-11,265.755126953125
2015-12-14,261.3575134277344
2015-12-15,269.253173828125
2015-12-16,272.0517272949219
2015-12-17,274.8501281738281
2015-12-18,272.951171875
2015-12-21,272.951171875
2015-12-22,274.8501281738281
2015-12-23,278.1484069824219
2015-12-24,277.0489501953125
2015-12-29,279.1477966308594
2015-12-30,277.34881591796875
2015-12-31,277.7485656738281
2016-01-04,265.0555114746094
2016-01-05,266.6546630859375
2016-01-06,264.0560302734375
2016-01-07,256.760009765625
2016-01-08,257.15972900390625
2016-01-11,254.6611785888672
2016-01-12,257.759521484375
2016-01-13,257.35968017578125
2016-01-14,251.46292114257812
2016-01-15,246.16578674316406
2016-01-18,242.2679443359375
2016-01-19,245.3662109375
2016-01-20,235.47161865234375
2016-01-21,248.36460876464844
2016-01-22,256.6600646972656
2016-01-25,256.8599853515625
2016-01-26,254.86105346679688
2016-01-27,253.3618621826172
2016-01-28,250.363525390625
2016-01-29,250.86322021484375
2016-02-01,250.26358032226562
2016-02-02,248.26463317871094
2016-02-03,230.8741455078125
2016-02-04,237.37057495117188
2016-02-05,231.4738006591797
2016-02-08,222.8784942626953
2016-02-09,221.07948303222656
2016-02-10,224.5775604248047
2016-02-11,220.47979736328125
2016-02-12,224.5775604248047
2016-02-15,230.1744842529297
2016-02-16,230.0745849609375
2016-02-17,238.7698211669922
2016-02-18,238.56991577148438
2016-02-19,239.26954650878906
2016-02-22,247.86489868164062
2016-02-23,247.0653076171875
2016-02-24,239.66929626464844
2016-02-25,243.9669647216797
2016-02-26,248.66444396972656
2016-02-29,248.66444396972656
2016-03-01,250.66334533691406
2016-03-02,250.86322021484375
2016-03-03,250.363525390625
2016-03-04,253.3618621826172
2016-03-07,251.8627166748047
2016-03-08,247.0653076171875
2016-03-09,243.36732482910156
2016-03-10,240.86866760253906
2016-03-11,242.8675994873047
2016-03-14,244.1669158935547
2016-03-15,247.36512756347656
2016-03-16,253.06204223632812
2016-03-17,254.16143798828125
2016-03-18,250.76327514648438
2016-03-21,250.9631805419922
2016-03-22,251.56283569335938
2016-03-23,255.36077880859375
2016-03-24,254.361328125
2016-03-29,255.8604736328125
2016-03-30,261.75732421875
2016-03-31,262.35693359375
2016-04-01,263.556396484375
2016-04-04,261.3575134277344
2016-04-05,260.8577880859375
2016-04-06,264.7556457519531
2016-04-07,264.3559265136719
