Date,MONC.MI
2015-08-24,13.354165077209473
2015-08-25,14.119294166564941
2015-08-26,14.003634452819824
2015-08-27,14.528546333312988
2015-08-28,14.279436111450195
2015-08-31,14.350611686706543
2015-09-01,13.84349250793457
2015-09-02,13.941357612609863
2015-09-03,14.386199951171875
2015-09-04,13.772315979003906
2015-09-07,13.79011058807373
2015-09-08,14.110398292541504
2015-09-09,14.13708782196045
2015-09-10,13.683347702026367
2015-09-11,13.950254440307617
2015-09-14,13.496513366699219
2015-09-15,13.82569694519043
2015-09-16,14.163778305053711
2015-09-17,14.484064102172852
2015-09-18,14.057015419006348
2015-09-21,14.341714859008789
2015-09-22,13.923562049865723
2015-09-23,14.421786308288574
2015-09-24,13.772315979003906
2015-09-25,14.412891387939453
2015-09-28,14.199365615844727
2015-09-29,14.012531280517578
2015-09-30,14.234952926635742
2015-10-01,14.145983695983887
2015-10-02,13.79011058807373
2015-10-05,14.003634452819824
2015-10-06,13.959150314331055
2015-10-07,13.968047142028809
2015-10-08,14.306126594543457
2015-10-09,14.234952926635742
2015-10-12,13.976943016052246
2015-10-13,13.078361511230469
2015-10-14,12.660209655761719
2015-10-15,12.393305778503418
2015-10-16,12.384407997131348
2015-10-19,12.535655975341797
2015-10-20,12.357719421386719
2015-10-21,12.242060661315918
2015-10-22,12.651313781738281
2015-10-23,13.078361511230469
2015-10-26,12.900425910949707
2015-10-27,13.131744384765625
2015-10-28,13.05167293548584
2015-10-29,13.0338773727417
2015-10-30,13.0338773727417
2015-11-02,13.131744384765625
2015-11-03,13.389752388000488
2015-11-04,13.612173080444336
2015-11-05,13.816801071166992
2015-11-06,13.941357612609863
2015-11-09,13.763421058654785
2015-11-10,14.226055145263672
2015-11-11,14.128190040588379
2015-11-12,13.799007415771484
2015-11-13,13.452030181884766
2015-11-16,13.265196800231934
2015-11-17,13.256299018859863
2015-11-18,13.40754508972168
2015-11-19,13.318577766418457
2015-11-20,13.229609489440918
2015-11-23,12.918219566345215
2015-11-24,12.46448040008545
2015-11-25,12.59793472290039
2015-11-26,12.971600532531738
2015-11-27,12.544551849365234
2015-11-30,12.82925033569336
2015-12-01,13.024982452392578
2015-12-02,13.505411148071289
2015-12-03,13.274094581604004
2015-12-04,13.300783157348633
2015-12-07,13.46982479095459
2015-12-08,12.891529083251953
2015-12-09,12.900425910949707
2015-12-10,12.500066757202148
2015-12-11,12.322131156921387
2015-12-14,11.877289772033691
2015-12-15,12.135297775268555
2015-12-16,12.099710464477539
2015-12-17,12.05522632598877
2015-12-18,11.663764953613281
2015-12-21,11.192231178283691
2015-12-22,11.227818489074707
2015-12-23,11.468033790588379
2015-12-28,11.298992156982422
2015-12-29,11.681558609008789
2015-12-30,11.494723320007324
2015-12-31,11.494723320007324
2016-01-04,11.07657241821289
2016-01-05,10.969810485839844
2016-01-06,10.845254898071289
2016-01-07,10.898635864257812
2016-01-08,10.987606048583984
2016-01-11,11.174437522888184
2016-01-12,11.957361221313477
2016-01-13,11.628177642822266
2016-01-14,11.476930618286133
2016-01-15,11.156643867492676
2016-01-18,11.548105239868164
2016-01-19,11.734938621520996
2016-01-20,11.405755996704102
2016-01-21,11.823907852172852
2016-01-22,12.117505073547363
2016-01-25,12.00184440612793
2016-01-26,12.1264009475708
2016-01-27,12.099710464477539
2016-01-28,11.726042747497559
2016-01-29,12.090811729431152
2016-02-01,11.948463439941406
2016-02-02,11.895082473754883
2016-02-03,11.76163101196289
2016-02-04,11.91287612915039
2016-02-05,11.414653778076172
2016-02-08,11.272303581237793
2016-02-09,11.040985107421875
2016-02-10,11.254508972167969
2016-02-11,10.943120956420898
2016-02-12,11.298992156982422
2016-02-15,11.672659873962402
2016-02-16,11.877289772033691
2016-02-17,12.411099433898926
2016-02-18,12.250956535339355
2016-02-19,12.268749237060547
2016-02-22,12.402201652526855
2016-02-23,12.117505073547363
2016-02-24,11.79721736907959
2016-02-25,12.197574615478516
2016-02-26,12.411099433898926
2016-02-29,12.74028205871582
2016-03-01,12.9627046585083
2016-03-02,12.9627046585083
2016-03-03,12.766972541809082
2016-03-04,13.21181583404541
2016-03-07,13.40754508972168
2016-03-08,13.478719711303711
2016-03-09,13.968047142028809
2016-03-10,13.452030181884766
2016-03-11,13.621070861816406
2016-03-14,13.710038185119629
2016-03-15,13.452030181884766
2016-03-16,13.336370468139648
2016-03-17,13.042776107788086
2016-03-18,13.060568809509277
2016-03-21,12.989394187927246
2016-03-22,12.900425910949707
2016-03-23,13.016085624694824
2016-03-24,12.944910049438477
2016-03-29,13.096156120300293
2016-03-30,13.51430892944336
2016-03-31,13.21181583404541
2016-04-01,13.122847557067871
2016-04-04,12.980498313903809
2016-04-05,12.927116394042969
2016-04-06,12.900425910949707
2016-04-07,12.589035034179688
2016-04-08,12.793664932250977
2016-04-11,12.82925033569336
2016-04-12,12.82925033569336
2016-04-13,13.0338773727417
2016-04-14,12.989394187927246
2016-04-15,12.873736381530762
2016-04-18,13.149538040161133
2016-04-19,13.452030181884766
2016-04-20,13.202919006347656
2016-04-21,13.389752388000488
2016-04-22,13.16733169555664
2016-04-25,12.793664932250977
2016-04-26,12.766972541809082
2016-04-27,12.686902046203613
2016-04-28,12.508964538574219
2016-04-29,12.59793472290039
2016-05-02,12.971600532531738
2016-05-03,13.096156120300293
2016-05-04,13.21181583404541
2016-05-05,13.0338773727417
2016-05-06,12.900425910949707
2016-05-09,12.998291015625
2016-05-10,13.318577766418457
2016-05-11,13.932459831237793
2016-05-12,14.057015419006348
2016-05-13,13.994738578796387
2016-05-16,13.950254440307617
