Date,WTB.L
2015-08-24,4052.0771484375
2015-08-25,4180.68798828125
2015-08-26,4132.6728515625
2015-08-27,4094.94775390625
2015-08-28,4112.95361328125
2015-09-01,4030.642578125
2015-09-02,4036.644775390625
2015-09-03,4102.6640625
2015-09-04,4020.353759765625
2015-09-07,4039.216796875
2015-09-08,3974.9111328125
2015-09-09,3996.34619140625
2015-09-10,3995.48876953125
2015-09-11,3965.47998046875
2015-09-14,3968.052001953125
2015-09-15,3948.33154296875
2015-09-16,3987.77197265625
2015-09-17,4012.636962890625
2015-09-18,3993.77392578125
2015-09-21,3987.77197265625
2015-09-22,3905.461669921875
2015-09-23,3942.329833984375
2015-09-24,3986.057373046875
2015-09-25,4092.375244140625
2015-09-28,4004.92041015625
2015-09-29,3924.323974609375
2015-09-30,4002.3486328125
2015-10-01,4018.638916015625
2015-10-02,4012.636962890625
2015-10-05,4071.797607421875
2015-10-06,4088.945068359375
2015-10-07,3994.6318359375
2015-10-08,4088.088134765625
2015-10-09,4047.790771484375
2015-10-12,4014.3515625
2015-10-13,3961.193359375
2015-10-14,3912.320556640625
2015-10-15,3942.329833984375
2015-10-16,4022.068359375
2015-10-19,4051.219482421875
2015-10-20,4185.83154296875
2015-10-21,4155.8232421875
2015-10-22,4194.40625
2015-10-23,4231.275390625
2015-10-26,4235.56103515625
2015-10-27,4191.83349609375
2015-10-28,4202.123046875
2015-10-29,4246.70654296875
2015-10-30,4257.853515625
2015-11-02,4183.25927734375
2015-11-03,4143.8193359375
2015-11-04,4064.939208984375
2015-11-05,4064.939208984375
2015-11-06,4087.231201171875
2015-11-09,4010.92236328125
2015-11-10,3953.4765625
2015-11-11,3949.189697265625
2015-11-12,3868.59375
2015-11-13,3817.149658203125
2015-11-16,3771.70703125
2015-11-17,3896.030517578125
2015-11-18,3858.304443359375
2015-11-19,3871.410888671875
2015-11-20,3849.974365234375
2015-11-23,3813.104248046875
2015-11-24,3692.203369140625
2015-11-25,3795.097900390625
2015-11-26,3794.23974609375
2015-11-27,3799.384521484375
2015-11-30,3899.707275390625
2015-12-01,3991.455078125
2015-12-02,4027.468505859375
2015-12-03,4038.61474609375
2015-12-04,3921.143798828125
2015-12-07,3921.143798828125
2015-12-08,3897.134765625
2015-12-09,3840.542724609375
2015-12-10,3829.39599609375
2015-12-11,3772.8037109375
2015-12-14,3740.220458984375
2015-12-15,3831.96826171875
2015-12-16,3827.68115234375
2015-12-17,3827.68115234375
2015-12-18,3765.086181640625
2015-12-21,3767.659423828125
2015-12-22,3735.07568359375
2015-12-23,3777.94873046875
2015-12-24,3807.101806640625
2015-12-29,3838.82763671875
2015-12-30,3812.246826171875
2015-12-31,3773.6611328125
2016-01-04,3682.770751953125
2016-01-05,3692.203369140625
2016-01-06,3601.312744140625
2016-01-07,3537.003173828125
2016-01-08,3532.71630859375
2016-01-11,3600.455078125
2016-01-12,3600.455078125
2016-01-13,3546.435302734375
2016-01-14,3438.396728515625
2016-01-15,3414.3876953125
2016-01-18,3344.07568359375
2016-01-19,3388.6640625
2016-01-20,3322.6396484375
2016-01-21,3348.363525390625
2016-01-22,3399.810546875
2016-01-25,3368.9423828125
2016-01-26,3336.359130859375
2016-01-27,3416.101806640625
2016-01-28,3386.948974609375
2016-01-29,3429.8212890625
2016-02-01,3473.5517578125
2016-02-02,3390.37841796875
2016-02-03,3317.49462890625
2016-02-04,3291.771484375
2016-02-05,3245.46875
2016-02-08,3132.284423828125
2016-02-09,3172.584716796875
2016-02-10,3283.197021484375
2016-02-11,3128.854248046875
2016-02-12,3178.58740234375
2016-02-15,3248.898681640625
2016-02-16,3239.46630859375
2016-02-17,3374.08740234375
2016-02-18,3321.78173828125
2016-02-19,3329.4990234375
2016-02-22,3338.07421875
2016-02-23,3245.46875
2016-02-24,3215.4580078125
2016-02-25,3234.322509765625
2016-02-26,3326.927001953125
2016-02-29,3362.082763671875
2016-03-01,3466.6923828125
2016-03-02,3471.836669921875
2016-03-03,3258.33056640625
2016-03-04,3260.903076171875
2016-03-07,3191.448486328125
2016-03-08,3178.58740234375
2016-03-09,3173.442626953125
2016-03-10,3179.444091796875
2016-03-11,3255.758056640625
2016-03-14,3371.5146484375
2016-03-15,3292.628662109375
2016-03-16,3263.47509765625
2016-03-17,3270.335205078125
2016-03-18,3366.369873046875
2016-03-21,3385.234130859375
2016-03-22,3349.220703125
2016-03-23,3363.7978515625
2016-03-24,3342.36083984375
2016-03-29,3356.938232421875
2016-03-30,3410.95751953125
2016-03-31,3395.52294921875
2016-04-01,3368.0849609375
2016-04-04,3365.51220703125
2016-04-05,3296.916259765625
2016-04-06,3266.0478515625
2016-04-07,3258.33056640625
2016-04-08,3256.615966796875
2016-04-11,3285.76904296875
2016-04-12,3208.597900390625
2016-04-13,3232.60693359375
2016-04-14,3228.319580078125
2016-04-15,3206.883544921875
2016-04-18,3224.032470703125
2016-04-19,3254.04296875
2016-04-20,3335.501708984375
2016-04-21,3327.784423828125
2016-04-22,3332.92919921875
2016-04-25,3315.780029296875
2016-04-26,3403.24072265625
2016-04-27,3486.413330078125
2016-04-28,3440.111572265625
2016-04-29,3320.066650390625
2016-05-03,3302.06103515625
2016-05-04,3298.630859375
2016-05-05,3279.766845703125
2016-05-06,3260.045654296875
2016-05-09,3344.07568359375
2016-05-10,3371.5146484375
2016-05-11,3369.7998046875
2016-05-12,3366.369873046875
2016-05-13,3359.51025390625
2016-05-16,3374.944091796875
2016-05-17,3438.396728515625
2016-05-18,3503.562744140625
2016-05-19,3498.41796875
2016-05-20,3669.051513671875
2016-05-23,3655.332275390625
2016-05-24,3711.067138671875
2016-05-25,3735.07568359375
2016-05-26,3637.842041015625
2016-05-27,3643.84521484375
2016-05-31,3612.114990234375
2016-06-01,3570.951416015625
2016-06-02,3570.951416015625
2016-06-03,3586.387451171875
2016-06-06,3554.6572265625
2016-06-07,3582.95751953125
2016-06-08,3551.226806640625
2016-06-09,3522.927001953125
2016-06-10,3490.33935546875
2016-06-13,3438.026611328125
2016-06-14,3351.41162109375
2016-06-15,3299.09912109375
2016-06-16,3276.80224609375
2016-06-17,3355.699462890625
2016-06-20,3465.469482421875
2016-06-21,3522.927001953125
2016-06-22,3490.33935546875
2016-06-23,3594.10595703125
2016-06-24,3284.520751953125
2016-06-27,2927.768798828125
2016-06-28,2908.0439453125
2016-06-29,3058.97802734375
2016-06-30,2994.659423828125
2016-07-01,3079.5595703125
2016-07-04,3004.09326171875
2016-07-05,2920.0498046875
2016-07-06,2960.35595703125
2016-07-07,3053.832763671875
2016-07-08,3094.138671875
2016-07-11,3162.744384765625
2016-07-12,3179.8955078125
2016-07-13,3171.3203125
2016-07-14,3203.05029296875
2016-07-15,3168.74755859375
2016-07-18,3168.74755859375
2016-07-19,3151.59619140625
2016-07-20,3139.58984375
2016-07-21,3182.46826171875
2016-07-22,3201.33544921875
2016-07-25,3254.5048828125
2016-07-26,3216.771240234375
2016-07-27,3270.7998046875
2016-07-28,3301.671875
2016-07-29,3309.39013671875
2016-08-01,3289.665771484375
2016-08-02,3275.0869140625
2016-08-03,3261.365966796875
2016-08-04,3327.3994140625
2016-08-05,3385.71484375
2016-08-08,3350.553955078125
2016-08-09,3361.702392578125
2016-08-10,3378.85400390625
2016-08-11,3387.429931640625
2016-08-12,3481.763671875
2016-08-15,3479.1904296875
2016-08-16,3431.166015625
