Date,MAHLIFE.NS
2015-08-21,128.8032989501953
2015-08-24,125.67691040039062
2015-08-25,127.42827606201172
2015-08-26,129.16513061523438
2015-08-27,130.68490600585938
2015-08-28,132.3783416748047
2015-08-31,134.25994873046875
2015-09-01,128.07958984375
2015-09-02,128.81776428222656
2015-09-03,128.9769744873047
2015-09-04,128.58619689941406
2015-09-07,127.7901382446289
2015-09-08,128.81776428222656
2015-09-09,131.7993927001953
2015-09-10,132.33493041992188
2015-09-11,132.46517944335938
2015-09-14,130.61253356933594
2015-09-15,131.71253967285156
2015-09-16,131.72702026367188
2015-09-18,158.04058837890625
2015-09-21,150.54312133789062
2015-09-22,143.63902282714844
2015-09-23,139.61529541015625
2015-09-24,138.70343017578125
2015-09-28,137.69027709960938
2015-09-29,134.07179260253906
2015-09-30,136.09815979003906
2015-10-01,133.34811401367188
2015-10-05,134.15863037109375
2015-10-06,132.9428253173828
2015-10-07,132.10333251953125
2015-10-08,133.7823028564453
2015-10-09,133.5217742919922
2015-10-12,135.1718292236328
2015-10-13,137.1402587890625
2015-10-14,139.16661071777344
2015-10-15,138.6744842529297
2015-10-16,137.58897399902344
2015-10-19,137.169189453125
2015-10-20,138.7323760986328
2015-10-21,137.37185668945312
2015-10-23,141.1061248779297
2015-10-26,142.13375854492188
2015-10-27,139.57188415527344
2015-10-28,142.61138916015625
2015-10-29,142.46664428710938
2015-10-30,144.0877227783203
2015-11-02,144.8114471435547
2015-11-03,145.28907775878906
2015-11-04,145.30352783203125
2015-11-05,145.75225830078125
2015-11-06,142.29296875
2015-11-09,139.55738830566406
2015-11-10,138.25474548339844
2015-11-13,138.39947509765625
2015-11-16,138.83370971679688
2015-11-17,138.25474548339844
2015-11-18,137.54551696777344
2015-11-19,136.83631896972656
2015-11-20,135.57708740234375
2015-11-23,135.6783905029297
2015-11-24,134.3612823486328
2015-11-26,133.11651611328125
2015-11-27,132.97178649902344
2015-11-30,136.93763732910156
2015-12-01,135.90997314453125
2015-12-02,135.90997314453125
2015-12-03,133.9560089111328
2015-12-04,134.0862579345703
2015-12-07,134.23098754882812
2015-12-08,133.37704467773438
2015-12-09,132.68228149414062
2015-12-10,131.72702026367188
2015-12-11,131.1914825439453
2015-12-14,131.20596313476562
2015-12-15,129.498046875
2015-12-16,130.366455078125
2015-12-17,131.56781005859375
2015-12-18,131.3941192626953
2015-12-21,132.65333557128906
2015-12-22,132.14675903320312
2015-12-23,135.08494567871094
2015-12-24,140.65740966796875
2015-12-28,139.47056579589844
2015-12-29,139.42713928222656
2015-12-30,137.22711181640625
2015-12-31,137.0244598388672
