Date,HPQ
2015-08-03,9.846355438232422
2015-08-04,9.761075973510742
2015-08-05,9.938190460205078
2015-08-06,9.885713577270508
2015-08-07,9.646280288696289
2015-08-10,9.918514251708984
2015-08-11,9.616758346557617
2015-08-12,9.54460334777832
2015-08-13,9.331403732299805
2015-08-14,9.416683197021484
2015-08-17,9.38388729095459
2015-08-18,9.311723709106445
2015-08-19,9.098531723022461
2015-08-20,8.970614433288574
2015-08-21,9.009977340698242
2015-08-24,8.724616050720215
2015-08-25,8.426143646240234
2015-08-26,8.888615608215332
2015-08-27,9.11492919921875
2015-08-28,9.193650245666504
2015-08-31,9.203489303588867
2015-09-01,9.121490478515625
2015-09-02,9.183810234069824
2015-09-03,9.226448059082031
2015-09-04,8.908271789550781
2015-09-08,9.106307029724121
2015-09-09,8.997387886047363
2015-09-10,9.020491600036621
2015-09-11,8.961081504821777
2015-09-14,8.924774169921875
2015-09-15,8.94787883758545
2015-09-16,9.396758079528809
2015-09-17,9.099706649780273
2015-09-18,8.759743690490723
2015-09-21,8.726740837097168
2015-09-22,8.465994834899902
2015-09-23,8.413186073303223
2015-09-24,8.337271690368652
2015-09-25,8.254756927490234
2015-09-28,8.109529495239258
2015-09-29,8.13593578338623
2015-09-30,8.452792167663574
2015-10-01,8.366973876953125
2015-10-02,8.604616165161133
2015-10-05,8.97098445892334
2015-10-06,9.241632461547852
2015-10-07,9.244930267333984
2015-10-08,9.631101608276367
2015-10-09,9.670702934265137
2015-10-12,9.670702934265137
2015-10-13,9.647602081298828
2015-10-14,9.710314750671387
2015-10-15,9.495777130126953
2015-10-16,9.525479316711426
2015-10-19,9.56508731842041
2015-10-20,9.426461219787598
2015-10-21,9.317543029785156
2015-10-22,9.495777130126953
2015-10-23,9.58159065246582
2015-10-26,9.26473617553711
2015-10-27,9.060098648071289
2015-10-28,9.235029220581055
2015-10-29,9.03369426727295
2015-10-30,8.898370742797852
2015-11-02,10.051480293273926
2015-11-03,10.385805130004883
2015-11-04,10.276786804199219
