Date,ISS.CO
2015-08-24,171.1609649658203
2015-08-25,177.22935485839844
2015-08-26,181.30264282226562
2015-08-27,192.02618408203125
2015-08-28,191.8599090576172
2015-08-31,192.7743377685547
2015-09-01,188.86729431152344
2015-09-02,191.94302368164062
2015-09-03,187.45411682128906
2015-09-04,189.11666870117188
2015-09-07,190.2804718017578
2015-09-08,190.69610595703125
2015-09-09,191.1117401123047
2015-09-10,190.1142120361328
2015-09-11,189.53231811523438
2015-09-14,188.3685302734375
2015-09-15,186.53970336914062
2015-09-16,188.0360107421875
2015-09-17,189.69857788085938
2015-09-18,191.6105194091797
2015-09-21,191.69363403320312
2015-09-22,186.70596313476562
2015-09-23,187.86973571777344
2015-09-24,186.53970336914062
2015-09-25,187.12159729003906
2015-09-28,185.4590301513672
2015-09-29,183.8795928955078
2015-09-30,184.1289825439453
2015-10-01,184.5446319580078
2015-10-02,185.12652587890625
2015-10-05,187.95289611816406
2015-10-06,188.7010498046875
2015-10-07,187.12159729003906
2015-10-08,185.9578094482422
2015-10-09,186.78909301757812
2015-10-12,185.2927703857422
2015-10-13,186.2903289794922
2015-10-14,183.7133331298828
2015-10-15,188.617919921875
2015-10-16,189.53231811523438
2015-10-19,190.19735717773438
2015-10-20,191.19488525390625
2015-10-21,190.52984619140625
2015-10-22,193.02369689941406
2015-10-23,197.26324462890625
2015-10-26,196.5150909423828
2015-10-27,196.09945678710938
2015-10-28,197.0138702392578
2015-10-29,198.2607879638672
2015-10-30,198.4270477294922
2015-11-02,199.09207153320312
2015-11-03,201.58590698242188
2015-11-04,204.16290283203125
2015-11-05,203.66412353515625
2015-11-06,203.91351318359375
2015-11-09,204.07977294921875
2015-11-10,202.8328399658203
2015-11-11,204.07977294921875
2015-11-12,203.9966278076172
2015-11-13,201.66905212402344
2015-11-16,202.5003204345703
2015-11-17,203.8303680419922
2015-11-18,197.4294891357422
2015-11-19,196.59823608398438
2015-11-20,198.92584228515625
2015-11-23,200.1727294921875
2015-11-24,197.26324462890625
2015-11-25,200.58837890625
2015-11-26,201.58590698242188
2015-11-27,202.8328399658203
2015-11-30,204.74478149414062
2015-12-01,205.74234008789062
2015-12-02,208.5686798095703
2015-12-03,206.490478515625
2015-12-04,207.48802185058594
2015-12-07,209.2337188720703
2015-12-08,207.82054138183594
2015-12-09,207.654296875
2015-12-10,204.24603271484375
2015-12-11,201.17025756835938
2015-12-14,200.08961486816406
2015-12-15,201.75218200683594
2015-12-16,203.24847412109375
2015-12-17,203.74725341796875
2015-12-18,201.41964721679688
2015-12-21,202.0015411376953
2015-12-22,200.58837890625
2015-12-23,202.08468627929688
2015-12-28,205.16043090820312
2015-12-29,206.82296752929688
2015-12-30,206.73988342285156
2016-01-04,202.9159698486328
2016-01-05,201.58590698242188
2016-01-06,199.0089111328125
2016-01-07,195.26817321777344
2016-01-08,194.2706298828125
2016-01-11,194.18751525878906
2016-01-12,195.76693725585938
2016-01-13,195.01878356933594
2016-01-14,193.02369689941406
2016-01-15,189.61546325683594
2016-01-18,187.53726196289062
2016-01-19,190.1142120361328
2016-01-20,187.95289611816406
2016-01-21,190.86239624023438
2016-01-22,196.09945678710938
2016-01-25,196.1825714111328
2016-01-26,197.67889404296875
2016-01-27,198.4270477294922
2016-01-28,198.0945281982422
2016-01-29,202.0015411376953
2016-02-01,202.0015411376953
2016-02-02,199.50770568847656
2016-02-03,198.17764282226562
2016-02-04,193.6055908203125
2016-02-05,192.52496337890625
2016-02-08,185.62530517578125
2016-02-09,184.29522705078125
2016-02-10,189.7816925048828
2016-02-11,185.9578094482422
2016-02-12,187.78663635253906
2016-02-15,191.2780303955078
2016-02-16,193.5224609375
2016-02-17,197.26324462890625
2016-02-18,200.754638671875
2016-02-19,199.67396545410156
2016-02-22,202.08468627929688
2016-02-23,200.92088317871094
2016-02-24,197.18011474609375
2016-02-25,198.2607879638672
2016-02-26,200.08961486816406
2016-02-29,198.67642211914062
2016-03-01,201.50279235839844
2016-03-02,194.52001953125
2016-03-03,199.0089111328125
2016-03-04,203.66412353515625
2016-03-07,202.9159698486328
2016-03-08,201.83529663085938
2016-03-09,204.3291473388672
2016-03-10,204.49537658691406
2016-03-11,207.40489196777344
2016-03-14,209.31683349609375
2016-03-15,204.41226196289062
2016-03-16,205.99172973632812
2016-03-17,206.4073486328125
2016-03-18,209.31683349609375
2016-03-21,210.31436157226562
2016-03-22,215.0526885986328
2016-03-23,215.88397216796875
2016-03-29,216.54898071289062
2016-03-30,217.46340942382812
2016-03-31,218.5440673828125
2016-04-01,218.37782287597656
2016-04-04,219.45846557617188
2016-04-05,219.45846557617188
2016-04-06,219.1163787841797
2016-04-07,219.37295532226562
2016-04-08,220.9123992919922
2016-04-11,220.57029724121094
2016-04-12,219.54400634765625
2016-04-13,214.41246032714844
2016-04-14,218.09007263183594
2016-04-15,215.95193481445312
2016-04-18,218.17559814453125
2016-04-19,220.2282257080078
2016-04-20,217.2348175048828
2016-04-21,218.09007263183594
2016-04-25,217.66244506835938
2016-04-26,216.465087890625
2016-04-27,214.49798583984375
2016-04-28,212.53089904785156
2016-04-29,211.0769805908203
2016-05-02,211.59010314941406
2016-05-03,212.103271484375
2016-05-04,216.9782257080078
2016-05-09,217.0637664794922
2016-05-10,217.4913787841797
2016-05-11,217.91900634765625
2016-05-12,217.40585327148438
2016-05-13,219.28741455078125
2016-05-17,219.45849609375
2016-05-18,221.08348083496094
2016-05-19,221.08348083496094
2016-05-20,225.87289428710938
2016-05-23,222.62289428710938
2016-05-24,226.64263916015625
2016-05-25,225.53079223632812
2016-05-26,228.35311889648438
2016-05-27,229.46495056152344
2016-05-30,230.9188995361328
2016-05-31,230.4912567138672
2016-06-01,227.83998107910156
2016-06-02,226.64263916015625
2016-06-03,225.87289428710938
2016-06-06,225.2742156982422
2016-06-07,225.78733825683594
2016-06-08,226.04393005371094
2016-06-09,223.47816467285156
2016-06-10,220.48475646972656
