Date,SUNDRMFAST.NS
2015-08-21,157.66075134277344
2015-08-24,150.57542419433594
2015-08-25,146.18704223632812
2015-08-26,147.83265686035156
2015-08-27,151.6724853515625
2015-08-28,152.67816162109375
2015-08-31,152.58670043945312
2015-09-01,146.141357421875
2015-09-02,146.3241729736328
2015-09-03,150.7125244140625
2015-09-04,150.98683166503906
2015-09-07,150.1639862060547
2015-09-08,148.65548706054688
2015-09-09,155.37515258789062
2015-09-10,154.3694610595703
2015-09-11,153.72952270507812
2015-09-14,153.9123992919922
2015-09-15,153.5009765625
2015-09-16,151.90106201171875
2015-09-18,146.5984649658203
2015-09-21,146.5070037841797
2015-09-22,139.4673614501953
2015-09-23,139.74168395996094
2015-09-24,137.4103546142578
2015-09-28,138.14175415039062
2015-09-29,137.59317016601562
2015-09-30,139.28453063964844
2015-10-01,137.54747009277344
2015-10-05,141.7530059814453
2015-10-06,143.35292053222656
2015-10-07,144.22142028808594
2015-10-08,138.96453857421875
2015-10-09,141.5701446533203
2015-10-12,145.4099884033203
2015-10-13,147.0098419189453
2015-10-14,146.141357421875
2015-10-15,146.36988830566406
2015-10-16,148.01551818847656
2015-10-19,151.03253173828125
2015-10-20,154.1866455078125
2015-10-21,148.88404846191406
2015-10-23,159.90065002441406
2015-10-26,156.5179443359375
2015-10-27,153.31813049316406
2015-10-28,157.79794311523438
2015-10-29,155.9237518310547
2015-10-30,153.1352996826172
2015-11-02,152.17535400390625
2015-11-03,147.96983337402344
2015-11-04,145.8670654296875
2015-11-05,137.9588623046875
2015-11-06,137.68463134765625
2015-11-09,141.61585998535156
2015-11-10,137.50177001953125
2015-11-13,138.09938049316406
2015-11-16,138.88092041015625
2015-11-17,137.0420379638672
2015-11-18,135.89276123046875
2015-11-19,134.78944396972656
2015-11-20,137.91552734375
2015-11-23,140.99560546875
2015-11-24,146.926025390625
2015-11-26,147.6615753173828
2015-11-27,147.56964111328125
2015-11-30,148.16722106933594
2015-12-01,146.46627807617188
2015-12-02,144.6733856201172
2015-12-03,143.2482452392578
2015-12-04,141.5472869873047
2015-12-07,143.79995727539062
2015-12-08,139.75440979003906
2015-12-09,136.90411376953125
2015-12-10,137.63966369628906
2015-12-11,137.45582580566406
2015-12-14,138.7429962158203
2015-12-15,141.5472869873047
2015-12-16,141.2714385986328
2015-12-17,142.2368621826172
2015-12-18,140.67381286621094
2015-12-21,146.00653076171875
2015-12-22,149.54637145996094
2015-12-23,154.6952667236328
2015-12-24,150.4198455810547
2015-12-28,159.1544952392578
2015-12-29,154.78721618652344
2015-12-30,157.36160278320312
2015-12-31,156.30426025390625
2016-01-01,154.0976104736328
2016-01-04,151.523193359375
2016-01-05,151.38528442382812
2016-01-06,150.46583557128906
2016-01-07,149.86819458007812
2016-01-08,152.76443481445312
2016-01-11,153.3161163330078
2016-01-12,153.59194946289062
2016-01-13,148.4890594482422
2016-01-14,145.13308715820312
2016-01-15,141.63922119140625
2016-01-18,138.55914306640625
2016-01-19,138.9728546142578
2016-01-20,135.43304443359375
2016-01-21,135.7548065185547
2016-01-22,135.34109497070312
2016-01-25,138.0074462890625
2016-01-27,140.67381286621094
2016-01-28,141.45533752441406
2016-01-29,143.1563262939453
2016-02-01,135.66290283203125
2016-02-02,135.61692810058594
2016-02-03,132.76666259765625
2016-02-04,136.26052856445312
2016-02-05,138.51316833496094
2016-02-08,140.9496612548828
2016-02-09,140.48997497558594
2016-02-10,139.5705108642578
2016-02-11,134.46762084960938
2016-02-12,129.8704376220703
2016-02-15,133.50222778320312
2016-02-16,129.73251342773438
2016-02-17,127.8936538696289
