Date,GALP.LS
2015-08-24,5.636501789093018
2015-08-25,5.8544745445251465
2015-08-26,5.696720600128174
2015-08-27,6.107790946960449
2015-08-28,6.222996711730957
2015-08-31,6.150995254516602
2015-09-01,5.997823238372803
2015-09-02,5.902912616729736
2015-09-03,6.146411895751953
2015-09-04,5.878039360046387
2015-09-07,5.893747329711914
2015-09-08,5.922549724578857
2015-09-09,5.956586837768555
2015-09-10,5.724869251251221
2015-09-11,5.662028789520264
2015-09-14,5.734686374664307
2015-09-15,5.810617446899414
2015-09-16,6.042335033416748
2015-09-17,6.027281761169434
2015-09-18,5.984078407287598
2015-09-21,5.979496002197266
2015-09-22,5.93486213684082
2015-09-23,5.9743781089782715
2015-09-24,5.8323869705200195
2015-09-25,5.846452713012695
2015-09-28,5.695084095001221
2015-09-29,5.692403793334961
2015-09-30,5.893337249755859
2015-10-01,6.028629779815674
2015-10-02,6.228222370147705
2015-10-05,6.431832790374756
2015-10-06,6.677639484405518
2015-10-07,6.885270595550537
2015-10-08,6.79819917678833
2015-10-09,6.724524021148682
2015-10-12,6.622720241546631
2015-10-13,6.52761173248291
2015-10-14,6.434513568878174
2015-10-15,6.415759563446045
2015-10-16,6.564448833465576
2015-10-19,6.510868072509766
2015-10-20,6.427815914154053
2015-10-21,6.449918746948242
2015-10-22,6.543686389923096
2015-10-23,6.604636192321777
2015-10-26,6.444558620452881
2015-10-27,6.286494255065918
2015-10-28,6.53966760635376
2015-10-29,6.545027256011963
2015-10-30,6.58856201171875
2015-11-02,6.524265289306641
2015-11-03,6.841737270355225
2015-11-04,6.855132102966309
2015-11-05,6.744619369506836
2015-11-06,6.678979873657227
2015-11-09,6.648840427398682
2015-11-10,6.646163463592529
2015-11-11,6.581193923950195
2015-11-12,6.293861389160156
2015-11-13,6.196743488311768
2015-11-16,6.246307373046875
2015-11-17,6.441211223602295
2015-11-18,6.667594909667969
2015-11-19,6.741270065307617
2015-11-20,6.398345947265625
2015-11-23,6.455945014953613
2015-11-24,6.522923469543457
2015-11-25,6.603965759277344
2015-11-26,6.677639484405518
2015-11-27,6.624058723449707
2015-11-30,6.744619369506836
2015-12-01,6.689697265625
2015-12-02,6.734570503234863
2015-12-03,6.701083183288574
2015-12-04,6.615352630615234
2015-12-07,6.414419174194336
2015-12-08,6.36284875869751
2015-12-09,6.693714141845703
2015-12-10,6.734570503234863
2015-12-11,6.522923469543457
2015-12-14,6.396336555480957
2015-12-15,6.63343620300293
2015-12-16,6.701083183288574
2015-12-17,6.727875232696533
