Date,REG
2015-08-03,44.113609313964844
2015-08-04,43.77806854248047
2015-08-05,43.36034393310547
2015-08-06,43.31240463256836
2015-08-07,43.48360824584961
2015-08-10,42.94263458251953
2015-08-11,43.40143966674805
2015-08-12,43.558937072753906
2015-08-13,43.67534637451172
2015-08-14,43.90817642211914
2015-08-17,44.16002655029297
2015-08-18,44.194522857666016
2015-08-19,43.8978157043457
2015-08-20,43.60111999511719
2015-08-21,42.759315490722656
2015-08-24,40.34431457519531
2015-08-25,39.392120361328125
2015-08-26,40.917022705078125
2015-08-27,41.938228607177734
2015-08-28,42.00721740722656
2015-08-31,40.92391586303711
2015-09-01,40.2822265625
2015-09-02,40.848026275634766
2015-09-03,41.130924224853516
2015-09-04,40.095916748046875
2015-09-08,40.6755256652832
2015-09-09,40.068321228027344
2015-09-10,40.18562316894531
2015-09-11,40.98602294921875
2015-09-14,40.94462585449219
2015-09-15,41.48283004760742
2015-09-16,42.034820556640625
2015-09-17,42.338417053222656
2015-09-18,42.64202880859375
2015-09-21,43.076725006103516
2015-09-22,42.45573425292969
2015-09-23,42.8352165222168
2015-09-24,42.18661880493164
2015-09-25,42.2418212890625
2015-09-28,41.88302230834961
2015-09-29,42.6351203918457
2015-09-30,42.88352966308594
2015-10-01,43.04911804199219
2015-10-02,43.27682113647461
2015-10-05,43.93922424316406
2015-10-06,43.71151351928711
2015-10-07,44.594722747802734
2015-10-08,44.932830810546875
2015-10-09,44.843116760253906
2015-10-12,45.22952651977539
2015-10-13,44.79482650756836
2015-10-14,44.6085319519043
2015-10-15,45.174320220947266
2015-10-16,45.2916259765625
2015-10-19,46.09202575683594
2015-10-20,45.974727630615234
2015-10-21,45.83671569824219
2015-10-22,46.57501983642578
2015-10-23,46.285221099853516
2015-10-26,46.312828063964844
2015-10-27,46.75443649291992
2015-10-28,47.099422454833984
2015-10-29,47.2374267578125
2015-10-30,46.892417907714844
2015-11-02,47.81011962890625
2015-11-03,47.127037048339844
2015-11-04,46.78892135620117
2015-11-05,47.127037048339844
2015-11-06,45.5400276184082
2015-11-09,44.75341796875
2015-11-10,45.2916259765625
