Date,PTC
2015-08-03,36.58000183105469
2015-08-04,36.5
2015-08-05,36.5
2015-08-06,36.06999969482422
2015-08-07,35.90999984741211
2015-08-10,36.54999923706055
2015-08-11,36.34000015258789
2015-08-12,35.70000076293945
2015-08-13,35.529998779296875
2015-08-14,35.93000030517578
2015-08-17,36.36000061035156
2015-08-18,36.400001525878906
2015-08-19,36.119998931884766
2015-08-20,35.290000915527344
2015-08-21,34.439998626708984
2015-08-24,33.88999938964844
2015-08-25,33.459999084472656
2015-08-26,33.880001068115234
2015-08-27,34.310001373291016
2015-08-28,34.150001525878906
2015-08-31,33.119998931884766
2015-09-01,32.290000915527344
2015-09-02,32.279998779296875
2015-09-03,32.68000030517578
2015-09-04,31.989999771118164
2015-09-08,32.97999954223633
2015-09-09,31.90999984741211
2015-09-10,32.33000183105469
2015-09-11,32.54999923706055
2015-09-14,32.77000045776367
2015-09-15,33.0
2015-09-16,33.40999984741211
2015-09-17,33.5099983215332
2015-09-18,33.41999816894531
2015-09-21,33.9900016784668
2015-09-22,33.630001068115234
2015-09-23,33.16999816894531
2015-09-24,32.599998474121094
2015-09-25,32.5099983215332
2015-09-28,31.709999084472656
2015-09-29,30.969999313354492
2015-09-30,31.739999771118164
2015-10-01,31.399999618530273
2015-10-02,32.0099983215332
2015-10-05,33.209999084472656
2015-10-06,34.029998779296875
2015-10-07,33.84000015258789
2015-10-08,33.91999816894531
2015-10-09,34.66999816894531
2015-10-12,34.900001525878906
2015-10-13,34.68000030517578
2015-10-14,34.5099983215332
2015-10-15,34.619998931884766
2015-10-16,35.130001068115234
2015-10-19,35.08000183105469
2015-10-20,34.83000183105469
2015-10-21,33.58000183105469
2015-10-22,34.18000030517578
2015-10-23,34.33000183105469
2015-10-26,34.459999084472656
2015-10-27,34.029998779296875
2015-10-28,34.79999923706055
2015-10-29,34.060001373291016
2015-10-30,35.439998626708984
2015-11-02,36.15999984741211
2015-11-03,36.90999984741211
2015-11-04,36.54999923706055
2015-11-05,36.29999923706055
2015-11-06,36.400001525878906
2015-11-09,36.04999923706055
2015-11-10,36.40999984741211
2015-11-11,36.619998931884766
2015-11-12,35.81999969482422
2015-11-13,35.15999984741211
2015-11-16,35.40999984741211
2015-11-17,36.06999969482422
2015-11-18,36.029998779296875
2015-11-19,36.400001525878906
2015-11-20,36.630001068115234
2015-11-23,36.41999816894531
2015-11-24,36.540000915527344
2015-11-25,36.540000915527344
2015-11-27,36.459999084472656
2015-11-30,36.040000915527344
2015-12-01,36.130001068115234
2015-12-02,35.86000061035156
2015-12-03,34.779998779296875
2015-12-04,35.31999969482422
2015-12-07,35.06999969482422
2015-12-08,35.220001220703125
2015-12-09,34.81999969482422
2015-12-10,34.68000030517578
2015-12-11,34.119998931884766
2015-12-14,34.15999984741211
2015-12-15,34.22999954223633
2015-12-16,34.380001068115234
2015-12-17,33.939998626708984
2015-12-18,33.709999084472656
2015-12-21,33.529998779296875
2015-12-22,34.2400016784668
2015-12-23,35.119998931884766
2015-12-24,35.40999984741211
2015-12-28,35.209999084472656
2015-12-29,35.36000061035156
