Date,BAYN.DE
2015-08-24,82.85530853271484
2015-08-25,87.72265625
2015-08-26,86.2108383178711
2015-08-27,90.04570770263672
2015-08-28,89.60321807861328
2015-08-31,89.19760131835938
2015-09-01,86.32144927978516
2015-09-02,87.28016662597656
2015-09-03,90.45130920410156
2015-09-04,86.8008041381836
2015-09-07,88.12826538085938
2015-09-08,89.23446655273438
2015-09-09,89.01323699951172
2015-09-10,88.20201873779297
2015-09-11,87.685791015625
2015-09-14,87.6489028930664
2015-09-15,88.16513061523438
2015-09-16,88.57075500488281
2015-09-17,87.75951385498047
2015-09-18,84.84651184082031
2015-09-21,87.13267517089844
2015-09-22,84.21964263916016
2015-09-23,84.51464080810547
2015-09-24,83.40841674804688
2015-09-25,86.0264663696289
2015-09-28,83.77716064453125
2015-09-29,83.00281524658203
2015-09-30,84.40401458740234
2015-10-01,83.0765609741211
2015-10-02,83.44529724121094
2015-10-05,85.76835632324219
2015-10-06,85.65772247314453
2015-10-07,84.10901641845703
2015-10-08,82.59720611572266
2015-10-09,82.11785125732422
2015-10-12,81.97034454345703
2015-10-13,80.75350952148438
2015-10-14,79.64730072021484
2015-10-15,80.42166137695312
2015-10-16,81.08537292480469
2015-10-19,81.71224212646484
2015-10-20,81.23287963867188
2015-10-21,80.97476196289062
2015-10-22,82.3390884399414
2015-10-23,85.84209442138672
2015-10-26,85.80521392822266
2015-10-27,85.58397674560547
2015-10-28,87.46454620361328
2015-10-29,89.27135467529297
2015-10-30,89.49258422851562
2015-11-02,90.41444396972656
2015-11-03,90.3038101196289
2015-11-04,89.52947998046875
2015-11-05,90.2669448852539
2015-11-06,91.04129028320312
2015-11-09,89.05010986328125
2015-11-10,89.23446655273438
2015-11-11,90.3775634765625
2015-11-12,88.79199981689453
2015-11-13,88.27577209472656
2015-11-16,88.75511932373047
2015-11-17,92.0737533569336
2015-11-18,91.55752563476562
2015-11-19,92.77435302734375
2015-11-20,93.06934356689453
2015-11-23,92.44248962402344
2015-11-24,90.63568115234375
2015-11-25,91.92626190185547
2015-11-26,93.5487060546875
2015-11-27,92.77435302734375
2015-11-30,93.1430892944336
2015-12-01,92.0737533569336
2015-12-02,91.3362808227539
2015-12-03,86.8008041381836
2015-12-04,85.87895965576172
2015-12-07,87.39078521728516
2015-12-08,85.54711151123047
2015-12-09,83.77716064453125
2015-12-10,84.58838653564453
2015-12-11,82.67094421386719
2015-12-14,81.01162719726562
2015-12-15,83.62966918945312
2015-12-16,84.07215118408203
2015-12-17,87.46454620361328
2015-12-18,85.43648529052734
2015-12-21,84.21964263916016
2015-12-22,83.62966918945312
2015-12-23,85.620849609375
2015-12-25,85.620849609375
2015-12-28,85.17835998535156
2015-12-29,86.94831085205078
2015-12-30,85.39960479736328
2016-01-04,81.89661407470703
2016-01-05,82.04409790039062
2016-01-06,80.86412811279297
2016-01-07,78.79920959472656
2016-01-08,76.62364959716797
2016-01-11,75.81244659423828
2016-01-12,76.84489440917969
2016-01-13,76.95551300048828
2016-01-14,75.84929656982422
2016-01-15,74.18999481201172
2016-01-18,74.52184295654297
2016-01-19,75.5911865234375
2016-01-20,74.0793685913086
2016-01-21,76.10741424560547
2016-01-22,77.84048461914062
2016-01-25,78.02486419677734
2016-01-26,77.6929931640625
2016-01-27,77.47174835205078
2016-01-28,75.18557739257812
2016-01-29,76.2549057006836
2016-02-01,75.6280746459961
2016-02-02,74.00562286376953
2016-02-03,72.67079162597656
2016-02-04,72.6191635131836
2016-02-05,71.09258270263672
2016-02-08,69.69876861572266
2016-02-09,68.71054077148438
2016-02-10,69.94951629638672
2016-02-11,68.45242309570312
2016-02-12,69.89051055908203
2016-02-15,71.11471557617188
2016-02-16,70.2813720703125
2016-02-17,72.04393005371094
2016-02-18,72.98053741455078
2016-02-19,72.294677734375
2016-02-22,72.9878921508789
2016-02-23,71.68257141113281
2016-02-24,69.9052505493164
2016-02-25,70.36249542236328
2016-02-26,72.14717864990234
2016-02-29,71.11471557617188
2016-03-01,72.32418060302734
2016-03-02,72.89202880859375
2016-03-03,71.99231719970703
2016-03-04,72.63391876220703
2016-03-07,72.4569320678711
2016-03-08,71.9775619506836
2016-03-09,72.56753540039062
2016-03-10,70.46574401855469
2016-03-11,72.24305725097656
2016-03-14,73.93186950683594
2016-03-15,73.74751281738281
2016-03-16,73.57050323486328
2016-03-17,72.9215316772461
2016-03-18,73.20177459716797
2016-03-21,75.5911865234375
2016-03-22,76.47615814208984
2016-03-23,76.84489440917969
2016-03-24,75.5911865234375
2016-03-29,75.44368743896484
2016-03-30,76.2549057006836
2016-03-31,76.18118286132812
2016-04-01,74.55873107910156
2016-04-04,75.88618469238281
2016-04-05,73.74751281738281
2016-04-06,74.66934204101562
2016-04-07,73.85812377929688
2016-04-08,75.03807067871094
2016-04-11,75.25933837890625
2016-04-12,75.6280746459961
2016-04-13,77.7298583984375
2016-04-14,77.98797607421875
2016-04-15,77.95111846923828
2016-04-18,78.57797241210938
2016-04-19,80.86412811279297
2016-04-20,80.90101623535156
2016-04-21,81.45410919189453
2016-04-22,81.34349822998047
2016-04-25,80.90101623535156
2016-04-26,79.97915649414062
2016-04-27,77.91423034667969
2016-04-28,76.88177490234375
2016-04-29,74.30060577392578
2016-05-02,75.50304412841797
2016-05-03,74.32330322265625
2016-05-04,73.18893432617188
2016-05-05,74.2401123046875
2016-05-06,73.93761444091797
2016-05-09,75.58622741699219
2016-05-10,75.73746490478516
2016-05-11,75.62403869628906
2016-05-12,71.95625305175781
2016-05-13,72.7049331665039
2016-05-17,72.4100112915039
