Date,OXY
2015-08-03,51.350502014160156
2015-08-04,51.07672882080078
2015-08-05,50.80294418334961
2015-08-06,51.36529541015625
2015-08-07,50.891746520996094
2015-08-10,52.74153518676758
2015-08-11,52.889530181884766
2015-08-12,54.55437088012695
2015-08-13,53.962432861328125
2015-08-14,54.310176849365234
2015-08-17,54.5617561340332
2015-08-18,54.59873962402344
2015-08-19,53.392669677734375
2015-08-20,52.14221954345703
2015-08-21,51.24689483642578
2015-08-24,48.634986877441406
2015-08-25,48.64977264404297
2015-08-26,49.6856689453125
2015-08-27,52.20880889892578
2015-08-28,53.15589141845703
2015-08-31,54.02159881591797
2015-09-01,51.801841735839844
2015-09-02,52.59355926513672
2015-09-03,52.4307746887207
2015-09-04,51.53548049926758
2015-09-08,51.98427200317383
2015-09-09,50.593017578125
2015-09-10,50.66782760620117
2015-09-11,50.03952407836914
2015-09-14,49.50847244262695
2015-09-15,49.927330017089844
2015-09-16,51.153995513916016
2015-09-17,51.11661148071289
2015-09-18,49.99464797973633
2015-09-21,49.96472930908203
2015-09-22,49.18684005737305
2015-09-23,48.483734130859375
2015-09-24,48.678199768066406
2015-09-25,49.45610809326172
2015-09-28,47.60112762451172
2015-09-29,48.22193145751953
2015-09-30,49.478546142578125
2015-10-01,49.343902587890625
2015-10-02,51.453208923339844
2015-10-05,52.84443664550781
2015-10-06,53.54753494262695
2015-10-07,53.77192687988281
2015-10-08,55.40250015258789
2015-10-09,55.05094909667969
2015-10-12,54.63209915161133
2015-10-13,54.3852653503418
2015-10-14,55.275333404541016
2015-10-15,55.88871383666992
2015-10-16,55.52216720581055
2015-10-19,54.3852653503418
2015-10-20,54.28803253173828
2015-10-21,53.86167907714844
2015-10-22,55.60447692871094
2015-10-23,55.13325119018555
2015-10-26,53.599891662597656
2015-10-27,52.50782775878906
2015-10-28,55.20805740356445
2015-10-29,55.4473876953125
2015-10-30,55.75404739379883
2015-11-02,56.531959533691406
2015-11-03,57.294864654541016
2015-11-04,56.666595458984375
2015-11-05,56.62919235229492
2015-11-06,56.172916412353516
2015-11-09,56.25520324707031
2015-11-10,57.04056930541992
2015-11-11,56.561866760253906
2015-11-12,54.706886291503906
2015-11-13,54.98362350463867
2015-11-16,56.075679779052734
2015-11-17,55.53712844848633
2015-11-18,56.674049377441406
2015-11-19,56.32252502441406
2015-11-20,55.417484283447266
2015-11-23,55.424964904785156
2015-11-24,56.77131271362305
2015-11-25,56.382354736328125
2015-11-27,56.24024200439453
2015-11-30,56.539432525634766
2015-12-01,57.362186431884766
2015-12-02,56.329986572265625
2015-12-03,54.17582702636719
2015-12-04,53.644771575927734
