Date,AKZA.AS
2015-08-24,46.6146125793457
2015-08-25,48.32599639892578
2015-08-26,47.551795959472656
2015-08-27,48.945350646972656
2015-08-28,49.157230377197266
2015-08-31,49.17352294921875
2015-09-01,48.28523635864258
2015-09-02,48.04076385498047
2015-09-03,49.312068939208984
2015-09-04,48.105953216552734
2015-09-07,48.342288970947266
2015-09-08,48.61122131347656
2015-09-09,49.947715759277344
2015-09-10,49.043128967285156
2015-09-11,48.4482307434082
2015-09-14,48.497135162353516
2015-09-15,48.70085906982422
2015-09-16,48.70085906982422
2015-09-17,48.06520080566406
2015-09-18,47.111724853515625
2015-09-21,48.497135162353516
2015-09-22,46.76945495605469
2015-09-23,46.8183479309082
2015-09-24,45.35145950317383
2015-09-25,46.565711975097656
2015-09-28,45.71817398071289
2015-09-29,45.807823181152344
2015-09-30,47.2584228515625
2015-10-01,46.02785110473633
2015-10-02,46.69610595703125
2015-10-05,47.77997589111328
2015-10-06,47.90221405029297
2015-10-07,47.519203186035156
2015-10-08,49.25502395629883
2015-10-09,48.61122131347656
2015-10-12,48.8882942199707
2015-10-13,49.37725830078125
2015-10-14,47.78813171386719
2015-10-15,49.083885192871094
2015-10-16,48.99424362182617
2015-10-19,49.23872756958008
2015-10-20,48.92089080810547
2015-10-21,49.980316162109375
2015-10-22,52.62073516845703
2015-10-23,53.01190948486328
2015-10-26,52.9873161315918
2015-10-27,51.36500549316406
2015-10-28,52.29087829589844
2015-10-29,52.626800537109375
2015-10-30,52.807064056396484
2015-11-02,52.995506286621094
2015-11-03,53.102027893066406
2015-11-04,52.93817138671875
2015-11-05,52.979129791259766
2015-11-06,53.6591911315918
2015-11-09,53.17576599121094
2015-11-10,53.102027893066406
2015-11-11,53.64280700683594
2015-11-12,52.90538787841797
2015-11-13,52.454742431640625
2015-11-16,52.39738464355469
2015-11-17,53.58543395996094
2015-11-18,53.298675537109375
2015-11-19,53.610023498535156
2015-11-20,54.388397216796875
2015-11-23,53.93775939941406
2015-11-24,53.40518569946289
2015-11-25,54.51130294799805
2015-11-26,54.609622955322266
2015-11-27,54.314666748046875
2015-11-30,55.158592224121094
2015-12-01,54.23273468017578
2015-12-02,53.56085205078125
2015-12-03,51.93854904174805
2015-12-04,52.09421920776367
2015-12-07,52.65139389038086
2015-12-08,51.815650939941406
2015-12-09,51.45513916015625
2015-12-10,51.04545974731445
2015-12-11,50.209720611572266
2015-12-14,49.513275146484375
2015-12-15,50.619407653808594
2015-12-16,50.65217590332031
2015-12-17,51.47970962524414
2015-12-18,50.38998031616211
2015-12-21,49.73450469970703
2015-12-22,50.021278381347656
2015-12-23,51.086421966552734
2015-12-24,51.16016387939453
2015-12-28,50.42274856567383
2015-12-29,51.414161682128906
2015-12-30,51.05364227294922
2016-01-04,49.1937255859375
2016-01-05,49.02985763549805
