Date,ASSA-B.ST
2015-08-24,128.8502655029297
2015-08-25,134.78414916992188
2015-08-26,132.66488647460938
2015-08-27,136.1404571533203
2015-08-28,136.47952270507812
2015-08-31,137.41201782226562
2015-09-01,133.34304809570312
2015-09-02,132.66488647460938
2015-09-03,138.2597198486328
2015-09-04,134.0211944580078
2015-09-07,134.61459350585938
2015-09-08,136.2252197265625
2015-09-09,138.2597198486328
2015-09-10,138.51402282714844
2015-09-11,137.6663055419922
2015-09-14,134.10598754882812
2015-09-15,135.0384521484375
2015-09-16,135.88613891601562
2015-09-17,135.7166290283203
2015-09-18,133.0887451171875
2015-09-21,133.76690673828125
2015-09-22,130.37612915039062
2015-09-23,128.6807098388672
2015-09-24,126.73100280761719
2015-09-25,128.51116943359375
2015-09-28,126.81576538085938
2015-09-29,125.71376037597656
2015-09-30,127.07006072998047
2015-10-01,126.4766845703125
2015-10-02,127.32438659667969
2015-10-05,131.39332580566406
2015-10-06,129.95225524902344
2015-10-07,126.73100280761719
2015-10-08,130.54563903808594
2015-10-09,131.98670959472656
2015-10-12,130.54563903808594
2015-10-13,127.74822235107422
2015-10-14,126.56146240234375
2015-10-15,128.42640686035156
2015-10-16,127.07006072998047
2015-10-19,124.61174774169922
2015-10-20,129.95225524902344
2015-10-21,132.15628051757812
2015-10-22,135.80137634277344
2015-10-23,140.8028106689453
2015-10-26,140.0398712158203
2015-10-27,139.87033081054688
2015-10-28,144.70220947265625
2015-10-29,143.51544189453125
2015-10-30,144.1088409423828
2015-11-02,144.70220947265625
2015-11-03,145.97377014160156
2015-11-04,147.2453155517578
2015-11-05,148.00823974609375
2015-11-06,148.85595703125
2015-11-09,146.2281036376953
2015-11-10,147.4148406982422
2015-11-11,148.51687622070312
2015-11-12,146.99098205566406
2015-11-13,146.14329528808594
2015-11-16,148.34732055664062
2015-11-17,152.16197204589844
2015-11-18,151.48382568359375
2015-11-19,152.6706085205078
2015-11-20,154.705078125
2015-11-23,154.02685546875
2015-11-24,151.56858825683594
2015-11-25,153.4335174560547
2015-11-26,154.365966796875
2015-11-27,155.55276489257812
2015-11-30,157.2481689453125
2015-12-01,157.2481689453125
2015-12-02,158.01109313964844
2015-12-03,155.38323974609375
2015-12-04,155.38323974609375
2015-12-07,156.9091033935547
2015-12-08,156.9091033935547
2015-12-09,151.7381134033203
