Date,VIS.MC
2015-08-24,35.2640266418457
2015-08-25,36.320980072021484
2015-08-26,35.965110778808594
2015-08-27,37.13951110839844
2015-08-28,37.3743896484375
2015-08-31,37.011383056640625
2015-09-01,36.406402587890625
2015-09-02,36.54874038696289
2015-09-03,36.95444869995117
2015-09-04,36.869041442871094
2015-09-07,36.83345413208008
2015-09-08,37.08256912231445
2015-09-09,37.78009033203125
2015-09-10,37.580787658691406
2015-09-11,37.474037170410156
2015-09-14,37.22491455078125
2015-09-15,37.48827362060547
2015-09-16,38.335262298583984
2015-09-17,38.221378326416016
2015-09-18,37.7943229675293
2015-09-21,37.965145111083984
2015-09-22,37.01850891113281
2015-09-23,36.85480499267578
2015-09-24,36.07186508178711
2015-09-25,37.08256912231445
2015-09-28,36.83345413208008
2015-09-29,36.69109344482422
2015-09-30,38.3494987487793
2015-10-01,37.8370361328125
2015-10-02,38.09326934814453
2015-10-05,38.954498291015625
2015-10-06,39.2747802734375
2015-10-07,39.01854705810547
2015-10-08,39.55948257446289
2015-10-09,39.63776779174805
2015-10-12,39.25343704223633
2015-10-13,38.98296356201172
2015-10-14,38.65555191040039
2015-10-15,39.01854705810547
2015-10-16,37.965145111083984
2015-10-19,38.89042663574219
2015-10-20,38.81926727294922
2015-10-21,39.21072006225586
2015-10-22,39.32460403442383
2015-10-23,39.50254821777344
2015-10-26,37.70180130004883
2015-10-27,36.96156692504883
2015-10-28,37.57367706298828
2015-10-29,37.85837936401367
2015-10-30,37.822792053222656
2015-11-02,38.12884521484375
2015-11-03,38.335262298583984
2015-11-04,38.157325744628906
2015-11-05,38.69113540649414
2015-11-06,38.78367233276367
2015-11-09,38.27119827270508
2015-11-10,38.584373474121094
2015-11-11,39.33171081542969
2015-11-12,38.89754867553711
2015-11-13,39.07548522949219
2015-11-16,39.36018753051758
2015-11-17,39.78725051879883
2015-11-18,39.602195739746094
2015-11-19,39.516788482666016
2015-11-20,39.2961311340332
2015-11-23,39.25343704223633
2015-11-24,38.911781311035156
2015-11-25,39.452720642089844
2015-11-26,39.894004821777344
2015-11-27,40.22141647338867
2015-11-30,41.16804885864258
2015-12-01,40.997230529785156
2015-12-02,41.445640563964844
2015-12-03,40.67694854736328
2015-12-04,40.484771728515625
