Date,AMS.SW
2015-08-24,119.02198028564453
2015-08-25,125.73240661621094
2015-08-26,121.67082214355469
2015-08-27,125.90901184082031
2015-08-28,126.43877410888672
2015-08-31,126.96854400634766
2015-09-01,125.02604675292969
2015-09-02,122.55377960205078
2015-09-03,128.02809143066406
2015-09-04,127.32173156738281
2015-09-07,128.20468139648438
2015-09-08,137.91714477539062
2015-09-09,139.15328979492188
2015-09-10,136.1512451171875
2015-09-11,133.85557556152344
2015-09-14,134.738525390625
2015-09-15,136.1512451171875
2015-09-16,135.79806518554688
2015-09-17,135.62147521972656
2015-09-18,133.32579040527344
2015-09-21,132.7960205078125
2015-09-22,129.44081115722656
2015-09-23,130.14718627929688
2015-09-24,127.32173156738281
2015-09-25,132.26626586914062
2015-09-28,125.73240661621094
2015-09-29,125.02604675292969
2015-09-30,128.20468139648438
2015-10-01,126.96854400634766
2015-10-02,128.91104125976562
2015-10-05,132.0896759033203
2015-10-06,133.32579040527344
2015-10-07,131.20672607421875
2015-10-08,139.3298797607422
2015-10-09,144.80416870117188
2015-10-12,141.62554931640625
2015-10-13,138.97669982910156
2015-10-14,138.8000946044922
2015-10-15,142.50851440429688
2015-10-16,143.03826904296875
2015-10-19,141.27236938476562
2015-10-20,141.97874450683594
2015-10-21,142.86167907714844
2015-10-22,145.86373901367188
2015-10-23,147.80624389648438
2015-10-26,137.03419494628906
2015-10-27,115.84335327148438
2015-10-28,119.3751449584961
2015-10-29,113.72425842285156
2015-10-30,111.9583511352539
2015-11-02,112.66471862792969
2015-11-03,116.54971313476562
2015-11-04,115.66675567626953
2015-11-05,117.96243286132812
2015-11-06,123.61331939697266
2015-11-09,124.49627685546875
2015-11-10,121.84741973876953
2015-11-11,123.26014709472656
2015-11-12,123.7899169921875
2015-11-13,122.37718200683594
2015-11-16,121.4942398071289
2015-11-17,123.26014709472656
2015-11-18,124.84945678710938
2015-11-19,126.96854400634766
2015-11-20,130.85354614257812
2015-11-23,131.7364959716797
2015-11-24,130.32376098632812
2015-11-25,132.9726104736328
2015-11-26,134.0321502685547
2015-11-27,135.09170532226562
2015-11-30,138.44692993164062
2015-12-01,138.8000946044922
2015-12-02,137.56396484375
2015-12-03,137.56396484375
2015-12-04,138.09375
2015-12-07,137.03419494628906
2015-12-08,134.738525390625
2015-12-09,133.1492156982422
2015-12-10,106.66064453125
2015-12-11,113.54766845703125
2015-12-14,115.49016571044922
2015-12-15,118.13903045654297
2015-12-16,116.90289306640625
2015-12-17,116.54971313476562
2015-12-18,116.01993560791016
2015-12-21,115.84335327148438
2015-12-22,114.78379821777344
2015-12-23,117.25606536865234
2015-12-28,117.78585052490234
2015-12-29,118.13903045654297
2015-12-30,118.49220275878906
2016-01-04,115.66675567626953
2016-01-05,115.1369857788086
2016-01-06,110.5456314086914
2016-01-07,107.5436019897461
2016-01-08,103.48200988769531
2016-01-11,102.24588012695312
2016-01-12,105.24791717529297
2016-01-13,105.24791717529297
2016-01-14,100.8331527709961
2016-01-15,96.24180603027344
2016-01-18,95.88861846923828
2016-01-19,97.30135345458984
2016-01-20,95.35884857177734
2016-01-21,96.94816589355469
2016-01-22,99.06725311279297
2016-01-25,98.71407318115234
2016-01-26,98.89065551757812
2016-01-27,96.94816589355469
2016-01-28,98.89065551757812
2016-01-29,99.06725311279297
2016-02-01,99.06725311279297
2016-02-02,101.89269256591797
2016-02-03,100.47997283935547
2016-02-04,100.30339050292969
2016-02-05,101.18634033203125
2016-02-08,92.18022155761719
2016-02-09,90.59091186523438
2016-02-10,91.65045166015625
2016-02-11,90.0611343383789
2016-02-12,90.76750183105469
2016-02-15,95.35884857177734
2016-02-16,93.94612121582031
2016-02-17,98.89065551757812
2016-02-18,103.12882995605469
2016-02-19,99.77361297607422
2016-02-22,101.53950500488281
