Date,AZN.ST
2015-08-24,475.60272216796875
2015-08-25,493.3734436035156
2015-08-26,483.0851135253906
2015-08-27,498.51763916015625
2015-08-28,497.582275390625
2015-08-31,498.9852294921875
2015-09-01,489.6322937011719
2015-09-02,496.1794128417969
2015-09-03,510.20904541015625
2015-09-04,503.6619567871094
2015-09-07,509.7412414550781
2015-09-08,515.8207397460938
2015-09-09,516.2884521484375
2015-09-10,519.56201171875
2015-09-11,511.6119384765625
2015-09-14,512.0795288085938
2015-09-15,516.7562255859375
2015-09-16,519.0943603515625
2015-09-17,514.885498046875
2015-09-18,521.4325561523438
2015-09-21,530.3179931640625
2015-09-22,505.0648498535156
2015-09-23,508.3383483886719
2015-09-24,504.1294860839844
2015-09-25,518.626708984375
2015-09-28,503.6619567871094
2015-09-29,493.8410949707031
2015-09-30,497.1146240234375
2015-10-01,493.8410949707031
2015-10-02,493.8410949707031
2015-10-05,502.2588195800781
2015-10-06,495.2441101074219
2015-10-07,486.3586120605469
2015-10-08,492.4381103515625
2015-10-09,494.3088073730469
2015-10-12,491.9704895019531
2015-10-13,481.2145690917969
2015-10-14,478.40863037109375
2015-10-15,491.03515625
2015-10-16,492.4381103515625
2015-10-19,500.3883056640625
2015-10-20,484.4881591796875
2015-10-21,476.07037353515625
2015-10-22,488.22930908203125
2015-10-23,497.582275390625
2015-10-26,500.3883056640625
2015-10-27,497.1146240234375
2015-10-28,506.00006103515625
2015-10-29,512.0795288085938
2015-10-30,512.54736328125
2015-11-02,511.1442565917969
2015-11-03,512.54736328125
2015-11-04,513.0150146484375
2015-11-05,523.3032836914062
2015-11-06,519.56201171875
2015-11-09,511.1442565917969
2015-11-10,510.6767272949219
2015-11-11,518.1591186523438
2015-11-12,503.1942443847656
2015-11-13,506.9354248046875
2015-11-16,525.1740112304688
2015-11-17,548.0889282226562
2015-11-18,548.0889282226562
2015-11-19,548.0889282226562
2015-11-20,556.9743041992188
2015-11-23,556.9743041992188
2015-11-24,547.6213989257812
2015-11-25,555.5712890625
2015-11-26,558.8448486328125
2015-11-27,556.506591796875
2015-11-30,553.7005004882812
2015-12-01,554.1683959960938
2015-12-02,558.3773193359375
2015-12-03,539.203369140625
2015-12-04,533.1240234375
2015-12-07,540.6063842773438
2015-12-08,531.7208862304688
2015-12-09,528.9149780273438
2015-12-10,529.8504638671875
2015-12-11,524.7062377929688
2015-12-14,514.885498046875
2015-12-15,527.5121459960938
2015-12-16,527.5121459960938
2015-12-17,531.2532958984375
2015-12-18,524.2386474609375
2015-12-21,524.2386474609375
2015-12-22,515.8207397460938
2015-12-23,534.5269165039062
2015-12-28,530.3179931640625
2015-12-29,537.8004150390625
2015-12-30,540.6063842773438
2016-01-04,523.3032836914062
2016-01-05,525.6414794921875
2016-01-07,511.1442565917969
2016-01-08,507.4030456542969
2016-01-11,497.1146240234375
2016-01-12,499.45294189453125
2016-01-13,509.7412414550781
2016-01-14,500.8559265136719
2016-01-15,486.82635498046875
2016-01-18,485.8910827636719
2016-01-19,491.03515625
2016-01-20,483.0851135253906
2016-01-21,489.6322937011719
2016-01-22,506.00006103515625
2016-01-25,509.2737731933594
2016-01-26,508.3383483886719
2016-01-27,508.8059997558594
2016-01-28,498.51763916015625
2016-01-29,512.0795288085938
2016-02-01,516.7562255859375
2016-02-02,520.02978515625
2016-02-03,512.0795288085938
2016-02-04,477.00567626953125
2016-02-05,472.7967529296875
2016-02-08,447.8240966796875
2016-02-09,449.6011657714844
2016-02-10,460.8248596191406
2016-02-11,454.0906677246094
2016-02-12,464.09844970703125
2016-02-15,481.2145690917969
2016-02-16,477.00567626953125
2016-02-17,490.56756591796875
2016-02-18,472.5741271972656
2016-02-19,464.5103454589844
2016-02-22,470.23004150390625
2016-02-23,465.8230895996094
2016-02-24,455.7901916503906
2016-02-25,470.6988220214844
2016-02-26,471.6364440917969
2016-02-29,462.72882080078125
2016-03-01,462.2600402832031
2016-03-02,464.1352844238281
2016-03-03,454.7587890625
2016-03-04,455.9777526855469
2016-03-07,455.2276306152344
2016-03-08,459.6346740722656
2016-03-09,459.8221435546875
2016-03-10,454.10247802734375
2016-03-11,457.8530578613281
2016-03-14,456.72784423828125
2016-03-15,447.72650146484375
2016-03-16,443.0381774902344
2016-03-17,441.3504638671875
2016-03-18,438.4437561035156
2016-03-21,436.4747314453125
2016-03-22,434.2243347167969
2016-03-23,435.16204833984375
2016-03-24,433.47418212890625
2016-03-29,435.53704833984375
2016-03-30,435.3495178222656
2016-03-31,431.1301574707031
2016-04-01,429.0673522949219
2016-04-04,436.00579833984375
2016-04-05,430.8487854003906
2016-04-06,449.0391845703125
2016-04-07,452.6022644042969
2016-04-08,451.4770812988281
2016-04-11,447.35150146484375
2016-04-12,443.600830078125
2016-04-13,449.9768371582031
2016-04-14,451.5708312988281
2016-04-15,452.78985595703125
2016-04-18,457.66558837890625
2016-04-19,459.353271484375
2016-04-20,457.38427734375
2016-04-21,458.50946044921875
2016-04-22,455.6965026855469
2016-04-25,456.2590637207031
2016-04-26,449.9768371582031
2016-04-27,446.22625732421875
2016-04-28,445.19488525390625
2016-04-29,440.6940612792969
2016-05-02,434.9744873046875
2016-05-03,434.5993957519531
2016-05-04,428.8797302246094
2016-05-06,424.5666198730469
2016-05-09,440.6940612792969
2016-05-10,440.6940612792969
2016-05-11,440.5065612792969
2016-05-12,436.8497314453125
2016-05-13,443.69451904296875
2016-05-16,442.0068054199219
2016-05-17,445.2886047363281
2016-05-18,449.50799560546875
2016-05-19,440.7879333496094
2016-05-20,448.2890319824219
2016-05-23,448.4765319824219
2016-05-24,457.1966552734375
2016-05-25,465.1667175292969
2016-05-26,463.66644287109375
2016-05-27,465.07293701171875
2016-05-30,470.6988220214844
2016-05-31,464.88543701171875
2016-06-01,457.10296630859375
2016-06-02,461.6973571777344
2016-06-03,455.7901916503906
2016-06-07,457.1966552734375
2016-06-08,453.0710754394531
2016-06-09,445.0072937011719
2016-06-10,434.0368347167969
2016-06-13,428.12957763671875
2016-06-14,420.53466796875
2016-06-15,430.2862243652344
2016-06-16,430.2862243652344
2016-06-17,429.62994384765625
2016-06-20,443.31951904296875
2016-06-21,445.66363525390625
2016-06-22,450.3518981933594
2016-06-23,447.4451904296875
2016-06-27,441.9130554199219
2016-06-28,460.384765625
2016-06-29,474.91827392578125
2016-06-30,474.4493713378906
2016-07-01,478.2000427246094
2016-07-04,478.2000427246094
2016-07-05,479.60650634765625
2016-07-06,477.2624206542969
2016-07-07,485.23236083984375
2016-07-08,485.701171875
2016-07-11,483.3570251464844
2016-07-12,478.6688232421875
2016-07-13,481.012939453125
2016-07-14,479.60650634765625
2016-07-15,482.4194641113281
2016-07-18,488.0452575683594
2016-07-19,487.107666015625
2016-07-20,493.20233154296875
2016-07-21,490.38946533203125
2016-07-22,495.5465393066406
2016-07-25,501.1723937988281
2016-07-26,500.7035217285156
2016-07-27,506.3294372558594
2016-07-28,541.9600219726562
2016-07-29,544.3041381835938
2016-08-01,543.8353271484375
2016-08-02,538.20947265625
2016-08-03,540.5535888671875
2016-08-04,547.5859375
2016-08-05,555.0869750976562
2016-08-08,553.6805419921875
2016-08-09,546.6481323242188
