Date,INTELLECT.NS
2015-08-21,178.09420776367188
2015-08-24,160.31712341308594
2015-08-25,152.2366180419922
2015-08-26,149.51231384277344
2015-08-27,160.0862274169922
2015-08-28,153.94505310058594
2015-08-31,156.06907653808594
2015-09-01,151.4054718017578
2015-09-02,152.79067993164062
2015-09-03,158.00839233398438
2015-09-04,156.6231689453125
2015-09-07,146.51100158691406
2015-09-08,147.89622497558594
2015-09-09,152.79067993164062
2015-09-10,154.9147186279297
2015-09-11,157.73135375976562
2015-09-14,158.88571166992188
2015-09-15,154.68385314941406
2015-09-16,153.0677490234375
2015-09-18,148.1732635498047
2015-09-21,154.17591857910156
2015-09-22,150.02024841308594
2015-09-23,157.4081268310547
2015-09-24,161.8408660888672
2015-09-28,157.91603088378906
2015-09-29,156.0229034423828
2015-09-30,159.25511169433594
2015-10-01,169.3210906982422
2015-10-05,173.79998779296875
2015-10-06,170.2445831298828
2015-10-07,179.3870849609375
2015-10-08,175.2313995361328
2015-10-09,175.73931884765625
2015-10-12,179.94117736816406
2015-10-13,186.6826171875
2015-10-14,191.43858337402344
2015-10-15,188.85281372070312
2015-10-16,198.9188232421875
2015-10-19,203.58241271972656
2015-10-20,202.1971893310547
2015-10-21,194.43988037109375
2015-10-23,202.70510864257812
2015-10-26,198.8726348876953
2015-10-27,199.70376586914062
2015-10-28,229.9940948486328
2015-10-29,224.82257080078125
2015-10-30,230.13262939453125
2015-11-02,244.0772705078125
2015-11-03,250.44932556152344
2015-11-04,243.33847045898438
2015-11-05,227.546875
2015-11-06,232.39515686035156
2015-11-09,240.38331604003906
2015-11-10,233.64186096191406
2015-11-13,237.15113830566406
2015-11-16,235.07327270507812
2015-11-17,230.96376037597656
2015-11-18,219.3278350830078
2015-11-19,226.16163635253906
2015-11-20,254.05091857910156
2015-11-23,265.5021057128906
2015-11-24,263.19342041015625
2015-11-26,261.4849548339844
2015-11-27,248.0020751953125
2015-11-30,249.06405639648438
2015-12-01,260.1459045410156
2015-12-02,268.59576416015625
2015-12-03,262.5008239746094
2015-12-04,255.6669921875
2015-12-07,254.88206481933594
2015-12-08,246.6630401611328
2015-12-09,232.99542236328125
2015-12-10,245.92422485351562
2015-12-11,240.06011962890625
2015-12-14,242.32264709472656
2015-12-15,250.2646026611328
2015-12-16,247.90972900390625
2015-12-17,254.5126190185547
2015-12-18,251.6036834716797
2015-12-21,259.591796875
2015-12-22,257.4677734375
2015-12-23,259.6379699707031
2015-12-24,255.89785766601562
2015-12-28,258.4836120605469
2015-12-29,260.51531982421875
2015-12-30,258.6683349609375
2015-12-31,258.8529968261719
2016-01-01,261.4849548339844
2016-01-04,254.7434844970703
2016-01-05,253.17359924316406
2016-01-06,242.9228973388672
2016-01-07,234.01126098632812
2016-01-08,240.75271606445312
2016-01-11,233.965087890625
2016-01-12,232.07192993164062
2016-01-13,224.40701293945312
2016-01-14,217.7117462158203
2016-01-15,203.2592010498047
2016-01-18,188.3910675048828
2016-01-19,204.04415893554688
2016-01-20,193.83963012695312
2016-01-21,211.75526428222656
2016-01-22,216.4650421142578
2016-01-25,205.7987823486328
2016-01-27,221.54420471191406
2016-01-28,221.08245849609375
2016-01-29,213.41754150390625
2016-02-01,215.495361328125
2016-02-02,207.59957885742188
2016-02-03,200.4887237548828
2016-02-04,193.88580322265625
2016-02-05,203.90562438964844
