Date,IAG.MC
2015-08-24,3.593963384628296
2015-08-25,3.806159019470215
2015-08-26,3.868161201477051
2015-08-27,3.990561008453369
2015-08-28,3.941922187805176
2015-08-31,3.9761290550231934
2015-09-01,3.852660655975342
2015-09-02,3.9552841186523438
2015-09-03,4.125790119171143
2015-09-04,4.131669044494629
2015-09-07,4.11616849899292
2015-09-08,4.181377410888672
2015-09-09,4.258344650268555
2015-09-10,4.2727766036987305
2015-09-11,4.258878707885742
2015-09-14,4.29736328125
2015-09-15,4.3358473777771
2015-09-16,4.404262065887451
2015-09-17,4.431521892547607
2015-09-18,4.399452209472656
2015-09-21,4.404262065887451
2015-09-22,4.179239273071289
2015-09-23,4.336915969848633
2015-09-24,4.196877956390381
2015-09-25,4.366848468780518
2015-09-28,4.254603385925293
2015-09-29,4.108151435852051
2015-09-30,4.256741046905518
2015-10-01,4.206498146057129
2015-10-02,4.126857280731201
2015-10-05,4.2385687828063965
2015-10-06,4.237500190734863
2015-10-07,4.035459995269775
2015-10-08,4.045079708099365
2015-10-09,4.049355506896973
2015-10-12,4.105477809906006
2015-10-13,4.126857280731201
2015-10-14,4.159997463226318
2015-10-15,4.249258041381836
2015-10-16,4.328363418579102
2015-10-19,4.40693473815918
2015-10-20,4.324088096618652
2015-10-21,4.326225757598877
2015-10-22,4.343328952789307
2015-10-23,4.452367782592773
2015-10-26,4.523989677429199
2015-10-27,4.530938148498535
2015-10-28,4.513299942016602
2015-10-29,4.450229644775391
2015-10-30,4.3561577796936035
2015-11-02,4.393572807312012
2015-11-03,4.389296531677246
2015-11-04,4.383417129516602
2015-11-05,4.3561577796936035
2015-11-06,4.510627269744873
2015-11-09,4.47588586807251
2015-11-10,4.57797384262085
2015-11-11,4.64692497253418
2015-11-12,4.502075672149658
2015-11-13,4.48604154586792
2015-11-16,4.3695197105407715
2015-11-17,4.5181097984313965
2015-11-18,4.377537250518799
2015-11-19,4.44755744934082
2015-11-20,4.3989176750183105
2015-11-23,4.326760768890381
2015-11-24,4.170686721801758
2015-11-25,4.206498146057129
2015-11-26,4.318742752075195
2015-11-27,4.292017936706543
2015-11-30,4.311793804168701
2015-12-01,4.382882595062256
2015-12-02,4.42724609375
2015-12-03,4.267965793609619
2015-12-04,4.334243297576904
2015-12-07,4.413255214691162
2015-12-08,4.3650898933410645
2015-12-09,4.292032718658447
2015-12-10,4.302855014801025
2015-12-11,4.238456726074219
2015-12-14,4.201656341552734
2015-12-15,4.34019660949707
2015-12-16,4.348313808441162
2015-12-17,4.463042736053467
2015-12-18,4.372666358947754
2015-12-21,4.361842632293701
2015-12-22,4.334784507751465
2015-12-23,4.415961265563965
2015-12-24,4.44843053817749
2015-12-28,4.400806427001953
2015-12-29,4.47278356552124
2015-12-30,4.5128302574157715
2015-12-31,4.4781951904296875
2016-01-04,4.381326198577881
2016-01-05,4.513371467590332
2016-01-06,4.459794998168945
2016-01-07,4.287160873413086
2016-01-08,4.257938385009766
2016-01-11,4.264431953430176
2016-01-12,4.302313804626465
2016-01-13,4.248197078704834
2016-01-14,4.046881198883057
2016-01-15,3.8986003398895264
2016-01-18,3.8693771362304688
2016-01-19,3.950552463531494
2016-01-20,3.8314945697784424
2016-01-21,3.9110474586486816
2016-01-22,3.999257802963257
2016-01-25,3.997633934020996
2016-01-26,4.005210876464844
2016-01-27,3.923494338989258
2016-01-28,3.7238008975982666
2016-01-29,3.8282477855682373
2016-02-01,3.9721992015838623
2016-02-02,3.8509764671325684
2016-02-03,3.73516583442688
2016-02-04,3.6220614910125732
2016-02-05,3.5663208961486816
2016-02-08,3.3060173988342285
2016-02-09,3.3346991539001465
2016-02-10,3.5333094596862793
2016-02-11,3.2914059162139893
2016-02-12,3.3444406986236572
2016-02-15,3.5343916416168213
2016-02-16,3.6020381450653076
2016-02-17,3.669142961502075
2016-02-18,3.784412145614624
2016-02-19,3.795236587524414
2016-02-22,3.731919527053833
2016-02-23,3.80660080909729
2016-02-24,3.612861394882202
2016-02-25,3.825542688369751
2016-02-26,3.7016139030456543
2016-02-29,3.8141770362854004
2016-03-01,3.8509764671325684
2016-03-02,3.834742546081543
2016-03-03,3.734084367752075
2016-03-04,3.8087661266326904
2016-03-07,3.779001235961914
2016-03-08,3.7081079483032227
2016-03-09,3.737330913543701
2016-03-10,3.6399197578430176
2016-03-11,3.7752134799957275
2016-03-14,3.771965503692627
2016-03-15,3.733001470565796
2016-03-16,3.826083183288574
2016-03-17,3.826083183288574
2016-03-18,3.9224119186401367
2016-03-21,3.8688361644744873
2016-03-22,3.7773783206939697
2016-03-23,3.788201093673706
2016-03-24,3.7275893688201904
2016-03-29,3.810389757156372
2016-03-30,3.8212125301361084
2016-03-31,3.793612480163574
2016-04-01,3.7254247665405273
2016-04-04,3.7773783206939697
2016-04-05,3.705402135848999
2016-04-06,3.586344003677368
2016-04-07,3.5235683917999268
2016-04-08,3.5262744426727295
2016-04-11,3.588508367538452
2016-04-12,3.586344003677368
2016-04-13,3.679966449737549
2016-04-14,3.6951191425323486
2016-04-15,3.6318020820617676
2016-04-18,3.6518261432647705
2016-04-19,3.6458728313446045
2016-04-20,3.66589617729187
2016-04-21,3.624768018722534
2016-04-22,3.65128493309021
2016-04-25,3.6853790283203125
2016-04-26,3.7405776977539062
2016-04-27,3.866671562194824
2016-04-28,3.8374476432800293
2016-04-29,3.6339669227600098
2016-05-02,3.584179162979126
2016-05-03,3.4721572399139404
2016-05-04,3.4846038818359375
2016-05-05,3.5100386142730713
2016-05-06,3.4651215076446533
2016-05-09,3.5143682956695557
