Date,ILC.SN
2015-08-24,3694.5888671875
2015-08-25,3862.8427734375
2015-08-26,3936.07763671875
2015-08-27,3966.502197265625
2015-08-28,3993.12255859375
2015-08-31,4048.156494140625
2015-09-01,4052.88330078125
2015-09-02,4000.946044921875
2015-09-03,4052.665771484375
2015-09-04,4016.26708984375
2015-09-07,3927.928466796875
2015-09-08,4009.4208984375
2015-09-09,4208.099609375
2015-09-10,4272.2607421875
2015-09-11,4291.927734375
2015-09-14,4244.60791015625
2015-09-15,4183.216796875
2015-09-16,4256.6689453125
2015-09-17,4213.96630859375
2015-09-21,4182.61962890625
2015-09-22,4073.962890625
2015-09-23,4014.3642578125
2015-09-24,4012.136474609375
2015-09-25,4051.743896484375
2015-09-28,4023.383056640625
2015-09-29,4042.0185546875
2015-09-30,4078.362548828125
2015-10-01,4076.2451171875
2015-10-02,4085.535888671875
2015-10-05,4147.2509765625
2015-10-06,4196.6904296875
2015-10-07,4245.80322265625
2015-10-08,4237.27294921875
2015-10-09,4210.435546875
2015-10-13,4221.46484375
2015-10-14,4221.572265625
2015-10-15,4251.56201171875
2015-10-16,4183.97021484375
2015-10-19,4245.36865234375
2015-10-20,4269.0498046875
2015-10-21,4248.43701171875
2015-10-22,4220.1513671875
2015-10-23,4259.40087890625
2015-10-26,4297.7734375
2015-10-27,4297.7734375
2015-10-28,4297.39013671875
2015-10-29,4278.203125
2015-10-30,4306.43505859375
2015-11-02,4330.6650390625
2015-11-03,4356.2646484375
2015-11-04,4335.927734375
2015-11-05,4220.97265625
2015-11-06,4166.20751953125
2015-11-09,4152.50390625
2015-11-10,4144.28125
2015-11-11,4128.6591796875
2015-11-12,4062.272216796875
2015-11-13,4216.42236328125
2015-11-16,4289.55029296875
2015-11-17,4219.6572265625
2015-11-18,4180.462890625
2015-11-19,4180.6806640625
2015-11-20,4221.0283203125
2015-11-23,4174.70556640625
2015-11-24,4161.6591796875
2015-11-25,4159.02685546875
2015-11-26,4166.044921875
2015-11-27,4165.93603515625
2015-11-30,4190.712890625
2015-12-01,4117.6953125
2015-12-02,4116.54443359375
2015-12-03,4138.79931640625
2015-12-04,4139.34765625
2015-12-07,4166.20751953125
2015-12-09,4138.79931640625
2015-12-10,4111.390625
2015-12-11,4111.390625
2015-12-14,4025.43505859375
2015-12-15,4001.64404296875
2015-12-16,3985.30810546875
2015-12-17,3949.127685546875
2015-12-18,3954.500244140625
2015-12-21,3834.77587890625
2015-12-22,3907.466064453125
2015-12-23,3903.080322265625
2015-12-24,3906.643798828125
2015-12-28,3941.726318359375
2015-12-29,3946.93408203125
2015-12-30,3981.9091796875
2015-12-31,3981.9091796875
2016-01-04,3908.56201171875
2016-01-05,3876.3818359375
2016-01-06,3862.02099609375
2016-01-07,3915.304931640625
2016-01-08,3840.3125
2016-01-11,3770.932373046875
2016-01-12,3814.89697265625
2016-01-13,3959.085205078125
2016-01-14,4013.903564453125
2016-01-15,3905.927734375
2016-01-18,3906.03955078125
2016-01-19,3909.25048828125
2016-01-20,3921.820068359375
2016-01-21,3947.899658203125
2016-01-22,3985.939697265625
2016-01-25,3986.7705078125
2016-01-26,4036.605224609375
2016-01-27,3986.7705078125
2016-01-28,3959.085205078125
2016-01-29,3933.6142578125
2016-02-01,3942.4736328125
2016-02-02,3986.716064453125
2016-02-03,4010.802734375
2016-02-04,4207.15234375
2016-02-05,4130.73779296875
2016-02-08,4152.8876953125
2016-02-09,4148.1806640625
2016-02-10,4147.3505859375
2016-02-11,4130.73779296875
2016-02-12,4096.9599609375
2016-02-15,4070.383544921875
2016-02-16,4151.6123046875
2016-02-17,4208.25927734375
2016-02-18,4258.0927734375
2016-02-19,4267.89501953125
2016-02-22,4183.39697265625
2016-02-23,4208.25927734375
2016-02-24,4236.7744140625
2016-02-25,4247.01806640625
2016-02-26,4162.85302734375
2016-02-29,4302.4453125
2016-03-01,4346.1337890625
2016-03-02,4373.8203125
2016-03-03,4374.484375
