Date,RNK.L
2015-08-24,256.7197265625
2015-08-25,264.10589599609375
2015-08-26,257.51824951171875
2015-08-27,248.23561096191406
2015-08-28,251.9287109375
2015-09-01,259.5145263671875
2015-09-02,260.51263427734375
2015-09-03,262.9081726074219
2015-09-04,258.71600341796875
2015-09-07,261.4109191894531
2015-09-08,256.7197265625
2015-09-09,257.91748046875
2015-09-10,262.1502685546875
2015-09-11,261.25177001953125
2015-09-14,261.25177001953125
2015-09-15,264.3464660644531
2015-09-16,269.9368591308594
2015-09-17,270.43603515625
2015-09-18,268.63909912109375
2015-09-21,266.8421325683594
2015-09-22,270.8353271484375
2015-09-23,269.3378601074219
2015-09-24,269.0384216308594
2015-09-25,269.5375671386719
2015-09-28,268.539306640625
2015-09-29,266.6425476074219
2015-09-30,266.8421325683594
2015-10-01,268.539306640625
2015-10-02,267.0418395996094
2015-10-05,267.0418395996094
2015-10-06,265.6442565917969
2015-10-07,266.9419860839844
2015-10-08,261.8507080078125
2015-10-09,267.0418395996094
2015-10-12,265.1451110839844
2015-10-13,264.54608154296875
2015-10-14,266.14337158203125
2015-10-15,270.53582763671875
2015-10-16,269.73724365234375
2015-10-19,270.43603515625
2015-10-20,270.0367126464844
2015-10-21,275.427490234375
2015-10-22,278.3224792480469
2015-10-23,277.9231262207031
2015-10-26,277.3241882324219
2015-10-27,276.1263122558594
2015-10-28,276.7252502441406
2015-10-29,278.22265625
2015-10-30,276.8251037597656
2015-11-02,278.9214172363281
2015-11-03,275.427490234375
2015-11-04,276.525634765625
2015-11-05,276.42572021484375
2015-11-06,275.5273132324219
2015-11-09,276.325927734375
2015-11-10,275.9266052246094
2015-11-11,273.2312316894531
2015-11-12,272.13311767578125
2015-11-13,273.7303466796875
2015-11-16,274.52899169921875
2015-11-17,270.7355041503906
2015-11-18,273.53070068359375
2015-11-19,277.5238037109375
2015-11-20,279.42059326171875
2015-11-23,280.5186767578125
2015-11-24,269.63739013671875
2015-11-25,270.7355041503906
2015-11-26,270.7355041503906
2015-11-27,275.0281066894531
2015-11-30,276.1263122558594
2015-12-01,281.4171447753906
2015-12-02,282.8147888183594
2015-12-03,281.017822265625
2015-12-04,280.119384765625
2015-12-07,280.91802978515625
2015-12-08,280.5186767578125
2015-12-09,278.42230224609375
2015-12-10,278.82159423828125
2015-12-11,278.42230224609375
2015-12-14,279.5203857421875
2015-12-15,278.5221252441406
2015-12-16,278.5221252441406
2015-12-17,284.0127258300781
2015-12-18,284.0127258300781
2015-12-21,283.01446533203125
2015-12-22,284.5118713378906
2015-12-23,287.2072448730469
2015-12-24,284.9111328125
2015-12-29,287.3070983886719
2015-12-30,287.7063903808594
2015-12-31,284.5118713378906
2016-01-04,284.21240234375
2016-01-05,282.0161437988281
2016-01-06,282.5152893066406
2016-01-07,284.8114013671875
2016-01-08,294.993896484375
2016-01-11,294.1952209472656
2016-01-12,292.2984619140625
2016-01-13,291.0007019042969
2016-01-14,282.8147888183594
2016-01-15,281.91632080078125
2016-01-18,283.2140808105469
2016-01-19,281.5169677734375
2016-01-20,274.22955322265625
2016-01-21,277.7235412597656
2016-01-22,279.5203857421875
2016-01-25,278.3224792480469
2016-01-26,274.7286376953125
2016-01-27,280.91802978515625
2016-01-28,277.5238037109375
2016-01-29,279.02130126953125
2016-02-01,279.5203857421875
2016-02-02,279.5203857421875
2016-02-03,272.9317626953125
2016-02-04,273.7303466796875
2016-02-05,266.2431640625
2016-02-08,259.5547180175781
2016-02-09,254.96255493164062
2016-02-10,255.461669921875
2016-02-11,251.28656005859375
2016-02-12,253.58277893066406
2016-02-15,256.1785583496094
2016-02-16,252.1851043701172
2016-02-17,256.47802734375
2016-02-18,254.5811767578125
2016-02-19,254.5811767578125
2016-02-22,253.28329467773438
2016-02-23,249.58935546875
2016-02-24,248.79066467285156
2016-02-25,249.58935546875
2016-02-26,247.89218139648438
2016-02-29,249.58935546875
2016-03-01,249.19003295898438
2016-03-02,245.39625549316406
2016-03-03,245.8954315185547
2016-03-04,245.6957550048828
2016-03-07,246.1949462890625
2016-03-08,252.78408813476562
2016-03-09,251.08688354492188
2016-03-10,247.09347534179688
2016-03-11,252.384765625
2016-03-14,252.6842803955078
2016-03-15,251.68589782714844
2016-03-16,253.28329467773438
2016-03-17,253.08360290527344
2016-03-18,254.98048400878906
