Date,INVE-B.ST
2015-08-24,58.03826904296875
2015-08-25,60.062164306640625
2015-08-26,58.67321014404297
2015-08-27,60.280426025390625
2015-08-28,60.5185432434082
2015-08-31,60.49868392944336
2015-09-01,58.911319732666016
2015-09-02,58.891475677490234
2015-09-03,60.91538619995117
2015-09-04,59.14942169189453
2015-09-07,59.60578536987305
2015-09-08,60.33993911743164
2015-09-09,61.570159912109375
2015-09-10,60.63758087158203
2015-09-11,60.32012939453125
2015-09-14,59.764530181884766
2015-09-15,59.34785079956055
2015-09-16,59.66530990600586
2015-09-17,59.96294021606445
2015-09-18,58.355735778808594
2015-09-21,58.831966400146484
2015-09-22,57.20488739013672
2015-09-23,57.48269271850586
2015-09-24,55.9151496887207
2015-09-25,57.681114196777344
2015-09-28,56.31199264526367
2015-09-29,56.351680755615234
2015-09-30,56.96677780151367
2015-10-01,57.02630615234375
2015-10-02,57.601741790771484
2015-10-05,59.546268463134766
2015-10-06,59.80421447753906
2015-10-07,59.58595275878906
2015-10-08,60.33993911743164
2015-10-09,60.816165924072266
2015-10-12,60.87569808959961
2015-10-13,59.92327880859375
2015-10-14,59.20895004272461
2015-10-15,60.260589599609375
2015-10-16,60.597904205322266
2015-10-19,60.478843688964844
2015-10-20,59.9827995300293
2015-10-21,59.724853515625
2015-10-22,61.31221389770508
2015-10-23,63.058326721191406
2015-10-26,62.89958953857422
2015-10-27,62.403533935546875
2015-10-28,63.15753936767578
2015-10-29,62.820220947265625
2015-10-30,62.97896957397461
2015-11-02,63.633750915527344
2015-11-03,63.47500991821289
2015-11-04,63.653587341308594
2015-11-05,63.59406280517578
2015-11-06,64.26869201660156
2015-11-09,63.89168930053711
2015-11-10,63.43532943725586
2015-11-11,64.03059387207031
2015-11-12,63.11785125732422
2015-11-13,62.62180709838867
2015-11-16,62.62180709838867
2015-11-17,64.8838119506836
2015-11-18,64.6655502319336
2015-11-19,64.60601806640625
2015-11-20,65.04253387451172
2015-11-23,65.04253387451172
2015-11-24,63.69328308105469
2015-11-25,64.68538665771484
2015-11-26,65.32032775878906
2015-11-27,65.55844116210938
2015-11-30,65.55844116210938
2015-12-01,66.21321868896484
2015-12-02,66.84819030761719
2015-12-03,65.77668762207031
2015-12-04,64.6655502319336
2015-12-07,64.6655502319336
2015-12-08,63.47500991821289
2015-12-09,62.85990524291992
2015-12-10,62.026546478271484
2015-12-11,59.92327880859375
2015-12-14,59.92327880859375
2015-12-15,60.558223724365234
2015-12-16,60.49868392944336
2015-12-17,61.80827713012695
2015-12-18,61.867801666259766
