Date,ITW
2015-08-03,70.13086700439453
2015-08-04,69.87771606445312
2015-08-05,70.86651611328125
2015-08-06,70.57383728027344
2015-08-07,70.63712310791016
2015-08-10,72.28242492675781
2015-08-11,70.57383728027344
2015-08-12,70.66875457763672
2015-08-13,70.73992919921875
2015-08-14,71.00098419189453
2015-08-17,71.22247314453125
2015-08-18,71.13544464111328
2015-08-19,70.28117370605469
2015-08-20,69.14212799072266
2015-08-21,67.40980529785156
2015-08-24,65.01305389404297
2015-08-25,63.35194396972656
2015-08-26,65.85942840576172
2015-08-27,67.0934066772461
2015-08-28,67.28323364257812
2015-08-31,66.8639907836914
2015-09-01,64.73617553710938
2015-09-02,65.40855407714844
2015-09-03,65.85150146484375
2015-09-04,64.67292022705078
2015-09-08,66.57133483886719
2015-09-09,66.08882141113281
2015-09-10,65.97808074951172
2015-09-11,66.112548828125
2015-09-14,65.36107635498047
2015-09-15,66.80864715576172
2015-09-16,67.8369369506836
2015-09-17,67.67874145507812
2015-09-18,67.06175994873047
2015-09-21,66.65833282470703
2015-09-22,66.08882141113281
2015-09-23,65.81986236572266
2015-09-24,65.5588607788086
2015-09-25,65.20288848876953
2015-09-28,64.13582611083984
2015-09-29,64.77286529541016
2015-09-30,65.5453109741211
2015-10-01,64.94010925292969
2015-10-02,65.91957092285156
2015-10-05,68.18907928466797
2015-10-06,68.18114471435547
2015-10-07,68.77838134765625
2015-10-08,69.82154846191406
2015-10-09,69.80563354492188
2015-10-12,69.76580810546875
2015-10-13,68.90581512451172
2015-10-14,67.65556335449219
2015-10-15,68.12538146972656
2015-10-16,67.14592742919922
2015-10-19,66.93089294433594
2015-10-20,67.79093170166016
2015-10-21,68.12538146972656
2015-10-22,71.29473114013672
2015-10-23,72.13885498046875
2015-10-26,72.25032806396484
2015-10-27,72.13089752197266
2015-10-28,73.36518096923828
2015-10-29,73.19798278808594
2015-10-30,73.2138900756836
2015-11-02,74.45613861083984
2015-11-03,74.06596374511719
2015-11-04,74.00225830078125
2015-11-05,74.13761901855469
2015-11-06,73.75540161132812
2015-11-09,72.77592468261719
2015-11-10,73.00685119628906
2015-11-11,72.73609161376953
2015-11-12,71.446044921875
2015-11-13,71.19922637939453
2015-11-16,72.52906799316406
2015-11-17,71.74864196777344
2015-11-18,72.9590835571289
2015-11-19,73.64389038085938
2015-11-20,74.48802947998047
2015-11-23,74.31282806396484
2015-11-24,74.36858367919922
2015-11-25,74.36858367919922
2015-11-27,74.21725463867188
2015-11-30,74.83839416503906
2015-12-01,74.98173522949219
2015-12-02,74.360595703125
2015-12-03,73.5483627319336
2015-12-04,75.10914611816406
2015-12-07,74.37651062011719
2015-12-08,73.49259948730469
2015-12-09,73.57225799560547
2015-12-10,74.2889633178711
2015-12-11,72.83164978027344
2015-12-14,73.97042846679688
2015-12-15,73.45276641845703
2015-12-16,74.83041381835938
2015-12-17,73.69963836669922
2015-12-18,72.4016342163086
2015-12-21,73.13426971435547
2015-12-22,73.9146499633789
2015-12-23,75.02153015136719
2015-12-24,74.95781707763672
2015-12-28,74.6393051147461
2015-12-29,75.49639892578125
2015-12-30,74.64732360839844
2015-12-31,74.23877716064453
2016-01-04,72.94113159179688
2016-01-05,71.87577819824219
2016-01-06,70.10549926757812
2016-01-07,67.87068939208984
2016-01-08,67.30195617675781
2016-01-11,66.63709259033203
2016-01-12,67.11772155761719
2016-01-13,66.06836700439453
2016-01-14,66.34872436523438
2016-01-15,65.0831069946289
2016-01-19,65.43556213378906
2016-01-20,65.15520477294922
2016-01-21,65.40351867675781
2016-01-22,65.81202697753906
2016-01-25,64.92289733886719
2016-01-26,67.53421783447266
2016-01-27,69.05616760253906
2016-01-28,71.09880065917969
2016-01-29,72.14812469482422
2016-02-01,72.02796936035156
2016-02-02,70.9706039428711
2016-02-03,72.0760498046875
2016-02-04,73.26154327392578
2016-02-05,72.42051696777344
2016-02-08,72.30032348632812
2016-02-09,72.38043212890625
2016-02-10,72.42847442626953
2016-02-11,71.77165985107422
2016-02-12,73.59797668457031
2016-02-16,74.92768859863281
2016-02-17,76.04109191894531
2016-02-18,76.55375671386719
2016-02-19,76.78604125976562
2016-02-22,77.24261474609375
2016-02-23,75.89690399169922
2016-02-24,75.46434020996094
2016-02-25,76.08114624023438
2016-02-26,76.04109191894531
2016-02-29,75.49639892578125
2016-03-01,77.57105255126953
2016-03-02,77.7152328491211
2016-03-03,77.35478210449219
2016-03-04,78.2839584350586
2016-03-07,78.3239974975586
2016-03-08,77.77931213378906
2016-03-09,77.60307312011719
2016-03-10,77.74726104736328
2016-03-11,78.63641357421875
2016-03-14,78.53227233886719
2016-03-15,78.48421478271484
2016-03-16,78.7565689086914
2016-03-17,80.64697265625
2016-03-18,81.15962219238281
2016-03-21,81.50408935546875
2016-03-22,81.92860412597656
2016-03-23,81.78445434570312
2016-03-24,81.21569061279297
2016-03-28,81.22372436523438
2016-03-29,81.67472839355469
2016-03-30,82.65730285644531
2016-03-31,82.50428771972656
2016-04-01,83.3096923828125
2016-04-04,82.68953704833984
2016-04-05,81.98884582519531
2016-04-06,82.72172546386719
2016-04-07,82.60093688964844
2016-04-08,83.12443542480469
2016-04-11,83.02779388427734
2016-04-12,84.06675720214844
2016-04-13,84.54193115234375
2016-04-14,84.50969696044922
2016-04-15,84.46945190429688
2016-04-18,84.8077163696289
2016-04-19,85.10570526123047
2016-04-20,84.0425796508789
2016-04-21,84.21977233886719
2016-04-22,84.29225158691406
2016-04-25,84.14729309082031
2016-04-26,84.90435791015625
2016-04-27,84.96074676513672
