Date,BBAS3.SA
2015-08-24,5.0336833000183105
2015-08-25,4.969114303588867
2015-08-26,5.213358402252197
2015-08-27,5.398646354675293
2015-08-28,5.272313117980957
2015-08-31,5.005610466003418
2015-09-01,4.876469612121582
2015-09-02,4.884889125823975
2015-09-03,5.005610466003418
2015-09-04,4.783823013305664
2015-09-08,4.800670146942139
2015-09-09,4.814704895019531
2015-09-10,4.730484485626221
2015-09-11,4.60414981842041
2015-09-14,4.87413215637207
2015-09-15,5.051063537597656
2015-09-16,5.099575042724609
2015-09-17,5.088160991668701
2015-09-18,4.80279016494751
2015-09-21,4.648690223693848
2015-09-22,4.645838737487793
2015-09-23,4.480320930480957
2015-09-24,4.488883018493652
2015-09-25,4.351903438568115
2015-09-28,4.135024070739746
2015-09-29,4.089364051818848
2015-09-30,4.337635517120361
2015-10-01,4.254879474639893
2015-10-02,4.543102741241455
2015-10-05,4.61159086227417
2015-10-06,4.717178821563721
2015-10-07,5.116698741912842
2015-10-08,5.042501926422119
2015-10-09,5.282214164733887
2015-10-13,4.842742443084717
2015-10-14,4.797083377838135
2015-10-15,4.728592395782471
2015-10-16,4.645838737487793
2015-10-19,4.851304054260254
2015-10-20,4.69434928894043
2015-10-21,4.75142240524292
2015-10-22,4.822767734527588
2015-10-23,4.757133483886719
2015-10-26,4.662958145141602
2015-10-27,4.725740909576416
2015-10-28,4.645838737487793
2015-10-29,4.423247814178467
2015-10-30,4.557372093200684
2015-11-03,4.959744453430176
2015-11-04,4.9797210693359375
2015-11-05,5.222286701202393
2015-11-06,4.965449333190918
2015-11-09,4.8969645500183105
2015-11-10,4.888401031494141
2015-11-11,4.925498962402344
2015-11-12,4.911230564117432
2015-11-13,4.871280670166016
2015-11-16,4.936916351318359
2015-11-17,5.025381565093994
2015-11-18,5.0624775886535645
2015-11-19,5.344993591308594
2015-11-23,5.299335479736328
2015-11-24,5.35717248916626
2015-11-25,5.011546611785889
2015-11-26,5.141157150268555
2015-11-27,4.979866981506348
2015-11-30,4.6918463706970215
2015-12-01,4.6918463706970215
2015-12-02,4.729289531707764
2015-12-03,5.12675666809082
2015-12-04,4.9885077476501465
2015-12-07,4.9683451652526855
2015-12-08,4.919381618499756
2015-12-09,5.4147748947143555
2015-12-10,5.184361457824707
2015-12-11,5.083552837371826
2015-12-14,4.868365287780762
2015-12-15,4.903473377227783
2015-12-16,4.8274054527282715
2015-12-17,4.79522180557251
2015-12-18,4.6664910316467285
2015-12-21,4.36221981048584
2015-12-22,4.3885498046875
2015-12-23,4.344666957855225
2015-12-28,4.3826985359191895
2015-12-29,4.330036640167236
2015-12-30,4.312482833862305
2016-01-04,4.166197299957275
2016-01-05,4.180825233459473
2016-01-06,4.180825233459473
2016-01-07,4.0813517570495605
2016-01-08,4.0813517570495605
2016-01-11,3.9643242359161377
2016-01-12,3.826815605163574
2016-01-13,3.756599187850952
2016-01-14,3.967249631881714
2016-01-15,3.815114974975586
2016-01-18,3.7917070388793945
2016-01-19,3.756599187850952
2016-01-20,3.721489667892456
2016-01-21,3.7185652256011963
2016-01-22,3.8034110069274902
2016-01-26,3.771226644515991
2016-01-27,3.715639591217041
2016-01-28,3.797558069229126
2016-01-29,4.052093982696533
2016-02-01,4.142791748046875
2016-02-02,3.8326668739318848
2016-02-03,3.8824031352996826
2016-02-04,4.037467002868652
2016-02-05,4.005281448364258
2016-02-10,4.005281448364258
2016-02-11,3.8209662437438965
2016-02-12,3.8034110069274902
2016-02-15,3.8443703651428223
2016-02-16,3.920438051223755
2016-02-17,3.90873646736145
2016-02-18,3.765376091003418
2016-02-19,3.806333303451538
2016-02-22,3.981876850128174
2016-02-23,3.9555463790893555
2016-02-24,3.823889970779419
