Date,ADP
2015-08-03,64.54627227783203
2015-08-04,65.0055160522461
2015-08-05,65.9401626586914
2015-08-06,64.6993408203125
2015-08-07,64.69129943847656
2015-08-10,65.74679565429688
2015-08-11,65.52925109863281
2015-08-12,65.70652770996094
2015-08-13,66.43164825439453
2015-08-14,66.8667221069336
2015-08-17,68.24452209472656
2015-08-18,68.2364501953125
2015-08-19,68.0592041015625
2015-08-20,66.64112854003906
2015-08-21,63.83723068237305
2015-08-24,61.46035385131836
2015-08-25,59.236549377441406
2015-08-26,62.6850471496582
2015-08-27,62.87038040161133
2015-08-28,63.176536560058594
2015-08-31,62.298316955566406
2015-09-01,60.50959014892578
2015-09-02,62.11299514770508
2015-09-03,62.48362350463867
2015-09-04,61.35561752319336
2015-09-08,63.00732421875
2015-09-09,62.8452033996582
2015-09-10,63.177589416503906
2015-09-11,63.493812561035156
2015-09-14,63.04787826538086
2015-09-15,63.964080810546875
2015-09-16,64.5316390991211
2015-09-17,64.40193176269531
2015-09-18,64.0614013671875
2015-09-21,64.7829818725586
2015-09-22,64.20732879638672
2015-09-23,64.35327911376953
2015-09-24,64.52354431152344
2015-09-25,65.10731506347656
2015-09-28,63.745182037353516
2015-09-29,64.12622833251953
2015-09-30,65.15597534179688
2015-10-01,65.58570098876953
2015-10-02,65.96675872802734
2015-10-05,67.05323791503906
2015-10-06,66.84243774414062
2015-10-07,67.82350158691406
2015-10-08,69.015380859375
2015-10-09,69.11267852783203
2015-10-12,69.46942138671875
2015-10-13,69.04782104492188
2015-10-14,69.03157806396484
2015-10-15,69.70460510253906
2015-10-16,70.28833770751953
2015-10-19,70.78290557861328
2015-10-20,70.88024139404297
2015-10-21,70.904541015625
2015-10-22,72.72074890136719
2015-10-23,73.40181732177734
2015-10-26,73.06126403808594
2015-10-27,73.2396469116211
2015-10-28,71.27751922607422
2015-10-29,71.64236450195312
2015-10-30,70.53157043457031
2015-11-02,70.53157043457031
2015-11-03,70.32076263427734
2015-11-04,70.50724029541016
2015-11-05,70.5234603881836
2015-11-06,71.05047607421875
2015-11-09,70.3450927734375
2015-11-10,70.4991455078125
2015-11-11,70.68560791015625
2015-11-12,69.90725708007812
2015-11-13,68.95863342285156
2015-11-16,70.15048217773438
2015-11-17,69.63970184326172
2015-11-18,70.13428497314453
2015-11-19,70.04510498046875
2015-11-20,70.77481842041016
2015-11-23,70.82344818115234
2015-11-24,70.3045425415039
2015-11-25,70.06130981445312
2015-11-27,70.28833770751953
2015-11-30,69.93968963623047
2015-12-01,70.9937515258789
2015-12-02,70.46671295166016
2015-12-03,69.1288833618164
2015-12-04,70.88832092285156
2015-12-07,70.21533966064453
2015-12-08,69.98832702636719
2015-12-09,69.30302429199219
2015-12-10,69.71912384033203
2015-12-11,67.98143768310547
2015-12-14,69.01751708984375
2015-12-15,69.7272720336914
