Date,ASTERDM.NS
2018-02-26,179.1178436279297
2018-02-27,172.85292053222656
2018-02-28,170.7810516357422
2018-03-01,170.28775024414062
2018-03-05,167.91989135742188
2018-03-06,167.96922302246094
2018-03-07,162.83888244628906
2018-03-08,162.39491271972656
2018-03-09,155.29136657714844
2018-03-12,143.40280151367188
2018-03-13,142.66285705566406
2018-03-14,148.08917236328125
2018-03-15,150.8023223876953
2018-03-16,150.3090362548828
2018-03-19,158.2018585205078
2018-03-20,166.93328857421875
2018-03-21,172.1129608154297
2018-03-22,167.96922302246094
2018-03-23,168.2652130126953
2018-03-26,164.9600830078125
2018-03-27,161.852294921875
2018-03-28,167.52525329589844
2018-04-02,164.91075134277344
2018-04-03,166.24267578125
2018-04-04,165.60137939453125
2018-04-05,171.61965942382812
2018-04-06,171.96498107910156
2018-04-09,170.4850616455078
2018-04-10,169.44912719726562
2018-04-11,169.25180053710938
2018-04-12,166.24267578125
2018-04-13,165.10809326171875
2018-04-16,165.89735412597656
2018-04-17,164.2201385498047
2018-04-18,162.44424438476562
2018-04-19,167.22926330566406
2018-04-20,164.2201385498047
2018-04-23,163.9241485595703
2018-04-24,167.91989135742188
2018-04-25,166.39065551757812
2018-04-26,165.00941467285156
2018-04-27,168.6598358154297
2018-04-30,168.2652130126953
2018-05-02,164.81210327148438
2018-05-03,164.02281188964844
2018-05-04,170.23841857910156
2018-05-07,176.35536193847656
2018-05-08,185.53076171875
2018-05-09,189.37852478027344
2018-05-10,184.7908172607422
2018-05-11,180.94305419921875
2018-05-14,179.21649169921875
2018-05-15,179.46315002441406
2018-05-16,182.1763153076172
2018-05-17,184.9387969970703
2018-05-18,185.43209838867188
2018-05-21,185.53076171875
2018-05-22,177.39129638671875
2018-05-23,174.62879943847656
2018-05-24,177.1939697265625
2018-05-25,178.13124084472656
2018-05-28,177.34194946289062
2018-05-29,177.14463806152344
2018-05-30,176.70066833496094
2018-05-31,172.26095581054688
2018-06-01,175.46742248535156
2018-06-04,175.46742248535156
2018-06-05,172.70492553710938
2018-06-06,174.7274627685547
2018-06-07,177.88458251953125
2018-06-08,177.4899444580078
2018-06-11,181.88034057617188
2018-06-12,184.3961639404297
2018-06-13,183.0642547607422
2018-06-14,184.0015411376953
2018-06-15,184.3468475341797
2018-06-18,177.0459747314453
2018-06-19,175.51673889160156
2018-06-20,172.80357360839844
2018-06-21,171.6689910888672
2018-06-22,171.27435302734375
2018-06-25,168.906494140625
2018-06-26,162.34559631347656
2018-06-27,158.05386352539062
2018-06-28,157.70855712890625
2018-06-29,160.5697021484375
2018-07-02,165.55206298828125
2018-07-03,166.24267578125
2018-07-04,167.57460021972656
2018-07-05,166.6866455078125
2018-07-06,164.81210327148438
2018-07-09,167.17994689941406
2018-07-10,169.1038055419922
2018-07-11,165.84803771972656
2018-07-12,163.13487243652344
2018-07-13,164.2201385498047
2018-07-16,161.4576416015625
2018-07-17,165.70004272460938
2018-07-18,160.52037048339844
2018-07-19,161.65496826171875
2018-07-20,159.9777374267578
2018-07-23,162.34559631347656
2018-07-24,164.6641082763672
2018-07-25,164.7134246826172
2018-07-26,163.4801788330078
2018-07-27,167.22926330566406
2018-07-30,168.1665496826172
2018-07-31,166.5386505126953
