Date,UMI.BR
2015-08-24,13.243002891540527
2015-08-25,13.672327041625977
2015-08-26,13.49166202545166
2015-08-27,13.8121976852417
2015-08-28,13.862707138061523
2015-08-31,13.852994918823242
2015-09-01,13.730838775634766
2015-09-02,13.874666213989258
2015-09-03,14.195820808410645
2015-09-04,14.126862525939941
2015-09-07,14.20567512512207
2015-09-08,14.440135955810547
2015-09-09,14.647013664245605
2015-09-10,14.501214027404785
2015-09-11,14.32388973236084
2015-09-14,14.457867622375488
2015-09-15,14.379059791564941
2015-09-16,14.660805702209473
2015-09-17,14.54849910736084
2015-09-18,14.237197875976562
2015-09-21,14.493332862854004
2015-09-22,13.762362480163574
2015-09-23,13.54957103729248
2015-09-24,13.256001472473145
2015-09-25,13.683548927307129
2015-09-28,13.12202262878418
2015-09-29,13.301316261291504
2015-09-30,13.573217391967773
2015-10-01,13.600800514221191
2015-10-02,13.626411437988281
2015-10-05,14.051992416381836
2015-10-06,14.111101150512695
2015-10-07,14.652925491333008
2015-10-08,14.782963752746582
2015-10-09,15.100177764892578
2015-10-12,14.8873872756958
2015-10-13,14.631255149841309
2015-10-14,14.59972858428955
2015-10-15,14.79478645324707
2015-10-16,14.6489839553833
2015-10-19,14.629283905029297
2015-10-20,14.534708023071289
2015-10-21,14.587907791137695
2015-10-22,15.121849060058594
2015-10-23,15.370105743408203
2015-10-26,15.253856658935547
2015-10-27,14.838130950927734
2015-10-28,15.056830406188965
2015-10-29,15.29523754119873
2015-10-30,15.230216979980469
2015-11-02,15.253856658935547
2015-11-03,15.533636093139648
2015-11-04,15.716873168945312
2015-11-05,15.669583320617676
2015-11-06,15.80553913116455
2015-11-09,15.671553611755371
2015-11-10,15.245977401733398
2015-11-11,15.328729629516602
2015-11-12,15.064709663391113
2015-11-13,14.978019714355469
2015-11-16,14.956348419189453
2015-11-17,15.342524528503418
2015-11-18,15.326762199401855
2015-11-19,15.519844055175781
2015-11-20,15.480439186096191
2015-11-23,15.421332359313965
2015-11-24,15.145492553710938
2015-11-25,15.253856658935547
2015-11-26,15.448917388916016
2015-11-27,15.289325714111328
2015-11-30,15.425271034240723
2015-12-01,15.265684127807617
2015-12-02,15.247946739196777
2015-12-03,15.09229850769043
2015-12-04,15.186869621276855
2015-12-07,14.930733680725098
2015-12-08,14.568206787109375
2015-12-09,14.658835411071777
2015-12-10,14.556382179260254
2015-12-11,14.225375175476074
2015-12-14,14.146567344665527
2015-12-15,14.61549186706543
2015-12-16,14.804637908935547
2015-12-17,14.877538681030273
2015-12-18,14.930733680725098
2015-12-21,14.836158752441406
2015-12-22,14.871626853942871
2015-12-23,15.265684127807617
2015-12-24,15.387836456298828
2015-12-28,15.281444549560547
2015-12-29,15.4764986038208
2015-12-30,15.470590591430664
2016-01-04,14.82630729675293
2016-01-05,14.68445110321045
2016-01-06,14.461811065673828
2016-01-07,14.055932998657227
2016-01-08,14.036230087280273
2016-01-11,14.10518741607666
2016-01-12,14.329801559448242
2016-01-13,14.386940002441406
2016-01-14,13.955451011657715
2016-01-15,13.362396240234375
2016-01-18,13.328900337219238
2016-01-19,13.405742645263672
2016-01-20,13.129902839660645
2016-01-21,13.256001472473145
2016-01-22,13.681581497192383
2016-01-25,13.677638053894043
2016-01-26,13.807677268981934
2016-01-27,13.317079544067383
2016-01-28,13.137784004211426
2016-01-29,13.317079544067383
2016-02-01,13.062914848327637
2016-02-02,12.757523536682129
2016-02-03,12.81071949005127
2016-02-04,13.10822868347168
2016-02-05,13.563361167907715
2016-02-08,13.183098793029785
2016-02-09,13.429384231567383
2016-02-10,13.752508163452148
2016-02-11,14.111101150512695
2016-02-12,14.432254791259766
2016-02-15,14.938618659973145
2016-02-16,14.851923942565918
2016-02-17,15.527726173400879
2016-02-18,15.263710021972656
2016-02-19,15.208544731140137
2016-02-22,16.29810905456543
2016-02-23,16.37100601196289
2016-02-24,15.764161109924316
2016-02-25,16.09713363647461
2016-02-26,16.238990783691406
2016-02-29,16.4379940032959
2016-03-01,16.47542953491211
2016-03-02,16.21535301208496
2016-03-03,16.21731948852539
2016-03-04,16.562122344970703
2016-03-07,16.74141502380371
2016-03-08,16.544387817382812
2016-03-09,16.700040817260742
2016-03-10,16.355239868164062
2016-03-11,16.966026306152344
2016-03-14,17.027103424072266
2016-03-15,16.87342643737793
2016-03-16,16.899036407470703
2016-03-17,16.90494728088379
2016-03-18,16.790672302246094
2016-03-21,17.02513885498047
2016-03-22,17.0960636138916
2016-03-23,17.062572479248047
2016-03-24,16.666542053222656
2016-03-29,16.845842361450195
2016-03-30,17.48223876953125
2016-03-31,17.239892959594727
2016-04-01,16.688217163085938
2016-04-04,16.571971893310547
2016-04-05,16.518775939941406
2016-04-06,16.538476943969727
2016-04-07,16.359182357788086
2016-04-08,17.11773681640625
2016-04-11,17.419191360473633
2016-04-12,17.62015724182129
2016-04-13,17.72458267211914
2016-04-14,18.02603530883789
2016-04-15,18.132429122924805
2016-04-18,18.124547958374023
2016-04-19,18.10090446472168
2016-04-20,18.1757755279541
2016-04-21,17.97283935546875
2016-04-22,18.18562126159668
2016-04-25,18.17380714416504
2016-04-26,17.3482608795166
2016-04-27,17.73443031311035
2016-04-28,17.81048583984375
2016-04-29,17.422218322753906
2016-05-02,17.466243743896484
2016-05-03,17.30413055419922
2016-05-04,17.434223175048828
2016-05-05,17.60634422302246
2016-05-06,17.612350463867188
2016-05-09,17.538297653198242
2016-05-10,17.818492889404297
2016-05-11,17.934572219848633
2016-05-12,17.720420837402344
2016-05-13,17.844512939453125
2016-05-16,17.880535125732422
