Date,IFX.DE
2015-08-24,7.771978378295898
2015-08-25,8.523497581481934
2015-08-26,8.254202842712402
2015-08-27,8.519919395446777
2015-08-28,8.545866012573242
2015-08-31,8.726588249206543
2015-09-01,8.453715324401855
2015-09-02,8.5208158493042
2015-09-03,8.792795181274414
2015-09-04,8.714958190917969
2015-09-07,8.749849319458008
2015-09-08,8.899258613586426
2015-09-09,8.788320541381836
2015-09-10,8.761480331420898
2015-09-11,8.572704315185547
2015-09-14,8.745376586914062
2015-09-15,9.02719497680664
2015-09-16,9.147976875305176
2015-09-17,9.000357627868652
2015-09-18,8.744482040405273
2015-09-21,8.740008354187012
2015-09-22,8.448345184326172
2015-09-23,8.274781227111816
2015-09-24,8.162052154541016
2015-09-25,8.537814140319824
2015-09-28,8.368720054626465
2015-09-29,8.550338745117188
2015-09-30,8.995884895324707
2015-10-01,8.77489948272705
2015-10-02,8.723904609680176
2015-10-05,8.995884895324707
2015-10-06,9.089823722839355
2015-10-07,9.376117706298828
2015-10-08,9.286651611328125
2015-10-09,9.496896743774414
2015-10-12,9.496896743774414
2015-10-13,9.326911926269531
2015-10-14,9.45663833618164
2015-10-15,9.935283660888672
2015-10-16,9.836870193481445
2015-10-19,9.921863555908203
2015-10-20,9.872655868530273
2015-10-21,10.065011024475098
2015-10-22,10.342357635498047
2015-10-23,10.619704246520996
2015-10-26,10.66891098022461
2015-10-27,10.525766372680664
2015-10-28,10.387090682983398
2015-10-29,9.944230079650879
2015-10-30,10.015804290771484
2015-11-02,10.239470481872559
2015-11-03,9.868185043334961
2015-11-04,9.810032844543457
2015-11-05,9.939757347106934
2015-11-06,10.087376594543457
2015-11-09,10.114217758178711
2015-11-10,10.132110595703125
2015-11-11,10.212631225585938
2015-11-12,10.16789722442627
2015-11-13,10.029224395751953
2015-11-16,10.042645454406738
2015-11-17,10.194737434387207
2015-11-18,10.373672485351562
2015-11-19,10.539185523986816
2015-11-20,10.664438247680664
2015-11-23,10.588391304016113
2015-11-24,10.105271339416504
2015-11-25,10.404985427856445
2015-11-26,11.742513656616211
2015-11-27,12.16748046875
2015-11-30,12.552186965942383
2015-12-01,12.435881614685059
2015-12-02,12.552186965942383
2015-12-03,12.14958667755127
2015-12-04,12.476140022277832
2015-12-07,12.417986869812012
2015-12-08,12.212213516235352
2015-12-09,12.082488059997559
2015-12-10,12.01986026763916
2015-12-11,11.89908218383789
2015-12-14,11.6306791305542
2015-12-15,12.064593315124512
2015-12-16,11.702253341674805
2015-12-17,12.10932731628418
2015-12-18,12.122747421264648
2015-12-21,12.171954154968262
2015-12-22,11.930395126342773
2015-12-23,12.055645942687988
2015-12-25,12.055645942687988
2015-12-28,11.903553009033203
2015-12-29,12.189846992492676
2015-12-30,12.082488059997559
2016-01-04,11.720147132873535
2016-01-05,11.585946083068848
2016-01-06,11.228079795837402
2016-01-07,10.95073127746582
2016-01-08,10.673384666442871
2016-01-11,10.73601245880127
2016-01-12,10.861265182495117
2016-01-13,10.87468433380127
2016-01-14,10.686805725097656
2016-01-15,10.176843643188477
2016-01-18,10.454192161560059
2016-01-19,10.628652572631836
2016-01-20,10.494452476501465
2016-01-21,10.651017189025879
2016-01-22,11.013359069824219
2016-01-25,11.026778221130371
2016-01-26,11.008885383605957
2016-01-27,10.990992546081543
2016-01-28,10.606285095214844
2016-01-29,10.986518859863281
2016-02-01,11.129664421081543
2016-02-02,10.489978790283203
2016-02-03,10.266312599182129
2016-02-04,10.020277976989746
2016-02-05,9.899497032165527
2016-02-08,9.367172241210938
2016-02-09,9.376117706298828
2016-02-10,9.394009590148926
2016-02-11,9.376117706298828
2016-02-12,9.394009590148926
2016-02-15,9.778717994689941
2016-02-16,9.653463363647461
2016-02-17,9.89055061340332
2016-02-18,10.257364273071289
2016-02-19,10.248258590698242
2016-02-22,10.444026947021484
2016-02-23,10.40760612487793
2016-02-24,9.929567337036133
2016-02-25,10.052490234375
2016-02-26,10.1754150390625
2016-02-29,10.257365226745605
2016-03-01,10.498661041259766
2016-03-02,10.580610275268555
2016-03-03,10.471343994140625
2016-03-04,10.40760612487793
2016-03-07,10.425817489624023
2016-03-08,10.2755765914917
2016-03-09,10.266469955444336
2016-03-10,10.30744457244873
2016-03-11,10.762721061706543
2016-03-14,10.908409118652344
2016-03-15,10.935725212097168
2016-03-16,11.01767635345459
2016-03-17,10.840116500854492
2016-03-18,11.049544334411621
2016-03-21,10.999464988708496
2016-03-22,11.10417652130127
2016-03-23,11.322710037231445
2016-03-24,11.154258728027344
2016-03-29,11.290840148925781
2016-03-30,11.523030281066895
2016-03-31,11.386448860168457
2016-04-01,11.441081047058105
2016-04-04,11.532135963439941
2016-04-05,11.14059829711914
2016-04-06,11.186126708984375
2016-04-07,11.213443756103516
2016-04-08,11.295392990112305
2016-04-11,11.27263069152832
2016-04-12,11.158809661865234
2016-04-13,11.541241645812988
2016-04-14,11.486608505249023
2016-04-15,11.400108337402344
2016-04-18,11.27263069152832
2016-04-19,11.668717384338379
2016-04-20,11.445634841918945
2016-04-21,11.472951889038086
2016-04-22,11.372790336608887
2016-04-25,11.445634841918945
2016-04-26,11.400108337402344
2016-04-27,11.550349235534668
2016-04-28,11.796196937561035
2016-04-29,11.313604354858398
2016-05-02,11.604981422424316
2016-05-03,11.063201904296875
2016-05-04,10.858328819274902
2016-05-05,10.949382781982422
2016-05-06,10.917513847351074
2016-05-09,11.00856876373291
2016-05-10,11.031333923339844
2016-05-11,10.949382781982422
2016-05-12,10.881092071533203
2016-05-13,10.963041305541992
2016-05-17,10.922067642211914
