Date,HDFCBANK.NS
2015-08-03,506.02313232421875
2015-08-04,501.8887023925781
2015-08-05,504.544921875
2015-08-06,506.2772216796875
2015-08-07,504.7528076171875
2015-08-10,505.6767272949219
2015-08-11,505.6996765136719
2015-08-12,494.4974670410156
2015-08-13,497.7773132324219
2015-08-14,508.9796447753906
2015-08-17,504.2215270996094
2015-08-18,501.8426208496094
2015-08-19,499.7637634277344
2015-08-20,496.4607849121094
2015-08-21,490.2706604003906
2015-08-24,470.7530517578125
2015-08-25,470.47589111328125
2015-08-26,468.18927001953125
2015-08-27,472.1620178222656
2015-08-28,474.8644104003906
2015-08-31,474.6334533691406
2015-09-01,461.9990539550781
2015-09-02,459.7124328613281
2015-09-03,466.7109680175781
2015-09-04,460.128173828125
2015-09-07,454.76953125
2015-09-08,463.8238220214844
2015-09-09,469.48272705078125
2015-09-10,467.0343933105469
2015-09-11,466.80340576171875
2015-09-14,471.0533447265625
2015-09-15,468.027587890625
2015-09-16,472.7394714355469
2015-09-18,484.93505859375
2015-09-21,486.413330078125
2015-09-22,476.11175537109375
2015-09-23,484.6809387207031
2015-09-24,485.6972351074219
2015-09-28,483.3875732421875
2015-09-29,491.88751220703125
2015-09-30,493.7352294921875
2015-10-01,493.20404052734375
2015-10-05,507.38592529296875
2015-10-06,501.65771484375
2015-10-07,502.4892272949219
2015-10-08,500.3412170410156
2015-10-09,501.7502136230469
2015-10-12,499.1632080078125
2015-10-13,497.2229919433594
2015-10-14,501.1033935546875
2015-10-15,500.8262634277344
2015-10-16,508.1712951660156
2015-10-19,507.13189697265625
2015-10-20,505.7921447753906
2015-10-21,505.8383483886719
2015-10-23,512.0747680664062
2015-10-26,508.8411560058594
2015-10-27,513.1834716796875
2015-10-28,513.4607543945312
2015-10-29,509.7880554199219
2015-10-30,507.96331787109375
2015-11-02,500.3412170410156
2015-11-03,501.1726989746094
2015-11-04,499.6944274902344
2015-11-05,498.8398132324219
2015-11-06,499.3248291015625
2015-11-09,491.88751220703125
2015-11-10,487.1755676269531
2015-11-13,485.9975280761719
2015-11-16,490.10888671875
2015-11-17,490.03961181640625
2015-11-18,484.40380859375
2015-11-19,493.781494140625
2015-11-20,494.68231201171875
2015-11-23,492.4649658203125
2015-11-24,491.6795654296875
2015-11-26,491.4947204589844
2015-11-27,498.6319885253906
2015-11-30,497.8697204589844
2015-12-01,500.2948913574219
2015-12-02,497.8928527832031
2015-12-03,497.40777587890625
2015-12-04,489.16192626953125
2015-12-07,490.5708312988281
2015-12-08,484.7041015625
2015-12-09,483.87255859375
2015-12-10,489.94720458984375
2015-12-11,483.3644104003906
2015-12-14,487.3834533691406
2015-12-15,489.4158630371094
2015-12-16,493.0423278808594
2015-12-17,499.02459716796875
2015-12-18,495.6753845214844
2015-12-21,496.7842102050781
2015-12-22,492.6496887207031
2015-12-23,496.18365478515625
2015-12-24,496.13739013671875
2015-12-28,497.63873291015625
2015-12-29,497.9620361328125
2015-12-30,496.2760925292969
2015-12-31,499.9022521972656
2016-01-01,502.95123291015625
2016-01-04,494.52056884765625
2016-01-05,490.77874755859375
2016-01-06,492.949951171875
2016-01-07,487.91461181640625
2016-01-08,490.75567626953125
2016-01-11,489.0233459472656
2016-01-12,483.64154052734375
2016-01-13,489.7393493652344
2016-01-14,484.93505859375
2016-01-15,481.42425537109375
2016-01-18,473.89434814453125
2016-01-19,478.4908447265625
2016-01-20,470.4066162109375
2016-01-21,472.57781982421875
2016-01-22,475.9500732421875
2016-01-25,480.9622802734375
2016-01-27,478.4215087890625
2016-01-28,476.5967712402344
2016-01-29,484.9812316894531
2016-02-01,489.5545654296875
2016-02-02,486.8059387207031
2016-02-03,482.2095031738281
2016-02-04,484.6809387207031
2016-02-05,487.47576904296875
2016-02-08,478.5138854980469
2016-02-09,473.9867858886719
2016-02-10,467.9351501464844
2016-02-11,450.5426025390625
2016-02-12,448.7410583496094
2016-02-15,449.75732421875
2016-02-16,449.6880187988281
2016-02-17,450.35791015625
2016-02-18,457.0793151855469
2016-02-19,457.0099792480469
2016-02-22,456.75592041015625
2016-02-23,448.1174011230469
2016-02-24,438.67047119140625
2016-02-25,435.4598693847656
2016-02-26,443.93670654296875
2016-02-29,448.94891357421875
2016-03-01,454.6309509277344
2016-03-02,465.2789001464844
2016-03-03,469.27484130859375
2016-03-04,471.4460144042969
2016-03-08,468.48956298828125
2016-03-09,473.4093017578125
2016-03-10,471.7693176269531
2016-03-11,475.2109069824219
2016-03-14,474.6797180175781
2016-03-15,474.28704833984375
2016-03-16,476.01934814453125
2016-03-17,470.4527893066406
2016-03-18,475.0723876953125
2016-03-21,483.0179443359375
2016-03-22,486.82904052734375
2016-03-23,484.75030517578125
2016-03-28,483.8956298828125
2016-03-29,486.8059387207031
