Date,SO
2015-08-03,29.317880630493164
2015-08-04,28.96575355529785
2015-08-05,29.08965492248535
2015-08-06,29.383094787597656
2015-08-07,29.689573287963867
2015-08-10,29.643932342529297
2015-08-11,29.937362670898438
2015-08-12,30.367746353149414
2015-08-13,30.45549774169922
2015-08-14,30.567663192749023
2015-08-17,30.547870635986328
2015-08-18,30.3961181640625
2015-08-19,30.554468154907227
2015-08-20,30.58745574951172
2015-08-21,30.217975616455078
2015-08-24,28.753265380859375
2015-08-25,28.040708541870117
2015-08-26,28.77305793762207
2015-08-27,28.970991134643555
2015-08-28,28.85881805419922
2015-08-31,28.64109230041504
2015-09-01,27.98131561279297
2015-09-02,28.053897857666016
2015-09-03,28.093486785888672
2015-09-04,27.697603225708008
2015-09-08,28.172651290893555
2015-09-09,28.014301300048828
2015-09-10,27.90875244140625
2015-09-11,28.179250717163086
2015-09-14,28.126462936401367
2015-09-15,28.126462936401367
2015-09-16,28.31121063232422
2015-09-17,28.687278747558594
2015-09-18,28.654294967651367
2015-09-21,28.878618240356445
2015-09-22,28.3771915435791
2015-09-23,28.337594985961914
2015-09-24,28.687278747558594
2015-09-25,29.116140365600586
2015-09-28,29.089746475219727
2015-09-29,29.221704483032227
2015-09-30,29.492225646972656
2015-10-01,29.155733108520508
2015-10-02,29.48562240600586
2015-10-05,29.822101593017578
2015-10-06,29.55159568786621
2015-10-07,29.53180503845215
2015-10-08,29.789119720458984
2015-10-09,29.663753509521484
2015-10-12,30.092615127563477
2015-10-13,30.06622886657715
2015-10-14,30.033239364624023
2015-10-15,30.231168746948242
2015-10-16,30.495086669921875
2015-10-19,30.323543548583984
2015-10-20,30.330127716064453
2015-10-21,30.40271759033203
2015-10-22,30.67982292175293
2015-10-23,30.224567413330078
2015-10-26,30.11241912841797
2015-10-27,30.125606536865234
2015-10-28,29.90789222717285
2015-10-29,29.657163619995117
2015-10-30,29.756128311157227
2015-11-02,29.84189796447754
2015-11-03,29.980451583862305
2015-11-04,30.217975616455078
2015-11-05,30.105819702148438
2015-11-06,28.759857177734375
2015-11-09,29.043560028076172
2015-11-10,29.320667266845703
2015-11-11,29.709945678710938
2015-11-12,29.311248779296875
2015-11-13,29.351314544677734
2015-11-16,29.878902435302734
2015-11-17,29.45147705078125
2015-11-18,29.685224533081055
2015-11-19,30.172746658325195
2015-11-20,30.21282386779785
2015-11-23,29.999113082885742
2015-11-24,29.925655364990234
2015-11-25,29.77204704284668
2015-11-27,29.77204704284668
2015-11-30,29.745336532592773
2015-12-01,30.172746658325195
2015-12-02,29.52495765686035
2015-12-03,29.504913330078125
2015-12-04,29.93901252746582
2015-12-07,30.23952865600586
2015-12-08,30.252883911132812
2015-12-09,30.146038055419922
2015-12-10,29.711946487426758
2015-12-11,29.651844024658203
2015-12-14,30.01915168762207
2015-12-15,30.326356887817383
2015-12-16,30.940763473510742
2015-12-17,31.060962677001953
2015-12-18,30.853944778442383
2015-12-21,30.873979568481445
2015-12-22,31.02090072631836
2015-12-23,31.45500373840332
2015-12-24,31.45500373840332
2015-12-28,31.461666107177734
2015-12-29,31.561840057373047
2015-12-30,31.568523406982422
2015-12-31,31.247966766357422
2016-01-04,31.408245086669922
2016-01-05,31.628623962402344
2016-01-06,31.63530921936035
2016-01-07,31.368179321289062
2016-01-08,31.134435653686523
2016-01-11,31.281347274780273
2016-01-12,31.02090072631836
2016-01-13,31.25465202331543
2016-01-14,31.481719970703125
2016-01-15,31.501745223999023
2016-01-19,32.015968322753906
