Date,JMAT.L
2015-08-24,2693.552490234375
2015-08-25,2829.707763671875
2015-08-26,2715.7177734375
2015-08-27,2823.375732421875
2015-08-28,2855.038330078125
2015-09-01,2783.267333984375
2015-09-02,2790.655029296875
2015-09-03,2830.763671875
2015-09-04,2741.048583984375
2015-09-07,2777.989990234375
2015-09-08,2845.5400390625
2015-09-09,2848.7060546875
2015-09-10,2823.375732421875
2015-09-11,2779.045166015625
2015-09-14,2748.437255859375
2015-09-15,2763.213623046875
2015-09-16,2775.878662109375
2015-09-17,2729.438232421875
2015-09-18,2687.2197265625
2015-09-21,2661.887939453125
2015-09-22,2446.572509765625
2015-09-23,2509.9013671875
2015-09-24,2531.0107421875
2015-09-25,2653.44482421875
2015-09-28,2548.953369140625
2015-09-29,2543.676513671875
2015-09-30,2583.7841796875
2015-10-01,2604.892822265625
2015-10-02,2597.50537109375
2015-10-05,2649.222900390625
2015-10-06,2675.609375
2015-10-07,2710.43994140625
2015-10-08,2744.215087890625
2015-10-09,2791.711669921875
2015-10-12,2737.88232421875
2015-10-13,2663.99951171875
2015-10-14,2614.39208984375
2015-10-15,2633.39111328125
2015-10-16,2624.947509765625
2015-10-19,2579.5615234375
2015-10-20,2588.006103515625
2015-10-21,2610.170166015625
2015-10-22,2628.11279296875
2015-10-23,2729.438232421875
2015-10-26,2711.49560546875
2015-10-27,2667.165283203125
2015-10-28,2718.88427734375
2015-10-29,2714.662109375
2015-10-30,2728.383056640625
2015-11-02,2748.437255859375
2015-11-03,2770.601806640625
2015-11-04,2776.934326171875
2015-11-05,2745.270751953125
2015-11-06,2762.15771484375
2015-11-09,2720.993896484375
2015-11-10,2699.88525390625
2015-11-11,2694.60791015625
2015-11-12,2585.89501953125
2015-11-13,2537.343505859375
2015-11-16,2518.344970703125
2015-11-17,2550.0087890625
2015-11-18,2593.28271484375
2015-11-19,2843.42822265625
2015-11-20,2855.038330078125
2015-11-23,2906.7568359375
2015-11-24,2933.142578125
2015-11-25,2997.52734375
2015-11-26,3040.8017578125
2015-11-27,2954.2529296875
2015-11-30,2986.972412109375
2015-12-01,2966.918212890625
2015-12-02,2998.582763671875
2015-12-03,2858.204833984375
2015-12-04,2856.094970703125
2015-12-07,2848.7060546875
2015-12-08,2800.154541015625
2015-12-09,2809.65380859375
2015-12-10,2752.658935546875
2015-12-11,2681.942138671875
2015-12-14,2660.832763671875
2015-12-15,2738.937744140625
2015-12-16,2766.379638671875
2015-12-17,2761.102783203125
2015-12-18,2764.26904296875
2015-12-21,2746.32568359375
2015-12-22,2775.878662109375
2015-12-23,2884.591796875
2015-12-24,2852.92822265625
2015-12-29,2882.48095703125
2015-12-30,2843.42822265625
2015-12-31,2804.37646484375
2016-01-04,2744.215087890625
2016-01-05,2807.543212890625
2016-01-06,2768.4912109375
2016-01-07,2684.25341796875
2016-01-08,2670.53076171875
2016-01-11,2670.53076171875
2016-01-12,2670.53076171875
2016-01-13,2565.033935546875
2016-01-14,2486.27783203125
2016-01-15,2406.52587890625
2016-01-18,2386.587646484375
2016-01-19,2437.43017578125
2016-01-20,2354.6865234375
2016-01-21,2391.572021484375
2016-01-22,2439.423828125
2016-01-25,2431.447998046875
2016-01-26,2449.39306640625
2016-01-27,2453.380859375
2016-01-28,2390.575439453125
2016-01-29,2457.367919921875
2016-02-01,2455.37353515625
2016-02-02,2420.482666015625
2016-02-03,2399.54736328125
2016-02-04,2335.745361328125
2016-02-05,2324.7802734375
