Date,LLOY.L
2015-08-24,73.15965270996094
2015-08-25,76.36649322509766
2015-08-26,75.7689437866211
2015-08-27,77.36238861083984
2015-08-28,77.06361389160156
2015-09-01,75.25104522705078
2015-09-02,75.54983520507812
2015-09-03,76.60550689697266
2015-09-04,75.21121978759766
2015-09-07,75.36061096191406
2015-09-08,75.56975555419922
2015-09-09,76.68517303466797
2015-09-10,76.00794982910156
2015-09-11,75.47015380859375
2015-09-14,74.1854476928711
2015-09-15,75.27098083496094
2015-09-16,75.19131469726562
2015-09-17,73.99623107910156
2015-09-18,72.41271209716797
2015-09-21,73.92649841308594
2015-09-22,72.00440216064453
2015-09-23,72.65174102783203
2015-09-24,73.53809356689453
2015-09-25,75.20126342773438
2015-09-28,73.78706359863281
2015-09-29,73.06005859375
2015-09-30,74.85269927978516
2015-10-01,74.91246032714844
2015-10-02,76.23702239990234
2015-10-05,76.95406341552734
2015-10-06,76.59555053710938
2015-10-07,76.36649322509766
2015-10-08,75.96813201904297
2015-10-09,76.89432525634766
2015-10-12,75.58968353271484
2015-10-13,74.44438171386719
2015-10-14,73.57791900634766
2015-10-15,74.32488250732422
2015-10-16,74.89252471923828
2015-10-19,75.16143035888672
2015-10-20,75.27098083496094
2015-10-21,75.99798583984375
2015-10-22,76.4162826538086
2015-10-23,77.51178741455078
2015-10-26,77.18313598632812
2015-10-27,77.08354187011719
2015-10-28,73.69744873046875
2015-10-29,73.91655731201172
2015-10-30,73.42853546142578
2015-11-02,74.69335174560547
2015-11-03,74.16552734375
2015-11-04,73.54804992675781
2015-11-05,72.60194396972656
2015-11-06,73.4384994506836
2015-11-09,72.70152282714844
2015-11-10,72.6617202758789
2015-11-11,73.14968872070312
2015-11-12,72.243408203125
2015-11-13,72.4426040649414
2015-11-16,72.38284301757812
2015-11-17,73.53809356689453
2015-11-18,73.69744873046875
2015-11-19,73.03018188476562
2015-11-20,71.48651123046875
2015-11-23,71.48651123046875
2015-11-24,71.30726623535156
2015-11-25,71.87492370605469
2015-11-26,72.83100128173828
2015-11-27,73.09989929199219
2015-11-30,72.6617202758789
2015-12-01,74.404541015625
2015-12-02,74.1456069946289
2015-12-03,72.70152282714844
2015-12-04,72.71150207519531
2015-12-07,72.18367767333984
2015-12-08,71.01844024658203
2015-12-09,70.38105773925781
2015-12-10,71.7454605102539
2015-12-11,69.7237777709961
2015-12-14,68.39920043945312
2015-12-15,70.05240631103516
2015-12-16,70.24162292480469
2015-12-17,71.03836822509766
2015-12-18,70.74954986572266
2015-12-21,70.65991973876953
2015-12-22,71.01844024658203
2015-12-23,73.34888458251953
2015-12-24,73.1994857788086
2015-12-29,73.69744873046875
2015-12-30,73.29908752441406
2015-12-31,72.77124786376953
2016-01-04,71.07820129394531
2016-01-05,71.27735900878906
2016-01-06,70.70973205566406
2016-01-07,69.20588684082031
2016-01-08,68.58840942382812
2016-01-11,68.64818572998047
2016-01-12,69.01665496826172
2016-01-13,67.52279663085938
2016-01-14,66.25798797607422
2016-01-15,64.44542694091797
2016-01-18,63.69849395751953
2016-01-19,65.51105499267578
2016-01-20,63.788124084472656
2016-01-21,64.4354476928711
2016-01-22,66.58663177490234
2016-01-25,62.881839752197266
2016-01-26,64.46537017822266
2016-01-27,64.65454864501953
2016-01-28,63.808048248291016
2016-01-29,65.19236755371094
2016-02-01,63.92755889892578
2016-02-02,61.686744689941406
2016-02-03,60.44185256958008
2016-02-04,62.513362884521484
2016-02-05,61.547332763671875
2016-02-08,59.11730194091797
2016-02-09,57.892330169677734
2016-02-10,58.161224365234375
2016-02-11,55.77104187011719
2016-02-12,58.24089813232422
2016-02-15,59.5953483581543
2016-02-16,60.30243682861328
2016-02-17,62.53327178955078
2016-02-18,62.1847038269043
2016-02-19,61.547332763671875
2016-02-22,62.86192321777344
2016-02-23,62.672706604003906
2016-02-24,61.945682525634766
2016-02-25,70.35118103027344
2016-02-26,71.83509826660156
2016-02-29,72.10398864746094
2016-03-01,72.77124786376953
2016-03-02,72.97042846679688
2016-03-03,72.28326416015625
2016-03-04,72.94053649902344
2016-03-07,72.45256805419922
2016-03-08,70.34122467041016
2016-03-09,69.48475646972656
2016-03-10,68.6680908203125
2016-03-11,69.86318969726562
2016-03-14,70.02253723144531
2016-03-15,68.9270248413086
2016-03-16,68.50875091552734
2016-03-17,69.01665496826172
2016-03-18,69.61421203613281
2016-03-21,69.5046615600586
2016-03-22,69.07643127441406
2016-03-23,68.61829376220703
2016-03-24,67.77177429199219
2016-03-29,67.72196197509766
2016-03-30,67.52279663085938
2016-03-31,67.7419204711914
2016-04-01,67.67219543457031
2016-04-04,68.04067993164062
2016-04-05,66.66630554199219
2016-04-06,67.8016586303711
2016-04-07,64.56919860839844
2016-04-08,65.64502716064453
2016-04-11,65.2664794921875
2016-04-12,66.3821792602539
2016-04-13,68.73304748535156
2016-04-14,68.53379821777344
2016-04-15,67.93611145019531
2016-04-18,68.1851577758789
2016-04-19,67.58748626708984
2016-04-20,67.49784851074219
2016-04-21,68.4342041015625
2016-04-22,67.73690032958984
2016-04-25,67.32849884033203
2016-04-26,69.72916412353516
2016-04-27,68.98206329345703
2016-04-28,67.84648132324219
2016-04-29,66.81049346923828
2016-05-03,65.33622741699219
2016-05-04,64.539306640625
2016-05-05,63.83207702636719
2016-05-06,64.75847625732422
2016-05-09,64.12095642089844
2016-05-10,65.16688537597656
2016-05-11,65.43584442138672
2016-05-12,64.65885162353516
2016-05-13,66.14309692382812
2016-05-16,66.41204833984375
2016-05-17,67.01969909667969
2016-05-18,69.23108673095703
