Date,LII
2015-08-03,105.04032135009766
2015-08-04,105.31559753417969
2015-08-05,105.04917907714844
2015-08-06,105.19123840332031
2015-08-07,105.6174545288086
2015-08-10,107.42880249023438
2015-08-11,107.81948852539062
2015-08-12,108.73404693603516
2015-08-13,109.20463562011719
2015-08-14,111.03376770019531
2015-08-17,111.55760192871094
2015-08-18,112.52545166015625
2015-08-19,111.84171295166016
2015-08-20,108.94712829589844
2015-08-21,106.5497817993164
2015-08-24,103.1579360961914
2015-08-25,101.79942321777344
2015-08-26,103.8238754272461
2015-08-27,105.35105895996094
2015-08-28,106.2656478881836
2015-08-31,104.8094711303711
2015-09-01,103.1401596069336
2015-09-02,105.64410400390625
2015-09-03,106.02591705322266
2015-09-04,104.2323226928711
2015-09-08,107.16246032714844
2015-09-09,106.30117797851562
2015-09-10,105.69740295410156
2015-09-11,108.66299438476562
2015-09-14,109.06258392333984
2015-09-15,109.38220977783203
2015-09-16,110.17247009277344
2015-09-17,109.85282135009766
2015-09-18,108.29898834228516
2015-09-21,109.29342651367188
2015-09-22,107.84613037109375
2015-09-23,105.74176788330078
2015-09-24,104.24120330810547
2015-09-25,104.99592590332031
2015-09-28,102.2611312866211
2015-09-29,99.8829574584961
2015-09-30,100.94290924072266
2015-10-01,101.27247619628906
2015-10-02,100.96072387695312
2015-10-05,102.875732421875
2015-10-06,101.37042999267578
2015-10-07,102.98262023925781
2015-10-08,104.99559783935547
2015-10-09,104.80852508544922
2015-10-12,106.04661560058594
2015-10-13,105.61016845703125
2015-10-14,104.167236328125
2015-10-15,104.9421615600586
2015-10-16,104.88871002197266
2015-10-19,111.0790786743164
2015-10-20,110.58025360107422
2015-10-21,111.38190460205078
2015-10-22,113.81352233886719
2015-10-23,113.9292984008789
2015-10-26,115.28313446044922
2015-10-27,113.19001007080078
2015-10-28,116.82408142089844
2015-10-29,116.12042999267578
2015-10-30,118.29370880126953
2015-11-02,119.7188720703125
2015-11-03,119.95928955078125
2015-11-04,120.57390594482422
2015-11-05,121.39331817626953
2015-11-06,120.62736511230469
2015-11-09,118.88157653808594
2015-11-10,120.18199157714844
2015-11-11,120.45809173583984
2015-11-12,119.01517486572266
2015-11-13,118.75688171386719
2015-11-16,120.34232330322266
2015-11-17,119.50506591796875
2015-11-18,121.79420471191406
2015-11-19,121.58039093017578
2015-11-20,121.41120910644531
2015-11-23,121.74967193603516
2015-11-24,121.6783676147461
2015-11-25,121.90995788574219
2015-11-27,122.58689880371094
2015-11-30,121.06378173828125
2015-12-01,122.7293701171875
2015-12-02,120.64514923095703
2015-12-03,118.90829467773438
2015-12-04,121.42900085449219
2015-12-07,122.43547058105469
2015-12-08,120.76981353759766
2015-12-09,119.21115112304688
2015-12-10,118.46294403076172
2015-12-11,115.933349609375
2015-12-14,115.52364349365234
2015-12-15,115.09608459472656
2015-12-16,116.17388153076172
2015-12-17,112.5309066772461
2015-12-18,110.63371276855469
2015-12-21,110.22398376464844
2015-12-22,111.63130187988281
2015-12-23,111.45314025878906
2015-12-24,112.5932388305664
2015-12-28,113.19001007080078
2015-12-29,114.22615814208984
2015-12-30,113.04711151123047
2015-12-31,111.5643539428711
2016-01-04,110.97477722167969
2016-01-05,109.94757843017578
2016-01-06,107.88423919677734
2016-01-07,106.23175811767578
2016-01-08,104.90977478027344
2016-01-11,104.27556610107422
2016-01-12,105.7493896484375
2016-01-13,103.31983184814453
2016-01-14,104.86515045166016
2016-01-15,103.40918731689453
2016-01-19,104.07015228271484
2016-01-20,102.83747863769531
2016-01-21,102.17652893066406
2016-01-22,106.04417419433594
2016-01-25,103.64140319824219
2016-01-26,107.5805435180664
2016-01-27,104.74900817871094
2016-01-28,103.36449432373047
2016-01-29,107.02674865722656
2016-02-01,106.05313873291016
2016-02-02,104.28453826904297
2016-02-03,104.9008560180664
2016-02-04,105.57970428466797
2016-02-05,102.12290954589844
2016-02-08,102.24797058105469
2016-02-09,101.80134582519531
2016-02-10,103.427001953125
2016-02-11,104.9008560180664
2016-02-12,106.74092102050781
2016-02-16,106.96419525146484
2016-02-17,109.86720275878906
2016-02-18,108.31300354003906
2016-02-19,108.33978271484375
2016-02-22,108.47377014160156
2016-02-23,110.24236297607422
2016-02-24,113.07388305664062
2016-02-25,114.93184661865234
