Date,YPFD.BA
2015-08-24,267.58837890625
2015-08-25,256.92364501953125
2015-08-26,265.16461181640625
2015-08-27,279.2226867675781
2015-08-28,279.2226867675781
2015-08-31,288.91790771484375
2015-09-01,284.0703125
2015-09-02,287.9483947753906
2015-09-03,291.8265075683594
2015-09-04,295.7045593261719
2015-09-07,293.2807922363281
2015-09-08,298.6131591796875
2015-09-09,298.6131591796875
2015-09-10,300.309814453125
2015-09-11,297.64361572265625
2015-09-14,284.0703125
2015-09-15,276.3141174316406
2015-09-16,277.2836608886719
2015-09-17,281.1617126464844
2015-09-18,268.07318115234375
2015-09-21,250.13699340820312
2015-09-22,233.65509033203125
2015-09-23,224.44464111328125
2015-09-24,212.32557678222656
2015-09-25,220.08175659179688
2015-09-28,202.63035583496094
2015-09-29,205.0541534423828
2015-09-30,207.4779510498047
2015-10-01,200.69131469726562
2015-10-02,212.81036376953125
2015-10-05,226.3836669921875
2015-10-06,238.502685546875
2015-10-07,255.85716247558594
2015-10-08,262.7407531738281
2015-10-09,255.95413208007812
2015-10-13,236.56365966796875
2015-10-14,237.53318786621094
2015-10-15,238.502685546875
2015-10-16,240.4417724609375
2015-10-19,234.5276641845703
2015-10-20,234.62461853027344
2015-10-21,229.77699279785156
2015-10-22,242.38079833984375
2015-10-23,249.0705108642578
2015-10-26,262.7407531738281
2015-10-27,251.1064910888672
2015-10-28,268.55792236328125
2015-10-29,272.2906188964844
2015-10-30,281.1617126464844
2015-11-02,285.0398254394531
2015-11-03,288.91790771484375
2015-11-04,290.85693359375
2015-11-05,289.8874816894531
2015-11-09,285.0398254394531
2015-11-10,289.8874816894531
2015-11-11,286.9788818359375
2015-11-12,281.1617126464844
2015-11-13,283.5855407714844
2015-11-16,295.7045593261719
2015-11-17,288.91790771484375
2015-11-18,286.9788818359375
2015-11-19,292.7959899902344
2015-11-20,290.85693359375
2015-11-24,269.5274353027344
2015-11-25,260.8017578125
2015-11-26,271.4665222167969
2015-11-27,271.4665222167969
2015-11-30,258.8627014160156
2015-12-01,253.5303497314453
2015-12-02,253.04556274414062
2015-12-03,250.13699340820312
2015-12-04,256.92364501953125
2015-12-09,248.19793701171875
2015-12-10,245.2893829345703
2015-12-11,237.53318786621094
2015-12-14,227.8379669189453
2015-12-15,229.77699279785156
2015-12-16,225.89891052246094
2015-12-17,223.95985412597656
2015-12-18,211.35606384277344
2015-12-21,213.05271911621094
2015-12-22,213.2951202392578
2015-12-23,224.44464111328125
2015-12-28,222.99034118652344
2015-12-29,219.11224365234375
2015-12-30,213.2466278076172
2016-01-04,213.2951202392578
2016-01-05,212.277099609375
2016-01-06,208.4959716796875
2016-01-07,211.35606384277344
2016-01-08,206.50845336914062
2016-01-11,194.87416076660156
2016-01-12,190.51132202148438
2016-01-13,181.30084228515625
