Date,NG.L
2015-08-24,888.342529296875
2015-08-25,916.8798217773438
2015-08-26,896.0464477539062
2015-08-27,924.0411987304688
2015-08-28,933.26416015625
2015-09-01,921.654052734375
2015-09-02,921.4371948242188
2015-09-03,931.63671875
2015-09-04,915.794677734375
2015-09-07,923.1731567382812
2015-09-08,932.0706787109375
2015-09-09,937.0618896484375
2015-09-10,934.6749267578125
2015-09-11,922.630615234375
2015-09-14,917.205322265625
2015-09-15,917.3139038085938
2015-09-16,924.692138671875
2015-09-17,922.9561767578125
2015-09-18,923.6070556640625
2015-09-21,927.8389892578125
2015-09-22,924.0411987304688
2015-09-23,935.3258056640625
2015-09-24,943.030029296875
2015-09-25,966.6842041015625
2015-09-28,974.3882446289062
2015-09-29,977.5347290039062
2015-09-30,997.0660400390625
2015-10-01,997.82568359375
2015-10-02,1011.280517578125
2015-10-05,1013.8845825195312
2015-10-06,1015.403564453125
2015-10-07,1005.8551635742188
2015-10-08,1014.2100219726562
2015-10-09,991.2066040039062
2015-10-12,986.2156982421875
2015-10-13,986.3240356445312
2015-10-14,984.3706665039062
2015-10-15,998.5850830078125
2015-10-16,1007.3742065429688
2015-10-19,1004.4445190429688
2015-10-20,1010.7377319335938
2015-10-21,1006.397705078125
2015-10-22,1008.4592895507812
2015-10-23,1013.4505615234375
2015-10-26,1018.8757934570312
2015-10-27,1012.3656005859375
2015-10-28,1015.1866455078125
2015-10-29,1005.74658203125
2015-10-30,1003.4678955078125
2015-11-02,1001.73193359375
2015-11-03,994.6788940429688
2015-11-04,1001.1893310546875
2015-11-05,1006.1807250976562
2015-11-06,970.264892578125
2015-11-09,972.2179565429688
2015-11-10,986.6494750976562
2015-11-11,983.936767578125
2015-11-12,993.9193725585938
2015-11-13,985.4558715820312
2015-11-16,989.6876831054688
2015-11-17,1004.010498046875
2015-11-18,1001.406494140625
2015-11-19,1019.41845703125
2015-11-20,1030.811767578125
2015-11-23,1021.4801025390625
2015-11-24,1020.503662109375
2015-11-25,1026.3626708984375
2015-11-26,1011.5362548828125
2015-11-27,1012.0790405273438
2015-11-30,1004.6994018554688
2015-12-01,1007.4124145507812
2015-12-02,1004.5909423828125
2015-12-03,983.103515625
2015-12-04,977.8944702148438
2015-12-07,990.7001342773438
2015-12-08,987.552978515625
2015-12-09,991.2427978515625
2015-12-10,988.6382446289062
2015-12-11,981.3671264648438
2015-12-14,970.4063110351562
2015-12-15,986.6846923828125
2015-12-16,993.3046264648438
2015-12-17,1004.8079833984375
2015-12-18,992.3278198242188
2015-12-21,993.7385864257812
2015-12-22,990.2659301757812
2015-12-23,1012.9470825195312
2015-12-24,1014.6834106445312
2015-12-29,1037.4735107421875
2015-12-30,1032.046875
2015-12-31,1017.3966674804688
2016-01-04,1004.8079833984375
2016-01-05,1012.838623046875
2016-01-06,1030.9617919921875
2016-01-07,1030.7447509765625
2016-01-08,1020.2182006835938
2016-01-11,1021.1946411132812
2016-01-12,1029.876953125
2016-01-13,1022.6057739257812
2016-01-14,1017.071044921875
2016-01-15,1014.2493286132812
2016-01-18,1004.91650390625
2016-01-19,1025.4271240234375
2016-01-20,996.017578125
2016-01-21,1004.2653198242188
2016-01-22,1022.171630859375
2016-01-25,1026.9464111328125
2016-01-26,1028.7913818359375
2016-01-27,1048.0
2016-01-28,1042.1397705078125
2016-01-29,1069.8126220703125
2016-02-01,1074.04541015625
2016-02-02,1069.27001953125
2016-02-03,1057.8756103515625
2016-02-04,1059.828857421875
2016-02-05,1040.72900390625
2016-02-08,1030.5277099609375
2016-02-09,1024.1248779296875
2016-02-10,1022.063232421875
2016-02-11,1011.3192749023438
2016-02-12,1017.2880249023438
2016-02-15,1033.7835693359375
2016-02-16,1036.9307861328125
2016-02-17,1036.71337890625
