Date,GJF.OL
2015-08-24,73.74793243408203
2015-08-25,75.37702178955078
2015-08-26,76.00360870361328
2015-08-27,76.75550842285156
2015-08-28,76.19156646728516
2015-08-31,77.0061264038086
2015-09-01,75.50234985351562
2015-09-02,75.37702178955078
2015-09-03,76.63018798828125
2015-09-04,75.0010757446289
2015-09-07,73.9985580444336
2015-09-08,75.31436920166016
2015-09-09,75.9409408569336
2015-09-10,74.18653869628906
2015-09-11,73.62261199951172
2015-09-14,73.2466812133789
2015-09-15,72.80805969238281
2015-09-16,72.68275451660156
2015-09-17,73.62261199951172
2015-09-18,72.49478149414062
2015-09-21,72.68275451660156
2015-09-22,71.86820983886719
2015-09-23,71.7428970336914
2015-09-24,70.74037170410156
2015-09-25,72.24415588378906
2015-09-28,71.1163101196289
2015-09-29,70.17645263671875
2015-09-30,71.8055648803711
2015-10-01,71.55490112304688
2015-10-02,71.3042984008789
2015-10-05,74.06122589111328
2015-10-06,74.06122589111328
2015-10-07,73.93590545654297
2015-10-08,73.37198638916016
2015-10-09,73.18401336669922
2015-10-12,71.7428970336914
2015-10-13,71.24163055419922
2015-10-14,70.36442565917969
2015-10-15,71.05365753173828
2015-10-16,71.42961120605469
2015-10-19,72.18150329589844
2015-10-20,71.93085479736328
2015-10-21,71.42961120605469
2015-10-22,71.42961120605469
2015-10-23,80.20166015625
2015-10-26,80.57759857177734
2015-10-27,80.38964080810547
2015-10-28,81.26683807373047
2015-10-29,82.51998138427734
2015-10-30,80.95355224609375
2015-11-02,81.9560775756836
2015-11-03,82.70796203613281
2015-11-04,83.64781951904297
2015-11-05,83.33453369140625
2015-11-06,83.45985412597656
2015-11-09,82.39466857910156
2015-11-10,82.08138275146484
2015-11-11,83.33453369140625
2015-11-12,82.70796203613281
2015-11-13,83.33453369140625
2015-11-16,83.64781951904297
2015-11-17,84.21174621582031
2015-11-18,85.27693939208984
2015-11-19,85.96614837646484
2015-11-20,86.6553955078125
2015-11-23,86.6553955078125
2015-11-24,86.21678161621094
2015-11-25,88.09651184082031
2015-11-26,87.97119140625
2015-11-27,87.78323364257812
