Date,SCMN.SW
2015-08-24,323.2275695800781
2015-08-25,337.0606689453125
2015-08-26,332.8392028808594
2015-08-27,339.00897216796875
2015-08-28,337.0606689453125
2015-08-31,339.3337097167969
2015-09-01,331.2156677246094
2015-09-02,329.9167785644531
2015-09-03,334.78753662109375
2015-09-04,332.8392028808594
2015-09-07,335.1123352050781
2015-09-08,336.4112243652344
2015-09-09,338.3594970703125
2015-09-10,331.2156677246094
2015-09-11,326.6695861816406
2015-09-14,322.9028015136719
2015-09-15,319.52569580078125
2015-09-16,320.8245849609375
2015-09-17,316.14862060546875
2015-09-18,316.5382385253906
2015-09-21,316.2784729003906
2015-09-22,309.5242919921875
2015-09-23,311.0829162597656
2015-09-24,308.35528564453125
2015-09-25,316.14862060546875
2015-09-28,312.77154541015625
2015-09-29,311.0829162597656
2015-09-30,315.7589416503906
2015-10-01,312.18701171875
2015-10-02,311.7323913574219
2015-10-05,321.4740295410156
2015-10-06,324.2016906738281
2015-10-07,315.95379638671875
2015-10-08,318.8762512207031
2015-10-09,320.5647888183594
2015-10-12,319.9153747558594
2015-10-13,316.73309326171875
2015-10-14,312.3818359375
2015-10-15,313.29107666015625
2015-10-16,317.0578308105469
2015-10-19,316.5382385253906
2015-10-20,318.6164855957031
2015-10-21,318.55157470703125
2015-10-22,327.3190002441406
2015-10-23,332.51458740234375
2015-10-26,333.16400146484375
2015-10-27,330.2414855957031
2015-10-28,331.8651123046875
2015-10-29,332.8392028808594
2015-10-30,331.2156677246094
2015-11-02,333.16400146484375
2015-11-03,331.8651123046875
2015-11-04,333.48870849609375
2015-11-05,333.81341552734375
2015-11-06,331.5404052734375
2015-11-09,329.2673645019531
2015-11-10,331.8651123046875
2015-11-11,333.81341552734375
2015-11-12,332.1898498535156
2015-11-13,329.5920715332031
2015-11-16,329.5920715332031
2015-11-17,338.3594970703125
2015-11-18,338.3594970703125
2015-11-19,339.9831237792969
2015-11-20,339.3337097167969
2015-11-23,332.51458740234375
2015-11-24,328.6178894042969
2015-11-25,328.6178894042969
2015-11-26,331.5404052734375
2015-11-27,333.16400146484375
2015-11-30,329.2673645019531
2015-12-01,328.9425964355469
2015-12-02,329.2673645019531
2015-12-03,324.5263977050781
2015-12-04,322.31829833984375
2015-12-07,324.2666015625
2015-12-08,320.4998474121094
2015-12-09,317.1877136230469
2015-12-10,313.8106384277344
2015-12-11,309.26458740234375
2015-12-14,306.0173034667969
2015-12-15,316.60321044921875
2015-12-16,317.2526550292969
2015-12-17,321.3441467285156
2015-12-18,319.6556091308594
2015-12-21,315.6290283203125
2015-12-22,315.6940002441406
2015-12-23,322.9677429199219
2015-12-28,324.7212219238281
2015-12-29,329.5920715332031
2015-12-30,326.6695861816406
2016-01-04,321.7337951660156
2016-01-05,322.25335693359375
2016-01-06,322.6430358886719
2016-01-07,320.3050537109375
2016-01-08,317.1227722167969
2016-01-11,317.2526550292969
2016-01-12,319.6556091308594
2016-01-13,323.2275695800781
2016-01-14,316.79803466796875
2016-01-15,310.56341552734375
2016-01-18,308.4851989746094
2016-01-19,313.1611633300781
2016-01-20,301.1465148925781
2016-01-21,305.56268310546875
2016-01-22,317.577392578125
2016-01-25,317.967041015625
2016-01-26,318.8762512207031
2016-01-27,323.8120422363281
2016-01-28,323.3573913574219
2016-01-29,329.5920715332031
2016-02-01,328.6178894042969
2016-02-02,325.37066650390625
2016-02-03,326.3448791503906
2016-02-04,316.8629455566406
2016-02-05,313.3560485839844
2016-02-08,308.2253723144531
2016-02-09,302.64019775390625
2016-02-10,306.7966003417969
2016-02-11,297.5745544433594
2016-02-12,303.8741149902344
2016-02-15,312.2519226074219
2016-02-16,311.0829162597656
2016-02-17,317.1227722167969
2016-02-18,320.6947021484375
2016-02-19,313.48590087890625
2016-02-22,320.1101989746094
2016-02-23,311.2778015136719
2016-02-24,311.2778015136719
2016-02-25,316.73309326171875
