Date,JBCHEPHARM.NS
2015-08-21,124.25183868408203
2015-08-24,108.66985321044922
2015-08-25,118.66120910644531
2015-08-26,120.03079223632812
2015-08-27,122.0066146850586
2015-08-28,119.2449722290039
2015-08-31,121.33304595947266
2015-09-01,118.95306396484375
2015-09-02,117.1568832397461
2015-09-03,128.42800903320312
2015-09-04,123.66808319091797
2015-09-07,117.78555297851562
2015-09-08,116.70782470703125
2015-09-09,119.04289245605469
2015-09-10,121.37791442871094
2015-09-11,121.60247039794922
2015-09-14,120.52474975585938
2015-09-15,119.42459869384766
2015-09-16,119.04289245605469
2015-09-18,119.35722351074219
2015-09-21,118.79588317871094
2015-09-22,117.92028045654297
2015-09-23,119.58173370361328
2015-09-24,119.91851043701172
2015-09-28,118.50404357910156
2015-09-29,119.85118865966797
2015-09-30,124.5886459350586
2015-10-01,125.75615692138672
2015-10-05,128.63009643554688
2015-10-06,129.4832763671875
2015-10-07,129.2812042236328
2015-10-08,129.88743591308594
2015-10-09,129.70779418945312
2015-10-12,127.10331726074219
2015-10-13,128.6076202392578
2015-10-14,127.68707275390625
2015-10-15,135.4780731201172
2015-10-16,135.3209228515625
2015-10-19,133.5920867919922
2015-10-20,137.9254150390625
2015-10-21,134.8943328857422
2015-10-23,133.614501953125
2015-10-26,133.5920867919922
2015-10-27,134.4228057861328
2015-10-28,131.054931640625
2015-10-29,130.04461669921875
2015-10-30,128.09120178222656
2015-11-02,126.2950210571289
2015-11-03,130.13441467285156
2015-11-04,126.78898620605469
2015-11-05,121.71472930908203
2015-11-06,122.32091522216797
2015-11-09,122.07395935058594
2015-11-10,121.22076416015625
2015-11-13,120.14305114746094
2015-11-16,123.28640747070312
2015-11-17,122.34339904785156
2015-11-18,119.91851043701172
2015-11-19,124.85804748535156
2015-11-20,123.15168762207031
2015-11-23,122.7924575805664
2015-11-24,123.03941345214844
2015-11-26,126.76654052734375
2015-11-27,129.2812042236328
2015-11-30,124.99279022216797
2015-12-01,124.81314849853516
2015-12-02,123.37621307373047
2015-12-03,122.88224029541016
2015-12-04,121.78209686279297
2015-12-07,121.60247039794922
2015-12-08,120.52474975585938
2015-12-09,115.49542236328125
2015-12-10,116.32614135742188
2015-12-11,115.0014419555664
2015-12-14,121.96170043945312
2015-12-15,121.04115295410156
2015-12-16,119.87362670898438
2015-12-17,121.28816223144531
2015-12-18,125.12752532958984
2015-12-21,123.55585479736328
2015-12-22,123.87017059326172
2015-12-23,124.61109924316406
2015-12-24,124.81314849853516
2015-12-28,124.00486755371094
2015-12-29,125.28466796875
2015-12-30,125.28466796875
2015-12-31,125.12752532958984
2016-01-01,125.3520278930664
2016-01-04,126.16029357910156
2016-01-05,125.12752532958984
2016-01-06,124.9029769897461
2016-01-07,121.93927001953125
2016-01-08,122.43321228027344
2016-01-11,124.3192138671875
2016-01-12,123.10678100585938
2016-01-13,117.17933654785156
2016-01-14,118.93063354492188
2016-01-15,113.07054138183594
2016-01-18,108.51268768310547
2016-01-19,111.4539566040039
2016-01-20,106.40214538574219
2016-01-21,106.8961181640625
2016-01-22,109.05155944824219
2016-01-25,115.71991729736328
2016-01-27,115.85465240478516
2016-01-28,114.66466522216797
2016-01-29,119.40213012695312
2016-02-01,117.96516418457031
2016-02-02,115.18106079101562
2016-02-03,120.4349594116211
2016-02-04,120.77171325683594
2016-02-05,115.38314056396484
2016-02-08,115.40557861328125
2016-02-09,114.48504638671875
2016-02-10,110.53340911865234
2016-02-11,106.96347045898438
2016-02-12,108.1085433959961
2016-02-15,110.96002197265625
2016-02-16,111.81319427490234
2016-02-17,112.37451934814453
2016-02-18,112.57658386230469
2016-02-19,111.88055419921875
2016-02-22,112.89090728759766
2016-02-23,112.30715942382812
2016-02-24,112.23977661132812
2016-02-25,111.16210174560547
2016-02-26,110.71304321289062
2016-02-29,108.73721313476562
2016-03-01,116.59557342529297
2016-03-02,119.44702911376953
2016-03-03,118.5489501953125
2016-03-04,119.2225112915039
2016-03-08,118.34685516357422
2016-03-09,123.71298217773438
2016-03-10,123.33129119873047
2016-03-11,117.1568832397461
2016-03-14,116.55065155029297
2016-03-15,116.2138671875
2016-03-16,116.46086120605469
2016-03-17,116.07241821289062
2016-03-18,113.60474395751953
2016-03-21,114.45015716552734
2016-03-22,115.29556274414062
2016-03-23,115.29556274414062
2016-03-28,113.81039428710938
2016-03-29,113.81039428710938
2016-03-30,115.4098129272461
2016-03-31,113.9931640625
2016-04-01,114.49586486816406
2016-04-04,116.39230346679688
2016-04-05,112.34805297851562
2016-04-06,113.28484344482422
2016-04-07,113.42195892333984
2016-04-08,113.44480895996094
2016-04-11,111.52548217773438
2016-04-12,113.94747924804688
2016-04-13,113.94747924804688
2016-04-18,114.2216567993164
2016-04-20,113.71898651123047
2016-04-21,114.15312957763672
2016-04-22,112.02815246582031
2016-04-25,114.0845718383789
2016-04-26,114.9071273803711
2016-04-27,114.81573486328125
2016-04-28,112.82787322998047
2016-04-29,112.21094512939453
2016-05-02,114.4729995727539
