Date,RWA.L
2015-08-24,414.543701171875
2015-08-25,430.7367858886719
2015-08-26,428.992919921875
2015-08-27,440.45263671875
2015-08-28,446.43170166015625
2015-09-01,436.46673583984375
2015-09-02,431.9823913574219
2015-09-03,430.5070495605469
2015-09-04,435.48974609375
2015-09-07,408.5830383300781
2015-09-08,418.0502014160156
2015-09-09,419.0467834472656
2015-09-10,417.8011169433594
2015-09-11,423.5312194824219
2015-09-14,403.6003112792969
2015-09-15,411.5727233886719
2015-09-16,413.565673828125
2015-09-17,406.8391418457031
2015-09-18,408.5830383300781
2015-09-21,408.5830383300781
2015-09-22,406.59002685546875
2015-09-23,412.07098388671875
2015-09-24,410.5761413574219
2015-09-25,408.5830383300781
2015-09-28,408.5830383300781
2015-09-29,408.5830383300781
2015-09-30,409.57952880859375
2015-10-01,423.0329895019531
2015-10-02,420.0433654785156
2015-10-05,438.47943115234375
2015-10-06,431.5036315917969
2015-10-07,430.00872802734375
2015-10-08,433.4966125488281
2015-10-09,431.1298522949219
2015-10-12,435.2406005859375
2015-10-13,426.5208435058594
2015-10-14,420.54156494140625
2015-10-15,422.53472900390625
2015-10-16,424.5278015136719
2015-10-19,421.78729248046875
2015-10-20,422.2855529785156
2015-10-21,420.54156494140625
2015-10-22,415.5588684082031
2015-10-23,415.5588684082031
2015-10-26,418.5484924316406
2015-10-27,408.5830383300781
2015-10-28,396.6245422363281
2015-10-29,385.66253662109375
2015-10-30,375.6971435546875
2015-11-02,383.6694641113281
2015-11-03,383.6694641113281
2015-11-04,385.66253662109375
2015-11-05,397.8702087402344
2015-11-06,388.15386962890625
2015-11-09,388.6521911621094
2015-11-10,393.6348571777344
2015-11-11,396.6245422363281
2015-11-12,383.6694641113281
2015-11-13,383.6694641113281
2015-11-16,382.67291259765625
2015-11-17,387.2819519042969
2015-11-18,383.6694641113281
2015-11-19,383.6694641113281
2015-11-20,383.9185791015625
2015-11-23,383.6694641113281
2015-11-24,379.18499755859375
2015-11-25,378.6866760253906
2015-11-26,378.6866760253906
2015-11-27,365.73162841796875
2015-11-30,360.74896240234375
2015-12-01,366.3545227050781
2015-12-02,360.74896240234375
2015-12-03,360.74896240234375
2015-12-04,360.74896240234375
2015-12-07,363.98773193359375
2015-12-08,360.9980163574219
2015-12-09,364.85968017578125
2015-12-10,365.4825439453125
2015-12-11,366.7282409667969
2015-12-14,368.72125244140625
2015-12-15,363.8631286621094
2015-12-16,366.7282409667969
2015-12-17,360.74896240234375
2015-12-18,365.23333740234375
2015-12-21,363.7386474609375
2015-12-22,366.7282409667969
2015-12-23,362.7419738769531
2015-12-24,365.23333740234375
2015-12-29,362.7419738769531
2015-12-30,353.7731628417969
2015-12-31,358.75579833984375
2016-01-04,368.2230224609375
2016-01-05,370.7143249511719
2016-01-06,362.492919921875
2016-01-07,363.7386474609375
2016-01-08,360.74896240234375
2016-01-11,361.7454833984375
2016-01-12,368.72125244140625
2016-01-13,374.7005615234375
2016-01-14,363.7386474609375
2016-01-15,360.74896240234375
2016-01-18,360.74896240234375
2016-01-19,345.80078125
2016-01-20,318.14666748046875
2016-01-21,320.8871765136719
2016-01-22,328.3611755371094
2016-01-25,331.84918212890625
2016-01-26,323.8768615722656
2016-01-27,324.1259460449219
2016-01-28,333.8422546386719
2016-01-29,328.8594970703125
2016-02-01,330.10516357421875
2016-02-02,328.8594970703125
2016-02-03,328.8594970703125
2016-02-04,328.8594970703125
2016-02-05,328.8594970703125
2016-02-08,331.84918212890625
2016-02-09,314.1604919433594
2016-02-10,322.8802795410156
2016-02-11,323.6276550292969
2016-02-12,304.4442138671875
2016-02-15,318.8940734863281
2016-02-16,308.9286193847656
2016-02-17,309.1777648925781
2016-02-18,309.9251708984375
2016-02-19,304.4442138671875
2016-02-22,306.9355773925781
2016-02-23,303.9459533691406
2016-02-24,298.9632568359375
2016-02-25,299.2122802734375
2016-02-26,297.2192687988281
2016-02-29,302.9493408203125
2016-03-01,299.2122802734375
2016-03-02,299.959716796875
2016-03-03,305.93902587890625
2016-03-04,296.97015380859375
2016-03-07,296.97015380859375
2016-03-08,299.2122802734375
2016-03-09,296.97015380859375
2016-03-10,306.9355773925781
2016-03-11,303.9459533691406
2016-03-14,303.9459533691406
2016-03-15,303.9459533691406
2016-03-16,307.433837890625
2016-03-17,306.9355773925781
2016-03-18,304.1950378417969
2016-03-21,306.9355773925781
2016-03-22,301.952880859375
2016-03-23,301.952880859375
2016-03-24,303.9459533691406
2016-03-29,307.433837890625
2016-03-30,303.9459533691406
2016-03-31,307.9321594238281
2016-04-01,307.433837890625
2016-04-04,309.9251708984375
2016-04-05,311.9182434082031
2016-04-06,321.3855285644531
2016-04-07,318.8940734863281
2016-04-08,317.39923095703125
2016-04-11,319.8905944824219
2016-04-12,315.90447998046875
2016-04-13,326.8664855957031
2016-04-14,334.09136962890625
2016-04-15,329.8560485839844
2016-04-18,331.84918212890625
2016-04-19,333.8422546386719
2016-04-20,331.3508605957031
2016-04-21,332.347412109375
2016-04-22,328.8594970703125
2016-04-25,338.8249816894531
2016-04-26,333.8422546386719
2016-04-27,335.8353271484375
2016-04-28,338.8249816894531
2016-04-29,331.84918212890625
2016-05-03,343.5585632324219
2016-05-04,343.80767822265625
2016-05-05,340.81805419921875
2016-05-06,346.7973937988281
2016-05-09,326.36822509765625
2016-05-10,329.8560485839844
2016-05-11,329.1086730957031
2016-05-12,330.8526306152344
2016-05-13,326.36822509765625
2016-05-16,325.1224670410156
2016-05-17,326.8664855957031
2016-05-18,324.8733825683594
2016-05-19,322.4327087402344
2016-05-20,321.9344482421875
2016-05-23,328.9112548828125
2016-05-24,318.94427490234375
2016-05-25,328.9112548828125
2016-05-26,328.9112548828125
2016-05-27,328.9112548828125
2016-05-31,328.412841796875
2016-06-01,333.8948059082031
2016-06-02,318.94427490234375
2016-06-03,318.94427490234375
2016-06-06,323.6785888671875
2016-06-07,318.94427490234375
2016-06-08,319.6917724609375
2016-06-09,318.94427490234375
2016-06-10,330.4063720703125
2016-06-13,319.19342041015625
2016-06-14,324.1769714355469
2016-06-15,326.9179382324219
2016-06-16,331.1539001464844
2016-06-17,340.8717041015625
2016-06-20,335.6390686035156
2016-06-21,340.8717041015625
2016-06-22,342.86505126953125
2016-06-23,343.3634033203125
2016-06-24,308.97723388671875
2016-06-27,250.17190551757812
2016-06-28,249.17523193359375
2016-06-29,261.6339416503906
2016-06-30,259.1422424316406
2016-07-01,259.8897399902344
2016-07-04,260.38812255859375
2016-07-05,269.10919189453125
2016-07-06,254.1587371826172
2016-07-07,268.112548828125
2016-07-08,262.13232421875
2016-07-11,269.10919189453125
2016-07-12,264.125732421875
2016-07-13,304.7413330078125
2016-07-14,289.043212890625
2016-07-15,294.02679443359375
2016-07-18,281.56793212890625
2016-07-19,292.2825622558594
2016-07-20,296.7676696777344
2016-07-21,294.5251159667969
