Date,QUESS.NS
2016-07-12,463.73712158203125
2016-07-13,431.1068420410156
2016-07-14,449.5420227050781
2016-07-15,452.9986572265625
2016-07-18,462.6771240234375
2016-07-19,456.31695556640625
2016-07-20,457.4691467285156
2016-07-21,449.7264099121094
2016-07-22,445.0254211425781
2016-07-25,444.2419128417969
2016-07-26,451.56988525390625
2016-07-27,482.7714538574219
2016-07-28,483.73931884765625
2016-07-29,470.2816467285156
2016-08-01,546.5111083984375
2016-08-02,555.3600463867188
2016-08-03,542.2709350585938
2016-08-04,573.4725952148438
2016-08-05,572.6890869140625
2016-08-08,515.3095092773438
2016-08-09,493.6942138671875
2016-08-10,507.244140625
2016-08-11,490.6985778808594
2016-08-12,488.34814453125
2016-08-16,478.7157287597656
2016-08-17,484.5228271484375
2016-08-18,501.25274658203125
2016-08-19,500.05450439453125
2016-08-22,524.8959350585938
2016-08-23,510.1938171386719
2016-08-24,506.82940673828125
2016-08-25,499.4091491699219
2016-08-26,499.31707763671875
2016-08-29,490.00726318359375
2016-08-30,505.86151123046875
2016-08-31,507.70501708984375
2016-09-01,502.58929443359375
2016-09-02,494.5699768066406
2016-09-06,509.1798400878906
2016-09-07,500.10052490234375
2016-09-08,501.25274658203125
2016-09-09,497.88836669921875
2016-09-12,479.31488037109375
2016-09-14,489.8690185546875
2016-09-15,505.90765380859375
2016-09-16,505.5849609375
2016-09-19,501.8058166503906
2016-09-20,494.06298828125
2016-09-21,502.0362854003906
2016-09-22,503.7414855957031
2016-09-23,519.5034790039062
2016-09-26,506.59881591796875
2016-09-27,511.7147216796875
2016-09-28,505.4006042480469
2016-09-29,513.235595703125
2016-09-30,515.3555908203125
2016-10-03,537.3857421875
2016-10-04,546.9258422851562
2016-10-05,559.646240234375
2016-10-06,568.0341796875
2016-10-07,580.2014770507812
2016-10-10,568.587158203125
2016-10-13,546.5572509765625
2016-10-14,544.8518676757812
2016-10-17,554.3460693359375
2016-10-18,558.2174072265625
2016-10-19,548.21630859375
2016-10-20,581.2153930664062
2016-10-21,577.0674438476562
2016-10-24,557.295654296875
2016-10-25,547.3406372070312
2016-10-26,541.07275390625
2016-10-27,541.1649169921875
