Date,CWK.L
2015-08-24,1532.995849609375
2015-08-25,1577.9078369140625
2015-08-26,1682.702392578125
2015-08-27,1687.6927490234375
2015-08-28,1677.71240234375
2015-09-01,1671.723876953125
2015-09-02,1667.73193359375
2015-09-03,1697.6729736328125
2015-09-04,1659.7474365234375
2015-09-07,1671.723876953125
2015-09-08,1680.7059326171875
2015-09-09,1678.7103271484375
2015-09-10,1664.7376708984375
2015-09-11,1646.7728271484375
2015-09-14,1664.7376708984375
2015-09-15,1636.7923583984375
2015-09-16,1660.7454833984375
2015-09-17,1647.771240234375
2015-09-18,1608.8470458984375
2015-09-21,1639.78662109375
2015-09-22,1634.796142578125
2015-09-23,1603.857177734375
2015-09-24,1630.80419921875
2015-09-25,1641.7825927734375
2015-09-28,1633.7984619140625
2015-09-29,1616.8316650390625
2015-09-30,1592.87841796875
2015-10-01,1685.6964111328125
2015-10-02,1700.66748046875
2015-10-05,1716.635986328125
2015-10-06,1741.5869140625
2015-10-07,1746.5772705078125
2015-10-08,1726.6162109375
2015-10-09,1727.614501953125
2015-10-12,1731.6068115234375
2015-10-13,1726.6162109375
2015-10-14,1711.64599609375
2015-10-15,1706.6553955078125
2015-10-16,1687.6927490234375
2015-10-19,1696.67529296875
2015-10-20,1711.64599609375
2015-10-21,1704.659423828125
2015-10-22,1713.6419677734375
2015-10-23,1712.643798828125
2015-10-26,1705.6575927734375
2015-10-27,1686.694580078125
2015-10-28,1728.612548828125
2015-10-29,1725.6185302734375
2015-10-30,1711.64599609375
2015-11-02,1692.68310546875
2015-11-03,1684.698486328125
2015-11-04,1676.7142333984375
2015-11-05,1671.723876953125
2015-11-06,1696.67529296875
2015-11-09,1684.698486328125
2015-11-10,1667.73193359375
2015-11-11,1668.729736328125
2015-11-12,1668.729736328125
2015-11-13,1660.7454833984375
2015-11-16,1670.7259521484375
2015-11-17,1676.7142333984375
2015-11-18,1666.7335205078125
2015-11-19,1687.6927490234375
2015-11-20,1697.6729736328125
2015-11-23,1666.7335205078125
2015-11-24,1624.816162109375
2015-11-25,1639.78662109375
2015-11-26,1656.7535400390625
2015-11-27,1696.67529296875
2015-11-30,1793.4852294921875
2015-12-01,1796.4796142578125
2015-12-02,1811.4500732421875
2015-12-03,1841.3916015625
2015-12-04,1843.3876953125
2015-12-07,1836.401611328125
2015-12-08,1840.393310546875
2015-12-09,1841.3916015625
2015-12-10,1841.50732421875
2015-12-11,1836.5169677734375
2015-12-14,1837.5147705078125
