Date,BKR
2015-08-03,30.083393096923828
2015-08-04,29.9480037689209
2015-08-05,30.505802154541016
2015-08-06,30.63035774230957
2015-08-07,30.175453186035156
2015-08-10,31.31812858581543
2015-08-11,31.161083221435547
2015-08-12,31.735124588012695
2015-08-13,30.814496994018555
2015-08-14,31.047359466552734
2015-08-17,30.738670349121094
2015-08-18,30.67910385131836
2015-08-19,29.292724609375
2015-08-20,27.814281463623047
2015-08-21,26.81781768798828
2015-08-24,24.781558990478516
2015-08-25,25.853845596313477
2015-08-26,26.64451789855957
2015-08-27,29.108591079711914
2015-08-28,29.633888244628906
2015-08-31,30.421600341796875
2015-09-01,29.541545867919922
2015-09-02,29.737106323242188
2015-09-03,29.78057098388672
2015-09-04,28.93311309814453
2015-09-08,29.340547561645508
2015-09-09,28.78644561767578
2015-09-10,29.161273956298828
2015-09-11,28.8353328704834
2015-09-14,28.88965606689453
2015-09-15,29.020030975341797
2015-09-16,30.236886978149414
2015-09-17,30.03589630126953
2015-09-18,29.04720115661621
2015-09-21,29.731685638427734
2015-09-22,29.49265480041504
2015-09-23,29.335113525390625
2015-09-24,28.90595054626465
2015-09-25,28.520252227783203
2015-09-28,27.433767318725586
2015-09-29,27.417463302612305
2015-09-30,28.27035903930664
2015-10-01,27.803173065185547
2015-10-02,28.982004165649414
2015-10-05,29.677358627319336
2015-10-06,30.04676628112793
2015-10-07,30.791004180908203
2015-10-08,31.144113540649414
2015-10-09,30.660621643066406
2015-10-12,30.24776268005371
2015-10-13,29.88922882080078
2015-10-14,29.8837947845459
2015-10-15,30.524812698364258
2015-10-16,29.242765426635742
2015-10-19,28.971145629882812
2015-10-20,28.88422203063965
2015-10-21,29.55784797668457
2015-10-22,30.19887351989746
2015-10-23,29.297088623046875
2015-10-26,28.498523712158203
2015-10-27,27.977012634277344
2015-10-28,28.68321990966797
2015-10-29,28.56914710998535
2015-10-30,28.61803436279297
2015-11-02,28.949411392211914
2015-11-03,29.585004806518555
2015-11-04,28.009607315063477
2015-11-05,27.09696388244629
2015-11-06,28.292089462280273
2015-11-09,28.063928604125977
2015-11-10,27.069795608520508
2015-11-11,26.618896484375
2015-11-12,26.151710510253906
2015-11-13,25.890958786010742
2015-11-16,26.830760955810547
2015-11-17,26.874231338500977
2015-11-18,28.07478141784668
2015-11-19,27.634763717651367
2015-11-20,27.7108154296875
2015-11-23,27.933551788330078
2015-11-24,28.840763092041016
2015-11-25,28.520252227783203
